,,2015년 4월말 주민등록인구 및 외국인 현황,,,,,,,,
,,,,,,,,,,
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
합성1동         ," 8,703 "," 4,489 "," 4,214 ","8,610 ","4,454 ","4,156 ","4,023 ", 93 , 35 , 58 
합성2동         ," 10,441 "," 5,265 "," 5,176 ","10,300 ","5,202 ","5,098 ","4,869 ", 141 , 63 , 78 
구암1동         ," 11,551 "," 5,842 "," 5,709 ","11,464 ","5,821 ","5,643 ","4,742 ", 87 , 21 , 66 
구암2동         ," 11,609 "," 5,866 "," 5,743 ","11,462 ","5,810 ","5,652 ","4,505 ", 147 , 56 , 91 
봉암동          ," 5,136 "," 3,014 "," 2,122 ","4,472 ","2,479 ","1,993 ","2,169 ", 664 , 535 , 129 
진해구," 184,983 "," 95,183 "," 89,800 ","181,597 ","92,795 ","88,802 ","70,424 "," 3,386 "," 2,388 ", 998 
중앙동          ," 9,598 "," 4,991 "," 4,607 ","9,566 ","4,979 ","4,587 ","3,372 ", 32 , 12 , 20 
태평동          ," 6,781 "," 3,485 "," 3,296 ","6,741 ","3,457 ","3,284 ","2,784 ", 40 , 28 , 12 
충무동          ," 4,699 "," 2,378 "," 2,321 ","4,659 ","2,361 ","2,298 ","2,104 ", 40 , 17 , 23 
여좌동          ," 12,131 "," 6,057 "," 6,074 ","12,032 ","6,026 ","6,006 ","5,225 ", 99 , 31 , 68 
태백동          ," 6,838 "," 3,483 "," 3,355 ","6,806 ","3,474 ","3,332 ","3,111 ", 32 , 9 , 23 
경화동          ," 11,163 "," 5,670 "," 5,493 ","11,124 ","5,659 ","5,465 ","4,260 ", 39 , 11 , 28 
병암동          ," 8,972 "," 4,462 "," 4,510 ","8,918 ","4,438 ","4,480 ","3,509 ", 54 , 24 , 30 
석동            ," 19,871 "," 10,108 "," 9,763 ","19,728 ","10,047 ","9,681 ","6,871 ", 143 , 61 , 82 
이동            ," 11,486 "," 5,947 "," 5,539 ","11,351 ","5,888 ","5,463 ","5,087 ", 135 , 59 , 76 
자은동          ," 12,494 "," 6,264 "," 6,230 ","12,419 ","6,240 ","6,179 ","4,586 ", 75 , 24 , 51 
덕산동          ," 12,423 "," 6,140 "," 6,283 ","12,379 ","6,119 ","6,260 ","4,342 ", 44 , 21 , 23 
풍호동          ," 18,113 "," 9,015 "," 9,098 ","17,982 ","8,939 ","9,043 ","5,952 ", 131 , 76 , 55 
웅천동          ," 5,023 "," 2,951 "," 2,072 ","4,312 ","2,267 ","2,045 ","2,054 ", 711 , 684 , 27 
웅동1동         ," 9,554 "," 5,245 "," 4,309 ","8,717 ","4,447 ","4,270 ","3,224 ", 837 , 798 , 39 
웅동2동         ," 35,837 "," 18,987 "," 16,850 ","34,863 ","18,454 ","16,409 ","13,943 ", 974 , 533 , 441 
