Unnamed: 0,Unnamed: 1,2024년 8월말 인구 현황,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
【창원시】,,,,,,,,,,,,,,,"                    (단위 : 세대, 명)",
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,외국인 총계,,,"외  국  인
(출입국관리소 등록신고)",,,국내거소신고 외국인국적동포,,
,소계,남,여,소계,남,여,세대수,소계,남,여,소계,남,여,소계,남,여
합  계,1023442,520350,503092,1002608,507482,495126,459420,20834,12868,7966,17375,11044,6331,3459,1824,1635
의창구,214504,109331,105173,210332,106932,103400,96993,4172,2399,1773,3536,2077,1459,636,322,314
동읍            ,18651,9538,9113,18431,9413,9018,9023,220,125,95,203,114,89,17,11,6
북면            ,43316,21721,21595,43032,21588,21444,16840,284,133,151,243,115,128,41,18,23
대산면          ,7202,3798,3404,6708,3387,3321,3671,494,411,83,483,406,77,11,5,6
의창동          ,49136,24674,24462,48793,24527,24266,21287,343,147,196,267,112,155,76,35,41
팔룡동          ,25997,13442,12555,25106,12806,12300,11233,891,636,255,821,608,213,70,28,42
명곡동          ,39727,20100,19627,38695,19567,19128,17980,1032,533,499,779,395,384,253,138,115
봉림동          ,30475,16058,14417,29567,15644,13923,16959,908,414,494,740,327,413,168,87,81
성산구,250283,128434,121849,245031,125062,119969,107478,5252,3372,1880,4330,2874,1456,922,498,424
반송동          ,39419,19843,19576,39055,19652,19403,15519,364,191,173,235,121,114,129,70,59
용지동          ,26870,13546,13324,26436,13329,13107,12251,434,217,217,333,161,172,101,56,45
중앙동,39478,21531,17947,37504,20322,17182,19939,1974,1209,765,1572,985,587,402,224,178
상남동          ,26708,13283,13425,26441,13169,13272,10835,267,114,153,188,73,115,79,41,38
사파동          ,45118,22372,22746,44782,22235,22547,19757,336,137,199,276,113,163,60,24,36
가음정동        ,38054,19249,18805,37620,18993,18627,15606,434,256,178,363,220,143,71,36,35
성주동          ,26589,13979,12610,26041,13552,12489,10180,548,427,121,496,399,97,52,28,24
웅남동          ,8047,4631,3416,7152,3810,3342,3391,895,821,74,867,802,65,28,19,9
마산합포구,181864,90620,91244,179049,88895,90154,86582,2815,1725,1090,2511,1577,934,304,148,156
구산면          ,4144,2223,1921,3941,2036,1905,2299,203,187,16,199,186,13,4,1,3
진동면          ,11880,6106,5774,11598,5936,5662,5480,282,170,112,255,153,102,27,17,10
진북면          ,3616,2099,1517,3139,1667,1472,1824,477,432,45,464,423,41,13,9,4
진전면          ,3805,1951,1854,3644,1827,1817,2162,161,124,37,153,121,32,8,3,5
현동            ,13697,6796,6901,13590,6735,6855,5677,107,61,46,91,54,37,16,7,9
가포동          ,4807,2447,2360,4738,2398,2340,2502,69,49,20,60,46,14,9,3,6
월영동          ,41800,20701,21099,41206,20412,20794,17107,594,289,305,537,266,271,57,23,34
문화동          ,11033,5519,5514,10861,5440,5421,6113,172,79,93,142,62,80,30,17,13
반월중앙동      ,13387,6426,6961,13321,6410,6911,6254,66,16,50,50,10,40,16,6,10
완월동          ,8489,4111,4378,8437,4090,4347,4021,52,21,31,42,13,29,10,8,2
자산동          ,9166,4459,4707,9134,4451,4683,4427,32,8,24,23,5,18,9,3,6
교방동          ,19139,9440,9699,19063,9422,9641,8570,76,18,58,67,15,52,9,3,6
오동동,18468,9157,9311,18246,9035,9211,10435,222,122,100,174,97,77,48,25,23
합포동          ,6758,3381,3377,6671,3332,3339,3602,87,49,38,73,43,30,14,6,8
산호동          ,11675,5804,5871,11460,5704,5756,6109,215,100,115,181,83,98,34,17,17
마산회원구,181808,90905,90903,178816,89160,89656,82591,2992,1745,1247,2513,1483,1030,479,262,217
내서읍          ,60365,30294,30071,59756,29949,29807,25198,609,345,264,533,309,224,76,36,40
회원1동         ,9722,4739,4983,9648,4716,4932,5134,74,23,51,54,14,40,20,9,11
회원2동         ,9636,4723,4913,9587,4706,4881,4504,49,17,32,34,11,23,15,6,9
석전동          ,16124,7972,8152,15963,7900,8063,7746,161,72,89,113,42,71,48,30,18
회성동          ,5309,2676,2633,5257,2654,2603,2848,52,22,30,32,8,24,20,14,6
양덕1동         ,10584,5267,5317,10415,5199,5216,5442,169,68,101,137,53,84,32,15,17
양덕2동         ,32686,16100,16586,32463,15973,16490,12758,223,127,96,161,99,62,62,28,34
합성1동         ,8795,4440,4355,8706,4403,4303,4444,89,37,52,71,29,42,18,8,10
합성2동         ,7327,3644,3683,6996,3484,3512,4117,331,160,171,300,142,158,31,18,13
구암1동         ,8357,4161,4196,8254,4124,4130,4266,103,37,66,82,27,55,21,10,11
구암2동         ,9131,4588,4543,8883,4446,4437,4392,248,142,106,189,107,82,59,35,24
봉암동          ,3772,2301,1471,2888,1606,1282,1742,884,695,189,807,642,165,77,53,24
