Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,2017년 9월말 주민등록인구 및 외국인 현황,,,,,,,,
,,,,,,,,,,
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
합  계,1072460,546331,526129,1056633,536079,520554,419179,15827,10252,5575
의창구,256353,130999,125354,252384,128534,123850,100569,3969,2465,1504
동읍            ,22724,11555,11169,22483,11414,11069,8868,241,141,100
북면            ,35125,17844,17281,34918,17730,17188,12755,207,114,93
대산면          ,7479,3916,3563,7075,3572,3503,3322,404,344,60
의창동          ,37034,18866,18168,36663,18664,17999,15033,371,202,169
팔룡동          ,38236,19924,18312,36980,18933,18047,13591,1256,991,265
명곡동          ,50241,25379,24862,49654,25121,24533,19026,587,258,329
봉림동          ,35218,18271,16947,34600,17987,16613,15814,618,284,334
용지동          ,30296,15244,15052,30011,15113,14898,12160,285,131,154
성산구,232603,119920,112683,228470,116875,111595,84009,4133,3045,1088
반송동          ,46024,23277,22747,45752,23149,22603,15595,272,128,144
중앙동          ,25436,13734,11702,24405,13131,11274,12445,1031,603,428
상남동          ,30802,15662,15140,30487,15455,15032,10413,315,207,108
사파동          ,51381,25756,25625,51110,25644,25466,18613,271,112,159
가음정동        ,40824,20854,19970,40506,20664,19842,14363,318,190,128
성주동          ,27806,14675,13131,27160,14094,13066,8965,646,581,65
웅남동          ,10330,5962,4368,9050,4738,4312,3615,1280,1224,56
마산합포구,183879,91978,91901,181694,90677,91017,77421,2185,1301,884
구산면          ,4964,2661,2303,4719,2433,2286,2329,245,228,17
진동면          ,13462,6912,6550,13253,6794,6459,5466,209,118,91
진북면          ,4364,2464,1900,3906,2069,1837,1816,458,395,63
진전면          ,4405,2207,2198,4284,2121,2163,2206,121,86,35
현동            ,13207,6650,6557,13096,6576,6520,5018,111,74,37
가포동          ,951,505,446,914,476,438,442,37,29,8
월영동          ,30649,15180,15469,30308,15033,15275,11309,341,147,194
문화동          ,12381,6146,6235,12247,6090,6157,5576,134,56,78
반월중앙동      ,16973,8293,8680,16889,8268,8621,6807,84,25,59
완월동          ,10674,5197,5477,10628,5185,5443,4278,46,12,34
자산동          ,12456,6121,6335,12427,6115,6312,5074,29,6,23
교방동          ,9552,4767,4785,9533,4763,4770,3732,19,4,15
노산동          ,6910,3451,3459,6874,3441,3433,3075,36,10,26
오동동          ,21468,10660,10808,21309,10608,10701,10282,159,52,107
합포동          ,8037,4094,3943,8002,4083,3919,3842,35,11,24
산호동          ,13426,6670,6756,13305,6622,6683,6169,121,48,73
마산회원구,207797,104987,102810,205522,103679,101843,82402,2275,1308,967
내서읍          ,70882,35687,35195,70440,35426,35014,24843,442,261,181
회원1동         ,12235,6115,6120,12174,6097,6077,5589,61,18,43
회원2동         ,10492,5272,5220,10460,5262,5198,4545,32,10,22
석전동          ,15240,7648,7592,15111,7604,7507,6597,129,44,85
회성동          ,7517,3865,3652,7464,3851,3613,3382,53,14,39
양덕1동         ,12615,6288,6327,12477,6207,6270,5535,138,81,57
양덕2동         ,35105,17607,17447,34881,17526,17355,12433,224,132,92
합성1동         ,7449,3935,3665,7376,3803,3573,3613,73,29,44
합성2동         ,9868,4846,4905,9678,4817,4861,4790,190,83,107
구암1동         ,10710,5486,5344,10640,5403,5237,4618,70,17,53
구암2동         ,10933,5455,5388,10773,5438,5335,4403,160,65,95
봉암동          ,4751,2310,1898,4048,2245,1803,2054,703,554,149
진해구,191828,98447,93381,188563,96314,92249,74778,3265,2133,1132
중앙동          ,8741,4540,4201,8712,4525,4187,3110,29,15,14
태평동          ,6520,3361,3159,6477,3332,3145,2785,43,29,14
충무동          ,4194,2092,2102,4165,2082,2083,2000,29,10,19
여좌동          ,10393,5175,5218,10314,5146,5168,4711,79,29,50
태백동          ,6156,3105,3051,6131,3099,3032,2918,25,6,19
경화동          ,11591,5860,5731,11536,5842,5694,4500,55,18,37
병암동          ,8366,4149,4217,8330,4140,4190,3432,36,9,27
석동            ,18672,9483,9189,18534,9405,9129,6683,138,78,60
이동            ,10268,5333,4935,10126,5267,4859,4797,142,66,76
자은동          ,17769,8888,8881,17692,8868,8824,6462,77,20,57
덕산동          ,11499,5629,5870,11454,5613,5841,4265,45,16,29
풍호동          ,27047,13588,13459,26968,13557,13411,9015,79,31,48
웅천동          ,5809,3186,2623,5397,2800,2597,2565,412,386,26
웅동1동         ,7910,4356,3554,7157,3643,3514,2713,753,713,40
웅동2동         ,36893,19702,17191,35570,18995,16575,14822,1323,707,616
"   * 마산합포구 오동동 : 오동동+성호동+동서동(통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(통합) 
   * 마산회원구 석전동 : 석전1동+석전2동(통합) ",,,,,,,,,,
