Unnamed: 0,Unnamed: 1,2019년 11월말 주민등록인구 현황,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
합  계,1060914,539118,521796,1045627,529722,515905,430962,15287,9396,5891
의창구,261160,133214,127946,257477,131089,126388,106286,3683,2125,1558
동읍            ,21048,10715,10333,20844,10597,10247,8764,204,118,86
북면            ,42986,21735,21251,42722,21598,21124,15918,264,137,127
대산면          ,7766,4055,3711,7418,3761,3657,3679,348,294,54
의창동          ,41332,20934,20398,41088,20846,20242,17002,244,88,156
팔룡동          ,38841,20153,18688,37803,19370,18433,14583,1038,783,255
명곡동          ,45471,23105,22366,44828,22806,22022,18167,643,299,344
봉림동          ,32023,16612,15411,31394,16330,15064,15119,629,282,347
용지동          ,31693,15905,15788,31380,15781,15599,13054,313,124,189
성산구,225507,115897,109610,221742,113272,108470,85552,3765,2625,1140
반송동          ,43533,22033,21500,43277,21915,21362,15364,256,118,138
중앙동          ,24500,13370,11130,23457,12741,10716,12860,1043,629,414
상남동          ,29368,14792,14576,29146,14698,14448,10450,222,94,128
사파동          ,47912,23862,24050,47591,23724,23867,18243,321,138,183
가음정동        ,43028,21864,21164,42667,21653,21014,15655,361,211,150
성주동          ,27854,14668,13186,27307,14199,13108,9530,547,469,78
웅남동          ,9312,5308,4004,8297,4342,3955,3450,1015,966,49
마산합포구,180718,90115,90603,178375,88755,89620,78800,2343,1360,983
구산면          ,4698,2526,2172,4469,2311,2158,2330,229,215,14
진동면          ,12997,6673,6324,12771,6558,6213,5454,226,115,111
진북면          ,4121,2329,1792,3710,1968,1742,1797,411,361,50
진전면          ,4207,2130,2077,4098,2044,2054,2222,109,86,23
현동            ,14784,7376,7408,14663,7302,7361,5667,121,74,47
가포동          ,716,381,335,677,346,331,348,39,35,4
월영동          ,33134,16407,16727,32596,16168,16428,12526,538,239,299
문화동          ,11979,5921,6058,11847,5861,5986,5670,132,60,72
반월중앙동      ,15821,7711,8110,15753,7694,8059,6639,68,17,51
완월동          ,9784,4771,5013,9744,4763,4981,4105,40,8,32
자산동          ,11598,5683,5915,11549,5671,5878,4996,49,12,37
교방동          ,8755,4329,4426,8727,4322,4405,3542,28,7,21
노산동          ,6412,3161,3251,6382,3156,3226,2961,30,5,25
오동동          ,20865,10326,10539,20721,10265,10456,10553,144,61,83
합포동          ,7343,3722,3621,7297,3706,3591,3657,46,16,30
산호동          ,13504,6669,6835,13371,6620,6751,6333,133,49,84
마산회원구,196366,98797,97569,194266,97630,96636,80604,2100,1167,933
내서읍          ,68082,34258,33824,67604,33991,33613,24925,478,267,211
회원1동         ,11379,5663,5716,11310,5642,5668,5352,69,21,48
회원2동         ,7925,3964,3961,7899,3958,3941,3518,26,6,20
석전동          ,14163,7092,7071,14037,7046,6991,6404,126,46,80
회성동          ,6805,3452,3353,6761,3443,3318,3215,44,9,35
양덕1동         ,12006,6053,5953,11902,5999,5903,5534,104,54,50
양덕2동         ,33266,16569,16697,33138,16493,16645,11918,128,76,52
합성1동         ,9863,5013,4850,9806,4992,4814,4556,57,21,36
합성2동         ,8494,4233,4261,8291,4147,4144,4352,203,86,117
구암1동         ,9818,4898,4920,9741,4877,4864,4439,77,21,56
구암2동         ,10290,5118,5172,10142,5043,5099,4464,148,75,73
봉암동          ,4275,2484,1791,3635,1999,1636,1927,640,485,155
진해구,197163,101095,96068,193767,98976,94791,79720,3396,2119,1277
중앙동          ,8129,4235,3894,8109,4227,3882,3084,20,8,12
태평동          ,6186,3178,3008,6126,3137,2989,2777,60,41,19
충무동          ,3743,1881,1862,3721,1872,1849,1879,22,9,13
여좌동          ,9222,4565,4657,9108,4513,4595,4408,114,52,62
태백동          ,5411,2735,2676,5384,2724,2660,2727,27,11,16
경화동          ,11712,5917,5795,11644,5889,5755,4628,68,28,40
병암동          ,7818,3857,3961,7782,3848,3934,3343,36,9,27
석동            ,17772,9075,8697,17639,9007,8632,6730,133,68,65
이동            ,8826,4617,4209,8715,4570,4145,4422,111,47,64
자은동          ,21841,10883,10958,21741,10858,10883,8535,100,25,75
덕산동          ,10463,5139,5324,10421,5125,5296,4086,42,14,28
풍호동          ,26625,13255,13370,26552,13223,13329,9074,73,32,41
웅천동          ,12548,6488,6060,12264,6239,6025,5067,284,249,35
웅동1동         ,7382,4104,3278,6632,3406,3226,2696,750,698,52
웅동2동         ,39485,21166,18319,37929,20338,17591,16264,1556,828,728
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",,,,,,,,,,
