Unnamed: 0,Unnamed: 1,2018년 1월말 주민등록인구 현황,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
합  계,1072678,546259,526419,1057179,536253,520926,421009,15499,10006,5493
의창구,257685,131638,126047,253781,129212,124569,101512,3904,2426,1478
동읍            ,22555,11465,11090,22314,11326,10988,8856,241,139,102
북면            ,36997,18788,18209,36805,18685,18120,13482,192,103,89
대산면          ,7399,3888,3511,6984,3528,3456,3315,415,360,55
의창동          ,36488,18533,17955,36135,18349,17786,14940,353,184,169
팔룡동          ,37946,19754,18192,36729,18794,17935,13557,1217,960,257
명곡동          ,49506,25047,24459,48895,24779,24116,18877,611,268,343
봉림동          ,34611,18001,16610,34024,17726,16298,15640,587,275,312
용지동          ,32183,16162,16021,31895,16025,15870,12845,288,137,151
성산구,231964,119520,112444,227940,116580,111360,84354,4024,2940,1084
반송동          ,45426,22989,22437,45164,22869,22295,15517,262,120,142
중앙동          ,25387,13734,11653,24362,13128,11234,12583,1025,606,419
상남동          ,30487,15444,15043,30254,15320,14934,10385,233,124,109
사파동          ,50796,25489,25307,50517,25368,25149,18480,279,121,158
가음정동        ,42149,21484,20665,41807,21286,20521,14890,342,198,144
성주동          ,27559,14531,13028,26904,13939,12965,8914,655,592,63
웅남동          ,10160,5849,4311,8932,4670,4262,3585,1228,1179,49
마산합포구,183916,91966,91950,181757,90661,91096,77809,2159,1305,854
구산면          ,4928,2633,2295,4685,2407,2278,2322,243,226,17
진동면          ,13394,6859,6535,13193,6750,6443,5473,201,109,92
진북면          ,4347,2458,1889,3877,2052,1825,1814,470,406,64
진전면          ,4370,2196,2174,4262,2118,2144,2202,108,78,30
현동            ,13563,6815,6748,13452,6741,6711,5147,111,74,37
가포동          ,915,489,426,876,457,419,428,39,32,7
월영동          ,31759,15774,15985,31425,15618,15807,11737,334,156,178
문화동          ,12257,6055,6202,12131,6001,6130,5568,126,54,72
반월중앙동      ,16731,8170,8561,16648,8146,8502,6770,83,24,59
완월동          ,10547,5166,5381,10500,5152,5348,4248,47,14,33
자산동          ,12303,6032,6271,12269,6025,6244,5068,34,7,27
교방동          ,9373,4671,4702,9352,4667,4685,3691,21,4,17
노산동          ,6799,3380,3419,6766,3373,3393,3065,33,7,26
오동동          ,21323,10585,10738,21173,10532,10641,10292,150,53,97
합포동          ,7982,4069,3913,7948,4058,3890,3833,34,11,23
산호동          ,13325,6614,6711,13200,6564,6636,6151,125,50,75
마산회원구,205403,103809,101594,203207,102542,100665,81712,2196,1267,929
내서읍          ,70500,35500,35000,70085,35256,34829,24841,415,244,171
회원1동         ,12171,6086,6085,12109,6070,6039,5571,62,16,46
회원2동         ,9509,4775,4734,9478,4767,4711,4112,31,8,23
석전동          ,15119,7608,7511,14986,7560,7426,6589,133,48,85
회성동          ,7437,3820,3617,7386,3806,3580,3363,51,14,37
양덕1동         ,12594,6285,6309,12463,6210,6253,5549,131,75,56
양덕2동         ,34877,17535,17342,34674,17410,17264,12360,203,125,78
합성1동         ,7385,3782,3603,7319,3759,3560,3582,66,23,43
합성2동         ,9559,4759,4800,9390,4685,4705,4674,169,74,95
구암1동         ,10642,5381,5261,10568,5362,5206,4613,74,19,55
구암2동         ,10866,5475,5391,10702,5407,5295,4398,164,68,96
봉암동          ,4744,2803,1941,4047,2250,1797,2060,697,553,144
진해구,193710,99326,94384,190494,97258,93236,75622,3216,2068,1148
중앙동          ,8707,4497,4210,8679,4482,4197,3105,28,15,13
태평동          ,6478,3335,3143,6428,3300,3128,2769,50,35,15
충무동          ,4098,2048,2050,4073,2039,2034,1974,25,9,16
여좌동          ,10256,5110,5146,10177,5084,5093,4669,79,26,53
태백동          ,6061,3063,2998,6036,3057,2979,2901,25,6,19
경화동          ,11509,5817,5692,11450,5796,5654,4472,59,21,38
병암동          ,8284,4120,4164,8245,4109,4136,3414,39,11,28
석동            ,18432,9379,9053,18278,9292,8986,6609,154,87,67
이동            ,10067,5224,4843,9941,5169,4772,4769,126,55,71
자은동          ,18830,9400,9430,18755,9380,9375,6799,75,20,55
덕산동          ,11300,5536,5764,11253,5520,5733,4243,47,16,31
풍호동          ,26874,13469,13405,26803,13439,13364,8986,71,30,41
웅천동          ,6854,3672,3182,6491,3338,3153,2968,363,334,29
웅동1동         ,7814,4300,3514,7057,3589,3468,2682,757,711,46
웅동2동         ,38146,20356,17790,36828,19664,17164,15262,1318,692,626
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",,,,,,,,,,
