Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,2016년 1월말 주민등록인구 및 외국인 현황,,,,,,,,
,,,,,,,,,,
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
합  계,1086359,554554,531805,1069697,543409,526288,416310,16662,11145,5517
의창구,259783,133014,126769,255870,130583,125287,100341,3913,2431,1482
동읍            ,23293,11848,11445,23049,11700,11349,8767,244,148,96
북면            ,29137,14773,14364,28930,14659,14271,10681,207,114,93
대산면          ,7758,4037,3721,7392,3720,3672,3368,366,317,49
의창동          ,38297,19507,18790,38066,19418,18648,15229,231,89,142
팔룡동          ,40188,21038,19150,38805,19937,18868,14017,1383,1101,282
명곡동          ,52944,26879,26065,52307,26597,25710,19642,637,282,355
봉림동          ,37484,19459,18025,36928,19210,17718,16496,556,249,307
용지동          ,30682,15473,15209,30393,15342,15051,12141,289,131,158
성산구,238301,123100,115201,233909,119806,114103,83687,4392,3294,1098
반송동          ,48002,24251,23751,47742,24124,23618,15960,260,127,133
중앙동          ,25593,13701,11892,24575,13114,11461,11774,1018,587,431
상남동          ,32132,16293,15839,31958,16219,15739,10658,174,74,100
사파동          ,53901,27111,26790,53626,26992,26634,19094,275,119,156
가음정동        ,38457,19754,18703,38080,19518,18562,13229,377,236,141
성주동          ,29029,15374,13655,28301,14720,13581,9110,728,654,74
웅남동          ,11187,6616,4571,9627,5119,4508,3862,1560,1497,63
마산합포구,184205,92072,92133,182062,90726,91336,76097,2143,1346,797
구산면          ,5080,2681,2399,4858,2478,2380,2352,222,203,19
진동면          ,12904,6609,6295,12690,6480,6210,5083,214,129,85
진북면          ,4568,2609,1959,4058,2156,1902,1854,510,453,57
진전면          ,4527,2271,2256,4381,2160,2221,2192,146,111,35
현동            ,7972,4061,3911,7889,3999,3890,3126,83,62,21
가포동          ,1208,635,573,1157,596,561,545,51,39,12
월영동          ,30794,15318,15476,30531,15191,15340,11129,263,127,136
문화동          ,12898,6375,6523,12768,6324,6444,5614,130,51,79
반월동          ,8869,4341,4528,8825,4329,4496,3403,44,12,32
중앙동          ,8609,4170,4439,8579,4158,4421,3378,30,12,18
완월동          ,11136,5463,5673,11094,5449,5645,4360,42,14,28
자산동          ,13081,6399,6682,13045,6394,6651,5140,36,5,31
동서동          ,11441,5634,5807,11339,5593,5746,4992,102,41,61
성호동          ,4365,2147,2218,4342,2145,2197,2073,23,2,21
교방동          ,10971,5429,5542,10946,5423,5523,4310,25,6,19
노산동          ,7487,3741,3746,7450,3729,3721,3252,37,12,25
오동동          ,6577,3341,3236,6541,3329,3212,3333,36,12,24
합포동          ,7753,3927,3826,7715,3914,3801,3678,38,13,25
산호동          ,13965,6921,7044,13854,6879,6975,6283,111,42,69
마산회원구,214405,108687,105718,211956,107273,104683,83559,2449,1414,1035
내서읍          ,72267,36504,35763,71717,36182,35535,24625,550,322,228
회원1동         ,12121,6078,6043,12055,6065,5990,5387,66,13,53
회원2동         ,13444,6710,6734,13402,6701,6701,5759,42,9,33
석전1동         ,7328,3723,3605,7271,3706,3565,3136,57,17,40
석전2동         ,9929,4963,4966,9804,4912,4892,4250,125,51,74
회성동          ,7701,3978,3723,7653,3969,3684,3407,48,9,39
양덕1동         ,13080,6587,6493,12905,6474,6431,5612,175,113,62
양덕2동         ,32719,16543,16176,32459,16372,16087,11468,260,171,89
합성1동         ,7936,4100,3836,7851,4065,3786,3705,85,35,50
합성2동         ,10264,5161,5103,10107,5091,5016,4854,157,70,87
구암1동         ,11264,5691,5573,11176,5664,5512,4749,88,27,61
구암2동         ,11446,5767,5679,11295,5708,5587,4499,151,59,92
봉암동          ,4906,2882,2024,4261,2364,1897,2108,645,518,127
진해구,189665,97681,91984,185900,95021,90879,72626,3765,2660,1105
중앙동          ,9263,4789,4474,9222,4764,4458,3256,41,25,16
태평동          ,6785,3471,3314,6736,3440,3296,2835,49,31,18
충무동          ,4442,2227,2215,4403,2212,2191,2041,39,15,24
여좌동          ,11090,5501,5589,11006,5473,5533,4899,84,28,56
태백동          ,6533,3318,3215,6503,3311,3192,3028,30,7,23
경화동          ,10754,5471,5283,10708,5452,5256,4153,46,19,27
병암동          ,8649,4280,4369,8589,4259,4330,3447,60,21,39
석동            ,19347,9834,9513,19176,9746,9430,6741,171,88,83
이동            ,10895,5635,5260,10754,5577,5177,4945,141,58,83
자은동          ,15636,7899,7737,15546,7870,7676,5700,90,29,61
덕산동          ,12067,5938,6129,12019,5915,6104,4262,48,23,25
풍호동          ,24047,12057,11990,23949,12011,11938,7938,98,46,52
웅천동          ,5003,3004,1999,4175,2202,1973,2023,828,802,26
웅동1동         ,9306,5167,4139,8441,4343,4098,3157,865,824,41
웅동2동         ,35848,19090,16758,34673,18446,16227,14201,1175,644,531
