Unnamed: 0,Unnamed: 1,2023년 1월말 인구 현황,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
합  계,1034754,525153,509601,1020593,516701,503892,456181,14161,8452,5709
의창구,218881,111515,107366,215770,109763,106007,96695,3111,1752,1359
동읍            ,19489,9963,9526,19332,9879,9453,9136,157,84,73
북면            ,43315,21792,21523,43095,21691,21404,16643,220,101,119
대산면          ,7323,3831,3492,6948,3510,3438,3677,375,321,54
의창동          ,50357,25400,24957,50102,25310,24792,21359,255,90,165
팔룡동          ,26554,13682,12872,25799,13127,12672,11178,755,555,200
명곡동          ,41232,20941,20291,40549,20616,19933,18326,683,325,358
봉림동          ,30611,15906,14705,29945,15630,14315,16376,666,276,390
성산구,251778,128872,122906,248280,126627,121653,106182,3498,2245,1253
반송동          ,40339,20266,20073,40124,20162,19962,15549,215,104,111
용지동          ,27550,13889,13661,27294,13778,13516,12366,256,111,145
중앙동,35714,19418,16296,34514,18676,15838,18437,1200,742,458
상남동          ,27368,13685,13683,27193,13624,13569,10762,175,61,114
사파동          ,46428,22977,23451,46186,22889,23297,19695,242,88,154
가음정동        ,39872,20211,19661,39541,20016,19525,16041,331,195,136
성주동          ,26306,13800,12506,25949,13519,12430,9870,357,281,76
웅남동          ,8201,4626,3575,7479,3963,3516,3462,722,663,59
마산합포구,181390,90366,91024,179282,89113,90169,84715,2108,1253,855
구산면          ,4296,2297,1999,4111,2126,1985,2346,185,171,14
진동면          ,12108,6226,5882,11901,6115,5786,5524,207,111,96
진북면          ,3652,2079,1573,3286,1746,1540,1738,366,333,33
진전면          ,3867,1941,1926,3758,1861,1897,2168,109,80,29
현동            ,14014,6963,7051,13904,6890,7014,5678,110,73,37
가포동          ,2328,1195,1133,2284,1161,1123,1363,44,34,10
월영동          ,42548,21077,21471,42110,20867,21243,17063,438,210,228
문화동          ,11245,5603,5642,11077,5518,5559,5992,168,85,83
반월중앙동      ,13983,6774,7209,13926,6760,7166,6364,57,14,43
완월동          ,8869,4288,4581,8830,4279,4551,4056,39,9,30
자산동          ,10025,4904,5121,9990,4896,5094,4736,35,8,27
교방동          ,16064,7933,8131,16011,7924,8087,7272,53,9,44
오동동,19183,9519,9664,19057,9462,9595,10556,126,57,69
합포동          ,7086,3568,3518,7043,3553,3490,3700,43,15,28
산호동          ,12122,5999,6123,11994,5955,6039,6159,128,44,84
마산회원구,185460,92680,92780,183365,91524,91841,82692,2095,1156,939
내서읍          ,62723,31439,31284,62289,31219,31070,25305,434,220,214
회원1동         ,10051,4943,5108,10012,4936,5076,5191,39,7,32
회원2동         ,9961,4896,5065,9919,4886,5033,4595,42,10,32
석전동          ,16720,8295,8425,16622,8255,8367,7893,98,40,58
회성동          ,5770,2911,2859,5741,2906,2835,3003,29,5,24
양덕1동         ,10912,5436,5476,10804,5390,5414,5504,108,46,62
양덕2동         ,30793,15123,15670,30688,15063,15625,11879,105,60,45
합성1동         ,9052,4551,4501,8993,4528,4465,4508,59,23,36
합성2동         ,7641,3811,3830,7359,3687,3672,4199,282,124,158
구암1동         ,8731,4341,4390,8646,4316,4330,4351,85,25,60
구암2동         ,9368,4688,4680,9197,4599,4598,4438,171,89,82
봉암동          ,3738,2246,1492,3095,1739,1356,1826,643,507,136
진해구,197245,101720,95525,193896,99674,94222,85897,3349,2046,1303
충무동          ,16667,8669,7998,16491,8567,7924,7755,176,102,74
여좌동          ,8401,4149,4252,8304,4109,4195,4341,97,40,57
태백동          ,3710,1856,1854,3695,1851,1844,1944,15,5,10
경화동          ,10944,5537,5407,10892,5508,5384,4642,52,29,23
병암동          ,7335,3598,3737,7295,3582,3713,3417,40,16,24
석동            ,17622,9077,8545,17506,9025,8481,7345,116,52,64
이동            ,8588,4554,4034,8512,4518,3994,4799,76,36,40
자은동          ,21012,10454,10558,20906,10426,10480,8885,106,28,78
덕산동          ,9930,4888,5042,9893,4874,5019,4181,37,14,23
풍호동          ,25420,12688,12732,25340,12654,12686,9183,80,34,46
웅천동          ,13276,6788,6488,13021,6580,6441,5399,255,208,47
웅동1동         ,8492,4572,3920,7866,3996,3870,3580,626,576,50
웅동2동         ,45848,24890,20958,44175,23984,20191,20426,1673,906,767
,,,,,,,,,,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),,,,,,,,,,
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,,,,,,,,,,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,,,,,,,,,,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),,,,,,,,,,
