Unnamed: 0,Unnamed: 1,2021년 4월말 인구 현황,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
합  계,1047726,532008,515718,1034705,524287,510418,446135,13021,7721,5300
의창구,263771,134376,129395,260623,132638,127985,112227,3148,1738,1410
동읍            ,20048,10202,9846,19881,10109,9772,8974,167,93,74
북면            ,43657,22014,21643,43444,21916,21528,16586,213,98,115
대산면          ,7436,3864,3572,7149,3631,3518,3672,287,233,54
의창동          ,50957,25744,25213,50736,25673,25063,21013,221,71,150
팔룡동          ,38484,19923,18561,37605,19285,18320,15137,879,638,241
명곡동          ,42419,21619,20800,41822,21339,20483,18031,597,280,317
봉림동          ,30749,15971,14778,30238,15761,14477,15615,511,210,301
용지동          ,30021,15039,14982,29748,14924,14824,13199,273,115,158
성산구,215720,110702,105018,212662,108658,104004,86510,3058,2044,1014
반송동          ,41708,21029,20679,41492,20927,20565,15418,216,102,114
중앙동          ,23879,13178,10701,22910,12582,10328,13219,969,596,373
상남동          ,28117,14131,13986,27927,14055,13872,10567,190,76,114
사파동          ,45509,22597,22912,45259,22504,22755,18390,250,93,157
가음정동        ,41137,20908,20229,40848,20747,20101,15893,289,161,128
성주동          ,26765,14033,12732,26398,13748,12650,9601,367,285,82
웅남동          ,8605,4826,3779,7828,4095,3733,3422,777,731,46
마산합포구,181427,90456,90971,179434,89323,90111,82414,1993,1133,860
구산면          ,4439,2379,2060,4249,2203,2046,2326,190,176,14
진동면          ,12388,6359,6029,12215,6274,5941,5490,173,85,88
진북면          ,3783,2136,1647,3469,1858,1611,1772,314,278,36
진전면          ,4038,2041,1997,3934,1963,1971,2201,104,78,26
현동            ,14273,7108,7165,14171,7046,7125,5636,102,62,40
가포동          ,1010,539,471,980,515,465,602,30,24,6
월영동          ,40503,20143,20360,40073,19944,20129,15806,430,199,231
문화동          ,11310,5569,5741,11136,5486,5650,5733,174,83,91
반월중앙동      ,14742,7151,7591,14675,7135,7540,6487,67,16,51
완월동          ,9171,4450,4721,9136,4443,4693,4053,35,7,28
자산동          ,10676,5259,5417,10637,5251,5386,4880,39,8,31
교방동          ,16024,7921,8103,15969,7910,8059,7149,55,11,44
오동동          ,19665,9720,9945,19549,9676,9873,10580,116,44,72
합포동          ,6854,3473,3381,6816,3461,3355,3543,38,12,26
산호동          ,12551,6208,6343,12425,6158,6267,6156,126,50,76
마산회원구,190949,95752,95197,189134,94775,94359,82304,1815,977,838
내서읍          ,64456,32476,31980,64005,32233,31772,24858,451,243,208
회원1동         ,10380,5133,5247,10326,5120,5206,5189,54,13,41
회원2동         ,10112,4966,5146,10077,4961,5116,4576,35,5,30
석전동          ,17124,8534,8590,17027,8500,8527,7918,97,34,63
회성동          ,6218,3126,3092,6187,3122,3065,3106,31,4,27
양덕1동         ,11209,5614,5595,11128,5582,5546,5449,81,32,49
양덕2동         ,31636,15634,16002,31528,15574,15954,11880,108,60,48
합성1동         ,9421,4777,4644,9373,4757,4616,4542,48,20,28
합성2동         ,7822,3920,3902,7641,3832,3809,4201,181,88,93
구암1동         ,9084,4515,4569,9010,4496,4514,4339,74,19,55
구암2동         ,9661,4816,4845,9522,4748,4774,4383,139,68,71
봉암동          ,3826,2241,1585,3310,1850,1460,1863,516,391,125
진해구,195859,100722,95137,192852,98893,93959,82680,3007,1829,1178
충무동          ,17173,8899,8274,17066,8839,8227,7712,107,60,47
여좌동          ,8697,4297,4400,8602,4256,4346,4340,95,41,54
태백동          ,4943,2494,2449,4922,2487,2435,2598,21,7,14
경화동          ,11314,5732,5582,11260,5709,5551,4614,54,23,31
병암동          ,7532,3728,3804,7496,3718,3778,3370,36,10,26
석동            ,17473,8946,8527,17355,8886,8469,6941,118,60,58
이동            ,8645,4567,4078,8559,4533,4026,4615,86,34,52
자은동          ,21555,10747,10808,21456,10722,10734,8811,99,25,74
덕산동          ,10220,5018,5202,10181,5005,5176,4166,39,13,26
풍호동          ,25960,12975,12985,25885,12943,12942,9129,75,32,43
웅천동          ,13083,6720,6363,12862,6537,6325,5338,221,183,38
웅동1동         ,7050,3866,3184,6431,3288,3143,2780,619,578,41
웅동2동         ,42214,22733,19481,40777,21970,18807,18266,1437,763,674
