Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,2015년 5월말 주민등록인구 및 외국인 현황,,,,,,,,
,,,,,,,,,,
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
합  계,1089185,556406,532779,1072638,545245,527393,413989,16547,11161,5386
의창구,263453,135013,128440,259456,132447,127009,100838,3997,2566,1431
동읍            ,23675,12060,11615,23398,11890,11508,8780,277,170,107
북면            ,28284,14371,13913,28094,14266,13828,10445,190,105,85
대산면          ,7913,4127,3786,7538,3802,3736,3365,375,325,50
의창동          ,38545,19641,18904,38333,19561,18772,15109,212,80,132
팔룡동          ,42156,22107,20049,40625,20850,19775,14586,1531,1257,274
명곡동          ,53640,27224,26416,53047,26965,26082,19755,593,259,334
봉림동          ,38079,19719,18360,37516,19466,18050,16533,563,253,310
용지동          ,31161,15764,15397,30905,15647,15258,12265,256,117,139
성산구,242098,125156,116942,237452,121679,115773,84262,4646,3477,1169
반송동          ,48498,24558,23940,48234,24432,23802,16054,264,126,138
중앙동          ,25754,13737,12017,24744,13144,11600,11721,1010,593,417
상남동          ,32439,16447,15992,32239,16369,15870,10645,200,78,122
사파동          ,54903,27617,27286,54616,27496,27120,19196,287,121,166
가음정동        ,39046,20030,19016,38662,19782,18880,13298,384,248,136
성주동          ,29908,15857,14051,29141,15201,13940,9469,767,656,111
웅남동          ,11550,6910,4640,9816,5255,4561,3879,1734,1655,79
마산합포구,183761,91924,91837,181773,90704,91069,75160,1988,1220,768
구산면          ,5207,2741,2466,4991,2542,2449,2358,216,199,17
진동면          ,12807,6565,6242,12629,6461,6168,5030,178,104,74
진북면          ,4648,2642,2006,4141,2202,1939,1868,507,440,67
진전면          ,4495,2255,2240,4365,2155,2210,2170,130,100,30
현동            ,3902,2056,1846,3825,1990,1835,1498,77,66,11
가포동          ,1328,668,660,1315,665,650,597,13,3,10
월영동          ,31453,15651,15802,31196,15545,15651,11286,257,106,151
문화동          ,13217,6553,6664,13126,6521,6605,5715,91,32,59
반월동          ,9083,4448,4635,9040,4433,4607,3453,43,15,28
중앙동          ,8938,4322,4616,8905,4311,4594,3423,33,11,22
완월동          ,11388,5596,5792,11347,5581,5766,4416,41,15,26
자산동          ,13452,6636,6816,13417,6630,6787,5218,35,6,29
동서동          ,11638,5715,5923,11534,5670,5864,4951,104,45,59
성호동          ,4515,2225,2290,4488,2221,2267,2099,27,4,23
교방동          ,11303,5606,5697,11277,5602,5675,4397,26,4,22
노산동          ,7668,3818,3850,7631,3808,3823,3338,37,10,27
오동동          ,6630,3370,3260,6602,3360,3242,3326,28,10,18
합포동          ,7712,3900,3812,7675,3888,3787,3631,37,12,25
산호동          ,14377,7157,7220,14269,7119,7150,6386,108,38,70
마산회원구,214711,108950,105761,212269,107524,104745,83171,2442,1426,1016
내서읍          ,72570,36613,35957,72037,36297,35740,24487,533,316,217
회원1동         ,12464,6265,6199,12393,6250,6143,5443,71,15,56
회원2동         ,13858,6914,6944,13815,6905,6910,5870,43,9,34
석전1동         ,7957,4044,3913,7900,4028,3872,3394,57,16,41
석전2동         ,10028,5043,4985,9910,4993,4917,4251,118,50,68
회성동          ,7803,4037,3766,7759,4029,3730,3387,44,8,36
양덕1동         ,13404,6783,6621,13213,6658,6555,5680,191,125,66
양덕2동         ,29279,14844,14435,29020,14668,14352,10327,259,176,83
합성1동         ,8646,4467,4179,8553,4431,4122,4019,93,36,57
합성2동         ,10441,5258,5183,10301,5196,5105,4885,140,62,78
구암1동         ,11533,5824,5709,11447,5802,5645,4749,86,22,64
구암2동         ,11591,5849,5742,11447,5794,5653,4507,144,55,89
봉암동          ,5137,3009,2128,4474,2473,2001,2172,663,536,127
진해구,185162,95363,89799,181688,92891,88797,70558,3474,2472,1002
중앙동          ,9598,4993,4605,9566,4981,4585,3378,32,12,20
태평동          ,6825,3515,3310,6781,3485,3296,2801,44,30,14
충무동          ,4718,2395,2323,4677,2378,2299,2112,41,17,24
여좌동          ,12087,6038,6049,11985,6006,5979,5216,102,32,70
태백동          ,6804,3468,3336,6774,3460,3314,3104,30,8,22
경화동          ,11163,5667,5496,11123,5655,5468,4258,40,12,28
병암동          ,8979,4457,4522,8928,4436,4492,3520,51,21,30
석동            ,19893,10123,9770,19748,10060,9688,6882,145,63,82
이동            ,11472,5949,5523,11335,5888,5447,5094,137,61,76
자은동          ,12521,6279,6242,12451,6257,6194,4609,70,22,48
덕산동          ,12436,6151,6285,12390,6128,6262,4348,46,23,23
풍호동          ,18141,9033,9108,18016,8960,9056,5965,125,73,52
웅천동          ,5063,2992,2071,4292,2249,2043,2052,771,743,28
웅동1동         ,9561,5256,4305,8713,4448,4265,3221,848,808,40
웅동2동         ,35901,19047,16854,34909,18500,16409,13998,992,547,445
