,,2015년 2월말 주민등록인구 및 외국인 현황,,,,,,,,
중앙동          ," 8,968 "," 4,332 "," 4,636 "," 8,933 ","4,320 ","4,613 ","3,417 ", 35 , 12 , 23 
완월동          ," 11,369 "," 5,585 "," 5,784 "," 11,331 ","5,572 ","5,759 ","4,394 ", 38 , 13 , 25 
자산동          ," 13,509 "," 6,695 "," 6,814 "," 13,476 ","6,689 ","6,787 ","5,222 ", 33 , 6 , 27 
동서동          ," 11,709 "," 5,750 "," 5,959 "," 11,593 ","5,699 ","5,894 ","4,957 ", 116 , 51 , 65 
성호동          ," 4,565 "," 2,248 "," 2,317 "," 4,539 ","2,245 ","2,294 ","2,108 ", 26 , 3 , 23 
교방동          ," 11,341 "," 5,631 "," 5,710 "," 11,315 ","5,627 ","5,688 ","4,403 ", 26 , 4 , 22 
노산동          ," 7,734 "," 3,861 "," 3,873 "," 7,697 ","3,851 ","3,846 ","3,360 ", 37 , 10 , 27 
오동동          ," 6,553 "," 3,343 "," 3,210 "," 6,522 ","3,334 ","3,188 ","3,304 ", 31 , 9 , 22 
합포동          ," 7,799 "," 3,933 "," 3,866 "," 7,762 ","3,921 ","3,841 ","3,643 ", 37 , 12 , 25 
산호동          ," 14,461 "," 7,173 "," 7,288 "," 14,352 ","7,137 ","7,215 ","6,407 ", 109 , 36 , 73 
마산회원구," 215,755 "," 109,560 "," 106,195 "," 213,294 "," 108,125 "," 105,169 "," 83,249 "," 2,461 "," 1,435 "," 1,026 "
내서읍          ," 72,747 "," 36,743 "," 36,004 "," 72,217 ","36,420 ","35,797 ","24,456 ", 530 , 323 , 207 
회원1동         ," 12,508 "," 6,272 "," 6,236 "," 12,434 ","6,254 ","6,180 ","5,436 ", 74 , 18 , 56 
회원2동         ," 14,009 "," 7,009 "," 7,000 "," 13,963 ","7,001 ","6,962 ","5,900 ", 46 , 8 , 38 
석전1동         ," 8,051 "," 4,093 "," 3,958 "," 7,997 ","4,078 ","3,919 ","3,413 ", 54 , 15 , 39 
석전2동         ," 10,083 "," 5,074 "," 5,009 "," 9,959 ","5,021 ","4,938 ","4,258 ", 124 , 53 , 71 
회성동          ," 7,851 "," 4,067 "," 3,784 "," 7,808 ","4,060 ","3,748 ","3,395 ", 43 , 7 , 36 
양덕1동         ," 13,481 "," 6,818 "," 6,663 "," 13,288 ","6,696 ","6,592 ","5,696 ", 193 , 122 , 71 
양덕2동         ," 29,372 "," 14,901 "," 14,471 "," 29,115 ","14,727 ","14,388 ","10,334 ", 257 , 174 , 83 
합성1동         ," 8,821 "," 4,547 "," 4,274 "," 8,730 ","4,513 ","4,217 ","4,064 ", 91 , 34 , 57 
합성2동         ," 10,513 "," 5,285 "," 5,228 "," 10,367 ","5,220 ","5,147 ","4,881 ", 146 , 65 , 81 
구암1동         ," 11,568 "," 5,858 "," 5,710 "," 11,480 ","5,836 ","5,644 ","4,750 ", 88 , 22 , 66 
구암2동         ," 11,606 "," 5,869 "," 5,737 "," 11,463 ","5,813 ","5,650 ","4,502 ", 143 , 56 , 87 
봉암동          ," 5,145 "," 3,024 "," 2,121 "," 4,473 ","2,486 ","1,987 ","2,164 ", 672 , 538 , 134 
진해구," 184,902 "," 95,128 "," 89,774 "," 181,490 "," 92,715 "," 88,775 "," 70,225 "," 3,412 "," 2,413 ", 999 
중앙동          ," 9,450 "," 4,926 "," 4,524 "," 9,418 ","4,914 ","4,504 ","3,318 ", 32 , 12 , 20 
태평동          ," 6,828 "," 3,519 "," 3,309 "," 6,783 ","3,487 ","3,296 ","2,766 ", 45 , 32 , 13 
충무동          ," 4,714 "," 2,382 "," 2,332 "," 4,667 ","2,361 ","2,306 ","2,105 ", 47 , 21 , 26 
여좌동          ," 12,134 "," 6,065 "," 6,069 "," 12,043 ","6,036 ","6,007 ","5,213 ", 91 , 29 , 62 
태백동          ," 6,905 "," 3,503 "," 3,402 "," 6,874 ","3,496 ","3,378 ","3,120 ", 31 , 7 , 24 
경화동          ," 11,126 "," 5,657 "," 5,469 "," 11,085 ","5,644 ","5,441 ","4,250 ", 41 , 13 , 28 
병암동          ," 8,990 "," 4,470 "," 4,520 "," 8,936 ","4,447 ","4,489 ","3,515 ", 54 , 23 , 31 
석동            ," 19,839 "," 10,071 "," 9,768 "," 19,692 ","10,006 ","9,686 ","6,851 ", 147 , 65 , 82 
이동            ," 11,595 "," 6,015 "," 5,580 "," 11,465 ","5,957 ","5,508 ","5,129 ", 130 , 58 , 72 
자은동          ," 12,466 "," 6,272 "," 6,194 "," 12,385 ","6,242 ","6,143 ","4,559 ", 81 , 30 , 51 
덕산동          ," 12,399 "," 6,128 "," 6,271 "," 12,349 ","6,098 ","6,251 ","4,326 ", 50 , 30 , 20 
풍호동          ," 18,163 "," 9,051 "," 9,112 "," 18,012 ","8,960 ","9,052 ","5,978 ", 151 , 91 , 60 
웅천동          ," 5,031 "," 2,950 "," 2,081 "," 4,319 ","2,267 ","2,052 ","2,045 ", 712 , 683 , 29 
웅동1동         ," 9,605 "," 5,291 "," 4,314 "," 8,746 ","4,473 ","4,273 ","3,224 ", 859 , 818 , 41 
웅동2동         ," 35,657 "," 18,828 "," 16,829 "," 34,716 ","18,327 ","16,389 ","13,826 ", 941 , 501 , 440 
