Unnamed: 0,Unnamed: 1,2025년 6월말 인구 현황,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
【창원시】,,,,,,,,,,,,,,,,"(단위: 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,외국인 총계,,,"외 국 인
(출입국관리소 등록신고)",,,국내거소신고 외국인국적동포,,
,소계,남,여,소계,남,여,세대수,소계,남,여,소계,남,여,소계,남,여
합  계,1016940,517372,499568,994887,503585,491302,461660,22053,13787,8266,18666,12033,6633,3387,1754,1633
의창구,213437,108882,104555,209063,106351,102712,97827,4374,2531,1843,3740,2211,1529,634,320,314
동읍,18589,9522,9067,18351,9385,8966,9116,238,137,101,217,125,92,21,12,9
북면,44627,22421,22206,44320,22280,22040,17670,307,141,166,266,124,142,41,17,24
대산면,7116,3778,3338,6605,3354,3251,3675,511,424,87,498,417,81,13,7,6
의창동,48163,24147,24016,47813,24005,23808,21106,350,142,208,286,114,172,64,28,36
팔룡동,25442,13147,12295,24493,12481,12012,11194,949,666,283,882,643,239,67,23,44
명곡동,39701,20078,19623,38608,19504,19104,18251,1093,574,519,831,425,406,262,149,113
봉림동,29799,15789,14010,28873,15342,13531,16815,926,447,479,760,363,397,166,84,82
성산구,249674,128180,121494,244239,124631,119608,108325,5435,3549,1886,4540,3074,1466,895,475,420
반송동,38884,19524,19360,38490,19319,19171,15491,394,205,189,269,139,130,125,66,59
용지동,26132,13171,12961,25686,12953,12733,12094,446,218,228,341,166,175,105,52,53
중앙동,40366,22053,18313,38368,20783,17585,20250,1998,1270,728,1612,1055,557,386,215,171
상남동,26222,13047,13175,25959,12935,13024,10812,263,112,151,192,77,115,71,35,36
사파동,44028,21853,22175,43659,21691,21968,19587,369,162,207,306,133,173,63,29,34
가음정동,38869,19607,19262,38443,19356,19087,16080,426,251,175,366,219,147,60,32,28
성주동,27353,14435,12918,26756,13971,12785,10707,597,464,133,546,440,106,51,24,27
웅남동,7820,4490,3330,6878,3623,3255,3304,942,867,75,908,845,63,34,22,12
마산합포구,179536,89299,90237,176591,87494,89097,86437,2945,1805,1140,2629,1653,976,316,152,164
구산면,4100,2198,1902,3896,2010,1886,2303,204,188,16,199,186,13,5,2,3
진동면,11748,6049,5699,11436,5849,5587,5530,312,200,112,284,182,102,28,18,10
진북면,3525,2039,1486,3059,1620,1439,1808,466,419,47,456,411,45,10,8,2
진전면,3794,1922,1872,3636,1808,1828,2170,158,114,44,151,111,40,7,3,4
현동,13556,6702,6854,13443,6636,6807,5673,113,66,47,99,60,39,14,6,8
가포동,5279,2695,2584,5214,2653,2561,2709,65,42,23,51,38,13,14,4,10
월영동,41367,20413,20954,40663,20045,20618,17074,704,368,336,641,346,295,63,22,41
문화동,10839,5430,5409,10669,5346,5323,6068,170,84,86,137,64,73,33,20,13
반월중앙동,13149,6300,6849,13090,6289,6801,6203,59,11,48,44,6,38,15,5,10
완월동,8303,4013,4290,8252,3993,4259,3978,51,20,31,38,11,27,13,9,4
자산동,8855,4272,4583,8823,4264,4559,4352,32,8,24,23,5,18,9,3,6
교방동,18875,9284,9591,18788,9258,9530,8569,87,26,61,76,22,54,11,4,7
오동동,18182,9063,9119,17964,8949,9015,10402,218,114,104,173,89,84,45,25,20
합포동,6536,3272,3264,6454,3229,3225,3539,82,43,39,67,36,31,15,7,8
산호동,11428,5647,5781,11204,5545,5659,6059,224,102,122,190,86,104,34,16,18
마산회원구,181667,90858,90809,178468,88966,89502,83422,3199,1892,1307,2746,1649,1097,453,243,210
내서읍,59091,29654,29437,58410,29269,29141,25121,681,385,296,607,347,260,74,38,36
회원1동,9415,4615,4800,9362,4597,4765,5058,53,18,35,38,11,27,15,7,8
회원2동,9434,4620,4814,9383,4603,4780,4453,51,17,34,40,12,28,11,5,6
석전동,15702,7774,7928,15548,7703,7845,7677,154,71,83,109,46,63,45,25,20
회성동,5141,2599,2542,5082,2572,2510,2786,59,27,32,37,12,25,22,15,7
양덕1동,10265,5107,5158,10097,5039,5058,5360,168,68,100,136,52,84,32,16,16
양덕2동,34498,16992,17506,34267,16867,17400,13626,231,125,106,174,103,71,57,22,35
합성1동,8601,4342,4259,8515,4305,4210,4400,86,37,49,67,29,38,19,8,11
합성2동,8869,4432,4437,8482,4238,4244,4705,387,194,193,357,177,180,30,17,13
구암1동,8024,3986,4038,7926,3951,3975,4166,98,35,63,80,26,54,18,9,9
구암2동,8910,4464,4446,8625,4291,4334,4365,285,173,112,227,142,85,58,31,27
봉암동,3717,2273,1444,2771,1531,1240,1705,946,742,204,874,692,182,72,50,22
진해구,192626,100153,92473,186526,96143,90383,85649,6100,4010,2090,5011,3446,1565,1089,564,525
충무동,15519,8041,7478,15218,7880,7338,7520,301,161,140,270,153,117,31,8,23
