Unnamed: 0,Unnamed: 1,2024년 7월말 인구 현황,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
【창원시】,,,,,,,,,,,,,,,"                    (단위 : 세대, 명)",
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,외국인 총계,,,"외  국  인
(출입국관리소 등록신고)",,,국내거소신고 외국인국적동포,,
,소계,남,여,소계,남,여,세대수,소계,남,여,소계,남,여,소계,남,여
합  계,1023978,520618,503360,1003176,507814,495362,459271,20802,12804,7998,17338,10981,6357,3464,1823,1641
의창구,214771,109469,105302,210608,107094,103514,97001,4163,2375,1788,3525,2052,1473,638,323,315
동읍            ,18745,9595,9150,18528,9473,9055,9041,217,122,95,200,111,89,17,11,6
북면            ,43276,21716,21560,43000,21591,21409,16814,276,125,151,235,107,128,41,18,23
대산면          ,7217,3810,3407,6715,3394,3321,3658,502,416,86,491,411,80,11,5,6
의창동          ,49147,24686,24461,48806,24544,24262,21280,341,142,199,265,107,158,76,35,41
팔룡동          ,26061,13462,12599,25184,12836,12348,11240,877,626,251,807,598,209,70,28,42
명곡동          ,39820,20149,19671,38783,19616,19167,18006,1037,533,504,779,393,386,258,140,118
봉림동          ,30505,16051,14454,29592,15640,13952,16962,913,411,502,748,325,423,165,86,79
성산구,250157,128400,121757,244933,125035,119898,107342,5224,3365,1859,4297,2863,1434,927,502,425
반송동          ,39505,19901,19604,39138,19708,19430,15543,367,193,174,237,122,115,130,71,59
용지동          ,26915,13565,13350,26483,13348,13135,12253,432,217,215,328,159,169,104,58,46
중앙동,39248,21433,17815,37284,20221,17063,19833,1964,1212,752,1559,985,574,405,227,178
상남동          ,26711,13295,13416,26449,13183,13266,10832,262,112,150,184,71,113,78,41,37
사파동          ,45113,22357,22756,44788,22225,22563,19735,325,132,193,265,107,158,60,25,35
가음정동        ,38046,19240,18806,37616,18989,18627,15599,430,251,179,359,216,143,71,35,36
성주동          ,26549,13960,12589,26014,13544,12470,10160,535,416,119,483,389,94,52,27,25
웅남동          ,8070,4649,3421,7161,3817,3344,3387,909,832,77,882,814,68,27,18,9
마산합포구,181998,90684,91314,179160,88958,90202,86583,2838,1726,1112,2535,1580,955,303,146,157
구산면          ,4141,2215,1926,3946,2036,1910,2299,195,179,16,191,178,13,4,1,3
진동면          ,11915,6133,5782,11637,5966,5671,5489,278,167,111,249,149,100,29,18,11
진북면          ,3612,2095,1517,3129,1658,1471,1823,483,437,46,470,428,42,13,9,4
진전면          ,3818,1958,1860,3656,1835,1821,2171,162,123,39,153,119,34,9,4,5
현동            ,13700,6802,6898,13592,6741,6851,5672,108,61,47,92,54,38,16,7,9
가포동          ,4644,2364,2280,4576,2316,2260,2436,68,48,20,59,45,14,9,3,6
월영동          ,41861,20748,21113,41241,20448,20793,17115,620,300,320,563,277,286,57,23,34
문화동          ,11062,5526,5536,10886,5446,5440,6126,176,80,96,148,65,83,28,15,13
반월중앙동      ,13420,6443,6977,13355,6428,6927,6262,65,15,50,48,9,39,17,6,11
완월동          ,8526,4120,4406,8476,4101,4375,4037,50,19,31,40,11,29,10,8,2
자산동          ,9185,4470,4715,9153,4462,4691,4434,32,8,24,23,5,18,9,3,6
교방동          ,19121,9435,9686,19045,9417,9628,8558,76,18,58,67,15,52,9,3,6
오동동,18494,9150,9344,18272,9030,9242,10431,222,120,102,175,96,79,47,24,23
합포동          ,6751,3391,3360,6665,3342,3323,3599,86,49,37,73,43,30,13,6,7
산호동          ,11748,5834,5914,11531,5732,5799,6131,217,102,115,184,86,98,33,16,17
마산회원구,182025,91027,90998,179034,89283,89751,82614,2991,1744,1247,2513,1483,1030,478,261,217
내서읍          ,60419,30314,30105,59807,29969,29838,25179,612,345,267,538,311,227,74,34,40
회원1동         ,9720,4727,4993,9646,4705,4941,5127,74,22,52,54,13,41,20,9,11
회원2동         ,9662,4739,4923,9611,4721,4890,4521,51,18,33,35,11,24,16,7,9
석전동          ,16153,7997,8156,15994,7925,8069,7756,159,72,87,111,42,69,48,30,18
회성동          ,5329,2684,2645,5277,2661,2616,2860,52,23,29,31,8,23,21,15,6
양덕1동         ,10616,5277,5339,10451,5213,5238,5449,165,64,101,133,49,84,32,15,17
양덕2동         ,32684,16114,16570,32467,15993,16474,12751,217,121,96,155,94,61,62,27,35
합성1동         ,8819,4446,4373,8732,4410,4322,4456,87,36,51,69,28,41,18,8,10
합성2동         ,7322,3644,3678,6992,3485,3507,4107,330,159,171,298,141,157,32,18,14
구암1동         ,8383,4182,4201,8281,4144,4137,4269,102,38,64,82,28,54,20,10,10
구암2동         ,9135,4590,4545,8882,4444,4438,4390,253,146,107,194,111,83,59,35,24
봉암동          ,3783,2313,1470,2894,1613,1281,1749,889,700,189,813,647,166,76,53,23
