,,2015년 1월말 주민등록인구 및 외국인 현황,,,,,,,,
,,,,,,,,,,
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
 합  계 ,"1,091,180 ","557,403 ","533,777 ","1,074,769 ","546,359 ","528,410 ","412,593 ","16,411 ","11,044 ","5,367 "
의창구," 262,655 "," 134,619 "," 128,036 "," 258,752 "," 132,147 "," 126,605 "," 100,101 "," 3,903 "," 2,472 "," 1,431 "
동읍            ," 23,722 "," 12,089 "," 11,633 "," 23,451 ","11,925 ","11,526 ","8,754 ", 271 , 164 , 107 
북면            ," 24,054 "," 12,259 "," 11,795 "," 23,863 ","12,144 ","11,719 ","9,017 ", 191 , 115 , 76 
대산면          ," 7,930 "," 4,120 "," 3,810 "," 7,576 ","3,819 ","3,757 ","3,366 ", 354 , 301 , 53 
의창동          ," 38,665 "," 19,674 "," 18,991 "," 38,463 ","19,598 ","18,865 ","15,027 ", 202 , 76 , 126 
팔룡동          ," 44,759 "," 23,446 "," 21,313 "," 43,239 ","22,216 ","21,023 ","15,404 "," 1,520 "," 1,230 ", 290 
명곡동          ," 53,886 "," 27,348 "," 26,538 "," 53,322 ","27,112 ","26,210 ","19,694 ", 564 , 236 , 328 
봉림동          ," 38,198 "," 19,790 "," 18,408 "," 37,653 ","19,554 ","18,099 ","16,498 ", 545 , 236 , 309 
용지동          ," 31,441 "," 15,893 "," 15,548 "," 31,185 ","15,779 ","15,406 ","12,341 ", 256 , 114 , 142 
성산구," 242,840 "," 125,538 "," 117,302 "," 238,157 "," 122,028 "," 116,129 "," 83,968 "," 4,683 "," 3,510 "," 1,173 "
반송동          ," 48,595 "," 24,616 "," 23,979 "," 48,343 ","24,496 ","23,847 ","16,034 ", 252 , 120 , 132 
중앙동          ," 25,430 "," 13,530 "," 11,900 "," 24,484 ","12,981 ","11,503 ","11,503 ", 946 , 549 , 397 
상남동          ," 32,642 "," 16,560 "," 16,082 "," 32,414 ","16,465 ","15,949 ","10,630 ", 228 , 95 , 133 
사파동          ," 55,115 "," 27,708 "," 27,407 "," 54,820 ","27,592 ","27,228 ","19,165 ", 295 , 116 , 179 
가음정동        ," 39,332 "," 20,146 "," 19,186 "," 38,989 ","19,942 ","19,047 ","13,307 ", 343 , 204 , 139 
성주동          ," 30,120 "," 16,010 "," 14,110 "," 29,274 ","15,276 ","13,998 ","9,455 ", 846 , 734 , 112 
웅남동          ," 11,606 "," 6,968 "," 4,638 "," 9,833 ","5,276 ","4,557 ","3,874 "," 1,773 "," 1,692 ", 81 
마산합포구," 184,223 "," 92,199 "," 92,024 "," 182,263 "," 90,987 "," 91,276 "," 75,014 "," 1,960 "," 1,212 ", 748 
구산면          ," 5,205 "," 2,740 "," 2,465 "," 4,980 ","2,533 ","2,447 ","2,345 ", 225 , 207 , 18 
진동면          ," 12,614 "," 6,441 "," 6,173 "," 12,468 ","6,369 ","6,099 ","4,981 ", 146 , 72 , 74 
진북면          ," 4,657 "," 2,651 "," 2,006 "," 4,150 ","2,206 ","1,944 ","1,848 ", 507 , 445 , 62 
진전면          ," 4,521 "," 2,274 "," 2,247 "," 4,379 ","2,166 ","2,213 ","2,158 ", 142 , 108 , 34 
현동            ," 3,408 "," 1,825 "," 1,583 "," 3,323 ","1,752 ","1,571 ","1,327 ", 85 , 73 , 12 
가포동          ," 1,432 ", 717 , 715 ," 1,418 ",714 ,704 ,643 , 14 , 3 , 11 
월영동          ," 31,726 "," 15,804 "," 15,922 "," 31,503 ","15,706 ","15,797 ","11,345 ", 223 , 98 , 125 
문화동          ," 13,322 "," 6,610 "," 6,712 "," 13,231 ","6,573 ","6,658 ","5,702 ", 91 , 37 , 54 
반월동          ," 9,143 "," 4,481 "," 4,662 "," 9,104 ","4,470 ","4,634 ","3,463 ", 39 , 11 , 28 
