Unnamed: 0,Unnamed: 1,2025년 5월말 인구 현황,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
【창원시】,,,,,,,,,,,,,,,,"(단위: 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,외국인 총계,,,"외 국 인
(출입국관리소 등록신고)",,,국내거소신고 외국인국적동포,,
,소계,남,여,소계,남,여,세대수,소계,남,여,소계,남,여,소계,남,여
합  계,1017398,517663,499735,995372,503892,491480,461364,22026,13771,8255,18641,12020,6621,3385,1751,1634
의창구,213745,109025,104720,209372,106495,102877,97826,4373,2530,1843,3736,2208,1528,637,322,315
동읍,18589,9507,9082,18351,9369,8982,9093,238,138,100,217,126,91,21,12,9
북면,44574,22392,22182,44270,22256,22014,17658,304,136,168,265,120,145,39,16,23
대산면,7149,3801,3348,6633,3374,3259,3681,516,427,89,503,420,83,13,7,6
의창동,48261,24195,24066,47916,24054,23862,21100,345,141,204,282,113,169,63,28,35
팔룡동,25445,13140,12305,24502,12477,12025,11170,943,663,280,879,642,237,64,21,43
명곡동,39796,20123,19673,38706,19555,19151,18255,1090,568,522,826,419,407,264,149,115
봉림동,29931,15867,14064,28994,15410,13584,16869,937,457,480,764,368,396,173,89,84
성산구,249220,128016,121204,243777,124462,119315,108059,5443,3554,1889,4540,3079,1461,903,475,428
반송동,38951,19565,19386,38566,19362,19204,15512,385,203,182,261,138,123,124,65,59
용지동,26189,13196,12993,25738,12975,12763,12107,451,221,230,344,167,177,107,54,53
중앙동,40063,21911,18152,38048,20635,17413,20133,2015,1276,739,1625,1063,562,390,213,177
상남동,26277,13072,13205,26016,12961,13055,10812,261,111,150,189,75,114,72,36,36
사파동,44176,21945,22231,43819,21789,22030,19621,357,156,201,293,126,167,64,30,34
가음정동,38285,19336,18949,37861,19090,18771,15841,424,246,178,363,214,149,61,32,29
성주동,27419,14474,12945,26824,14010,12814,10718,595,464,131,543,440,103,52,24,28
웅남동,7860,4517,3343,6905,3640,3265,3315,955,877,78,922,856,66,33,21,12
마산합포구,179704,89380,90324,176767,87574,89193,86396,2937,1806,1131,2623,1655,968,314,151,163
구산면,4110,2201,1909,3908,2015,1893,2306,202,186,16,197,184,13,5,2,3
진동면,11766,6054,5712,11463,5863,5600,5524,303,191,112,275,173,102,28,18,10
진북면,3529,2046,1483,3053,1619,1434,1799,476,427,49,466,420,46,10,7,3
진전면,3789,1927,1862,3623,1804,1819,2168,166,123,43,159,120,39,7,3,4
현동,13548,6693,6855,13443,6634,6809,5672,105,59,46,91,53,38,14,6,8
가포동,5253,2691,2562,5191,2650,2541,2707,62,41,21,48,37,11,14,4,10
월영동,41399,20429,20970,40685,20055,20630,17044,714,374,340,651,351,300,63,23,40
문화동,10840,5432,5408,10678,5352,5326,6066,162,80,82,129,60,69,33,20,13
반월중앙동,13163,6310,6853,13105,6298,6807,6205,58,12,46,43,7,36,15,5,10
완월동,8304,4008,4296,8252,3987,4265,3973,52,21,31,39,12,27,13,9,4
자산동,8866,4276,4590,8837,4269,4568,4347,29,7,22,20,4,16,9,3,6
교방동,18893,9299,9594,18812,9277,9535,8568,81,22,59,72,19,53,9,3,6
오동동,18234,9074,9160,18013,8957,9056,10410,221,117,104,175,91,84,46,26,20
합포동,6579,3295,3284,6494,3249,3245,3553,85,46,39,70,39,31,15,7,8
산호동,11431,5645,5786,11210,5545,5665,6054,221,100,121,188,85,103,33,15,18
마산회원구,181791,90929,90862,178597,89046,89551,83387,3194,1883,1311,2744,1640,1104,450,243,207
내서읍,59189,29704,29485,58498,29317,29181,25128,691,387,304,620,351,269,71,36,35
회원1동,9433,4626,4807,9380,4608,4772,5061,53,18,35,38,11,27,15,7,8
회원2동,9444,4630,4814,9394,4613,4781,4451,50,17,33,39,12,27,11,5,6
석전동,15711,7778,7933,15561,7710,7851,7667,150,68,82,107,44,63,43,24,19
회성동,5153,2606,2547,5093,2578,2515,2790,60,28,32,37,12,25,23,16,7
양덕1동,10296,5122,5174,10129,5053,5076,5365,167,69,98,135,53,82,32,16,16
양덕2동,34439,16973,17466,34209,16850,17359,13597,230,123,107,173,101,72,57,22,35
합성1동,8613,4348,4265,8529,4313,4216,4403,84,35,49,67,28,39,17,7,10
합성2동,8847,4419,4428,8466,4227,4239,4691,381,192,189,350,174,176,31,18,13
구암1동,8048,3994,4054,7950,3959,3991,4174,98,35,63,80,26,54,18,9,9
구암2동,8896,4453,4443,8612,4282,4330,4352,284,171,113,224,138,86,60,33,27
봉암동,3722,2276,1446,2776,1536,1240,1708,946,740,206,874,690,184,72,50,22
진해구,192938,100313,92625,186859,96315,90544,85696,6079,3998,2081,4998,3438,1560,1081,560,521
충무동,15565,8063,7502,15264,7903,7361,7528,301,160,141,270,152,118,31,8,23
