Unnamed: 0,Unnamed: 1,2024년 1월말 인구 현황,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
【창원시】,,,,,,,,,,,,,,,"                    (단위 : 세대, 명)",
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,외국인 총계,,,"외  국  인
(출입국관리소 등록신고)",,,국내거소신고 외국인국적동포,,
,소계,남,여,소계,남,여,세대수,소계,남,여,소계,남,여,소계,남,여
합  계,1028283,522509,505774,1008228,510299,497929,456960,20055,12210,7845,16628,10401,6227,3427,1809,1618
의창구,217041,110609,106432,212927,108307,104620,96932,4114,2302,1812,3470,1979,1491,644,323,321
동읍            ,19032,9753,9279,18817,9638,9179,9070,215,115,100,197,103,94,18,12,6
북면            ,43418,21797,21621,43149,21679,21470,16746,269,118,151,233,105,128,36,13,23
대산면          ,7265,3818,3447,6770,3410,3360,3665,495,408,87,486,405,81,9,3,6
의창동          ,49713,25003,24710,49381,24867,24514,21307,332,136,196,256,105,151,76,31,45
팔룡동          ,26405,13601,12804,25533,12979,12554,11226,872,622,250,795,588,207,77,34,43
명곡동          ,40457,20513,19944,39443,20012,19431,18130,1014,501,513,758,365,393,256,136,120
봉림동          ,30751,16124,14627,29834,15722,14112,16788,917,402,515,745,308,437,172,94,78
성산구,249838,128096,121742,244866,124898,119968,106175,4972,3198,1774,4066,2712,1354,906,486,420
반송동          ,40119,20213,19906,39758,20024,19734,15605,361,189,172,232,121,111,129,68,61
용지동          ,27242,13700,13542,26847,13515,13332,12269,395,185,210,291,129,162,104,56,48
중앙동,36428,19946,16482,34624,18840,15784,18707,1804,1106,698,1403,882,521,401,224,177
상남동          ,27100,13554,13546,26839,13434,13405,10851,261,120,141,193,83,110,68,37,31
사파동          ,46039,22752,23287,45707,22619,23088,19831,332,133,199,270,107,163,62,26,36
가음정동        ,38555,19505,19050,38142,19254,18888,15620,413,251,162,346,219,127,67,32,35
성주동          ,26149,13717,12432,25628,13316,12312,9860,521,401,120,472,376,96,49,25,24
웅남동          ,8206,4709,3497,7321,3896,3425,3432,885,813,72,859,795,64,26,18,8
마산합포구,181936,90633,91303,179158,88958,90200,85736,2778,1675,1103,2472,1528,944,306,147,159
구산면          ,4214,2254,1960,4004,2061,1943,2321,210,193,17,206,192,14,4,1,3
진동면          ,12012,6188,5824,11751,6036,5715,5478,261,152,109,231,135,96,30,17,13
진북면          ,3656,2106,1550,3190,1684,1506,1830,466,422,44,452,412,40,14,10,4
진전면          ,3815,1927,1888,3678,1826,1852,2171,137,101,36,128,97,31,9,4,5
현동            ,13858,6880,6978,13745,6814,6931,5687,113,66,47,96,59,37,17,7,10
가포동          ,2820,1437,1383,2766,1394,1372,1652,54,43,11,50,41,9,4,2,2
월영동          ,42275,20940,21335,41619,20619,21000,17085,656,321,335,596,296,300,60,25,35
문화동          ,11120,5544,5576,10945,5461,5484,6048,175,83,92,148,69,79,27,14,13
반월중앙동      ,13619,6575,7044,13553,6559,6994,6293,66,16,50,49,8,41,17,8,9
완월동          ,8659,4180,4479,8609,4162,4447,4060,50,18,32,41,10,31,9,8,1
자산동          ,9408,4573,4835,9369,4562,4807,4482,39,11,28,29,8,21,10,3,7
교방동          ,19033,9406,9627,18959,9387,9572,8457,74,19,55,64,15,49,10,4,6
오동동,18704,9272,9432,18503,9172,9331,10436,201,100,101,154,78,76,47,22,25
합포동          ,6835,3423,3412,6764,3386,3378,3613,71,37,34,57,30,27,14,7,7
산호동          ,11908,5928,5980,11703,5835,5868,6123,205,93,112,171,78,93,34,15,19
마산회원구,183154,91569,91585,180296,89904,90392,82480,2858,1665,1193,2389,1404,985,469,261,208
내서읍          ,61375,30727,30648,60848,30445,30403,25198,527,282,245,459,249,210,68,33,35
회원1동         ,9819,4794,5025,9751,4774,4977,5150,68,20,48,48,11,37,20,9,11
회원2동         ,9754,4778,4976,9695,4759,4936,4525,59,19,40,39,10,29,20,9,11
석전동          ,16372,8131,8241,16217,8057,8160,7822,155,74,81,110,46,64,45,28,17
회성동          ,5491,2766,2725,5432,2737,2695,2925,59,29,30,39,15,24,20,14,6
양덕1동         ,10716,5333,5383,10565,5270,5295,5472,151,63,88,121,49,72,30,14,16
양덕2동         ,31604,15564,16040,31419,15464,15955,12267,185,100,85,126,73,53,59,27,32
합성1동         ,8934,4490,4444,8847,4454,4393,4476,87,36,51,71,29,42,16,7,9
합성2동         ,7460,3737,3723,7128,3567,3561,4151,332,170,162,303,154,149,29,16,13
구암1동         ,8573,4268,4305,8463,4227,4236,4311,110,41,69,91,31,60,19,10,9
구암2동         ,9207,4630,4577,8964,4495,4469,4418,243,135,108,186,101,85,57,34,23
봉암동          ,3849,2351,1498,2967,1655,1312,1765,882,696,186,796,636,160,86,60,26
