Unnamed: 0,Unnamed: 1,2019년 12월말 주민등록인구 현황,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
합  계,1059813,538509,521304,1044740,529262,515478,431382,15073,9247,5826
의창구,262246,133650,128596,258582,131544,127038,106817,3664,2106,1558
동읍            ,21003,10680,10323,20802,10563,10239,8784,201,117,84
북면            ,42982,21715,21267,42710,21575,21135,15916,272,140,132
대산면          ,7754,4047,3707,7398,3747,3651,3672,356,300,56
의창동          ,43081,21796,21285,42841,21711,21130,17590,240,85,155
팔룡동          ,38647,20002,18645,37624,19234,18390,14553,1023,768,255
명곡동          ,45335,23029,22306,44690,22729,21961,18137,645,300,345
봉림동          ,31890,16575,15315,31271,16301,14970,15107,619,274,345
용지동          ,31554,15806,15748,31246,15684,15562,13058,308,122,186
성산구,224640,115423,109217,220945,112865,108080,85420,3695,2558,1137
반송동          ,43366,21934,21432,43113,21821,21292,15351,253,113,140
중앙동          ,24441,13368,11073,23384,12726,10658,12838,1057,642,415
상남동          ,29202,14698,14504,28985,14609,14376,10428,217,89,128
사파동          ,47742,23774,23968,47426,23640,23786,18236,316,134,182
가음정동        ,42868,21775,21093,42555,21604,20951,15617,313,171,142
성주동          ,27785,14620,13165,27243,14158,13085,9515,542,462,80
웅남동          ,9236,5254,3982,8239,4307,3932,3435,997,947,50
마산합포구,180068,89790,90278,177784,88457,89327,78684,2284,1333,951
구산면          ,4696,2522,2174,4466,2306,2160,2328,230,216,14
진동면          ,12958,6656,6302,12755,6551,6204,5443,203,105,98
진북면          ,4108,2326,1782,3696,1963,1733,1787,412,363,49
진전면          ,4222,2136,2086,4107,2045,2062,2233,115,91,24
현동            ,14737,7357,7380,14619,7284,7335,5650,118,73,45
가포동          ,705,374,331,670,343,327,349,35,31,4
월영동          ,33066,16365,16701,32563,16145,16418,12530,503,220,283
문화동          ,11935,5897,6038,11802,5838,5964,5669,133,59,74
반월중앙동      ,15733,7665,8068,15657,7641,8016,6607,76,24,52
완월동          ,9729,4742,4987,9690,4734,4956,4093,39,8,31
자산동          ,11517,5646,5871,11468,5635,5833,4987,49,11,38
교방동          ,8737,4319,4418,8683,4307,4376,3537,54,12,42
노산동          ,6355,3148,3207,6353,3148,3205,2960,2,0,2
오동동          ,20805,10290,10515,20661,10230,10431,10546,144,60,84
합포동          ,7331,3709,3622,7287,3694,3593,3650,44,15,29
산호동          ,13434,6638,6796,13307,6593,6714,6315,127,45,82
마산회원구,195856,98588,97268,193807,97453,96354,80629,2049,1135,914
내서읍          ,67792,34137,33655,67325,33879,33446,24892,467,258,209
회원1동         ,11320,5636,5684,11252,5615,5637,5333,68,21,47
회원2동         ,7884,3945,3939,7859,3939,3920,3511,25,6,19
석전동          ,14558,7313,7245,14436,7268,7168,6595,122,45,77
회성동          ,6775,3440,3335,6733,3431,3302,3204,42,9,33
양덕1동         ,11954,6026,5928,11852,5973,5879,5525,102,53,49
양덕2동         ,33102,16454,16648,32983,16384,16599,11903,119,70,49
합성1동         ,9833,5004,4829,9776,4984,4792,4541,57,20,37
합성2동         ,8436,4207,4229,8238,4125,4113,4338,198,82,116
구암1동         ,9730,4855,4875,9658,4836,4822,4417,72,19,53
구암2동         ,10239,5102,5137,10090,5028,5062,4450,149,74,75
봉암동          ,4233,2469,1764,3605,1991,1614,1920,628,478,150
진해구,197003,101058,95945,193622,98943,94679,79832,3381,2115,1266
중앙동          ,8118,4243,3875,8109,4241,3868,3092,9,2,7
태평동          ,6123,3132,2991,6113,3127,2986,2785,10,5,5
충무동          ,3810,1932,1878,3711,1871,1840,1883,99,61,38
여좌동          ,9168,4544,4624,9062,4497,4565,4395,106,47,59
태백동          ,5368,2708,2660,5341,2697,2644,2715,27,11,16
경화동          ,11697,5901,5796,11628,5871,5757,4626,69,30,39
병암동          ,7814,3855,3959,7776,3845,3931,3347,38,10,28
석동            ,17751,9056,8695,17617,8985,8632,6739,134,71,63
이동            ,8796,4611,4185,8688,4565,4123,4419,108,46,62
자은동          ,21858,10899,10959,21756,10873,10883,8568,102,26,76
덕산동          ,10460,5132,5328,10419,5120,5299,4090,41,12,29
풍호동          ,26558,13233,13325,26484,13200,13284,9070,74,33,41
웅천동          ,12556,6496,6060,12270,6245,6025,5073,286,251,35
웅동1동         ,7374,4105,3269,6630,3409,3221,2707,744,696,48
웅동2동         ,39552,21211,18341,38018,20397,17621,16323,1534,814,720
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",,,,,,,,,,
