,,2015년 3월말 주민등록인구 및 외국인 현황,,,,,,,,
,,,,,,,,,,
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
양덕2동         ," 29,298 "," 14,859 "," 14,439 "," 29,041 ","14,687 ","14,354 ","10,318 ", 257 , 172 , 85 
합성1동         ," 8,766 "," 4,517 "," 4,249 "," 8,670 ","4,480 ","4,190 ","4,051 ", 96 , 37 , 59 
합성2동         ," 10,460 "," 5,278 "," 5,182 "," 10,317 ","5,213 ","5,104 ","4,864 ", 143 , 65 , 78 
구암1동         ," 11,544 "," 5,854 "," 5,690 "," 11,456 ","5,832 ","5,624 ","4,739 ", 88 , 22 , 66 
구암2동         ," 11,581 "," 5,850 "," 5,731 "," 11,437 ","5,794 ","5,643 ","4,490 ", 144 , 56 , 88 
봉암동          ," 5,158 "," 3,028 "," 2,130 "," 4,483 ","2,485 ","1,998 ","2,172 ", 675 , 543 , 132 
진해구," 184,851 "," 95,089 "," 89,762 "," 181,457 "," 92,688 "," 88,769 "," 70,315 "," 3,394 "," 2,401 ", 993 
중앙동          ," 9,519 "," 4,948 "," 4,571 "," 9,488 ","4,937 ","4,551 ","3,325 ", 31 , 11 , 20 
태평동          ," 6,798 "," 3,495 "," 3,303 "," 6,757 ","3,466 ","3,291 ","2,773 ", 41 , 29 , 12 
충무동          ," 4,691 "," 2,373 "," 2,318 "," 4,650 ","2,356 ","2,294 ","2,098 ", 41 , 17 , 24 
여좌동          ," 12,131 "," 6,051 "," 6,080 "," 12,033 ","6,018 ","6,015 ","5,217 ", 98 , 33 , 65 
태백동          ," 6,844 "," 3,476 "," 3,368 "," 6,812 ","3,468 ","3,344 ","3,107 ", 32 , 8 , 24 
경화동          ," 11,187 "," 5,683 "," 5,504 "," 11,147 ","5,671 ","5,476 ","4,261 ", 40 , 12 , 28 
병암동          ," 8,984 "," 4,475 "," 4,509 "," 8,927 ","4,450 ","4,477 ","3,519 ", 57 , 25 , 32 
석동            ," 19,847 "," 10,089 "," 9,758 "," 19,702 ","10,027 ","9,675 ","6,869 ", 145 , 62 , 83 
이동            ," 11,545 "," 5,983 "," 5,562 "," 11,410 ","5,924 ","5,486 ","5,115 ", 135 , 59 , 76 
자은동          ," 12,463 "," 6,254 "," 6,209 "," 12,381 ","6,225 ","6,156 ","4,571 ", 82 , 29 , 53 
덕산동          ," 12,432 "," 6,142 "," 6,290 "," 12,379 ","6,111 ","6,268 ","4,342 ", 53 , 31 , 22 
풍호동          ," 18,103 "," 9,019 "," 9,084 "," 17,964 ","8,935 ","9,029 ","5,949 ", 139 , 84 , 55 
웅천동          ," 5,026 "," 2,949 "," 2,077 "," 4,310 ","2,261 ","2,049 ","2,048 ", 716 , 688 , 28 
웅동1동         ," 9,574 "," 5,263 "," 4,311 "," 8,733 ","4,462 ","4,271 ","3,227 ", 841 , 801 , 40 
웅동2동         ," 35,707 "," 18,889 "," 16,818 "," 34,764 ","18,377 ","16,387 ","13,894 ", 943 , 512 , 431 
