NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
66,경상남도 창원시 성산구 중앙동,2*,단독,8m미만,177.45,250.00,202206,21,"35,500",-,-,1986,원이대로552번길,-,중개거래,경남 창원성산구
67,경상남도 창원시 성산구 대방동,3**,단독,25m미만,192.55,615.60,202206,20,"121,000",-,-,1997,대암로77번길,-,중개거래,경남 창원성산구
68,경상남도 창원시 성산구 가음동,3*,단독,12m미만,226.58,254.10,202206,18,"48,000",-,-,1996,가양로52번길,-,중개거래,경남 창원성산구
69,경상남도 창원시 성산구 반지동,6*,다가구,12m미만,192.39,218.90,202206,18,"46,000",-,-,1994,반지로16번길,-,중개거래,경남 창원의창구
70,경상남도 창원시 성산구 가음동,4*,단독,12m미만,327.69,340.80,202206,18,"50,000",-,-,2001,가양로52번길,-,중개거래,경남 창원성산구
71,경상남도 창원시 성산구 반지동,4*,단독,25m미만,130.86,257.40,202206,15,"37,500",-,-,1980,반지로,-,중개거래,경남 창원성산구
72,경상남도 창원시 성산구 신월동,7*,단독,12m미만,232.98,236.90,202206,15,"52,000",-,-,2002,동산로199번길,-,중개거래,경남 창원성산구
73,경상남도 창원시 성산구 중앙동,5*,단독,25m미만,230.43,288.00,202206,07,"60,000",-,-,1983,외동반림로74번길,-,중개거래,경남 창원성산구
74,경상남도 창원시 성산구 상남동,5*,단독,25m미만,422.20,272.60,202206,03,"92,000",-,-,2001,동산로,-,중개거래,경남 창원성산구
75,경상남도 창원시 성산구 사파동,7*,다가구,12m미만,230.85,245.40,202206,02,"56,000",-,-,2003,창이대로707번길,-,중개거래,경남 창원성산구
76,경상남도 창원시 성산구 상남동,5*,다가구,12m미만,390.21,251.50,202206,02,"47,500",-,-,2003,단정로98번길,-,중개거래,경남 창원성산구
77,경상남도 창원시 성산구 신월동,7*,단독,25m미만,278.43,328.10,202206,02,"61,000",-,-,1994,신사로45번길,-,직거래,-
78,경상남도 창원시 성산구 중앙동,6*,다가구,12m미만,399.86,265.90,202205,25,"55,000",-,-,2012,외동반림로20번길,-,중개거래,경남 창원성산구
79,경상남도 창원시 성산구 반지동,4*,단독,12m미만,131.13,262.00,202205,25,"29,000",-,-,1981,반송로29번길,-,직거래,-
80,경상남도 창원시 성산구 중앙동,5*,다가구,12m미만,230.38,236.60,202205,24,"62,500",-,-,2016,외동반림로46번길,-,중개거래,경남 창원의창구
81,경상남도 창원시 성산구 귀산동,3**,단독,8m미만,78.04,396.00,202205,23,"27,600",-,-,1920,귀산로60번길,-,직거래,-
82,경상남도 창원시 성산구 신월동,6*,단독,12m미만,193.53,254.50,202205,21,"35,000",-,-,1988,신사로21번길,-,중개거래,경남 창원성산구
83,경상남도 창원시 성산구 중앙동,2*,단독,25m미만,188.43,237.20,202205,20,"55,000",-,-,1984,외동반림로,-,직거래,-
84,경상남도 창원시 성산구 반지동,1**,단독,12m미만,184.67,218.40,202205,19,"33,500",-,-,1989,창원천로192번길,-,중개거래,경남 창원성산구
85,경상남도 창원시 성산구 반지동,2*,다가구,12m미만,223.70,237.10,202205,16,"57,600",-,-,2011,창원천로242번길,-,중개거래,부산 강서구
86,경상남도 창원시 성산구 신월동,5*,단독,12m미만,232.68,256.00,202205,13,"52,500",-,-,1997,상남로174번길,-,중개거래,경남 창원성산구
87,경상남도 창원시 성산구 신월동,5*,단독,12m미만,232.68,256.00,202205,13,"52,500",-,-,1997,상남로174번길,20220913,중개거래,경남 창원성산구
88,경상남도 창원시 성산구 사파동,8*,단독,12m미만,243.58,257.70,202204,26,"50,700",-,-,1998,창이대로719번길,-,중개거래,경남 창원성산구
89,경상남도 창원시 성산구 상남동,5*,단독,25m미만,422.20,272.60,202204,26,"92,000",-,-,2001,동산로,20220603,중개거래,경남 창원성산구
