NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
52,경상남도 창원시 진해구 회현동,*,다가구,12m미만,580.40,303.00,202409,05,"50,000",개인,개인,2010,편백로,-,중개거래,경남 창원시 진해구
53,경상남도 창원시 진해구 안골동,3**,단독,12m미만,226.00,192.00,202409,03,"20,000",개인,개인,2002,안골로277번길,-,중개거래,경남 창원시 진해구
54,경상남도 창원시 진해구 안골동,3**,단독,12m미만,64.20,191.80,202409,03,"20,000",개인,개인,2002,안골로277번길,-,중개거래,경남 창원시 진해구
55,경상남도 창원시 진해구 인사동,*,단독,8m미만,49.59,97.50,202408,30,"3,700",개인,개인,1971,인사로6번길,-,직거래,-
56,경상남도 창원시 진해구 대죽동,3*,단독,8m미만,43.60,100.00,202408,29,"3,500",개인,개인,1976,중원동로10번안길,-,직거래,-
57,경상남도 창원시 진해구 석동,1**,단독,25m미만,223.34,200.30,202408,24,"36,500",개인,개인,1994,석동로30번길,-,중개거래,경남 창원시 진해구
58,경상남도 창원시 진해구 여좌동,7**,다가구,8m미만,178.60,178.50,202408,23,"24,500",개인,개인,2003,여좌로15번길,-,중개거래,경남 창원시 진해구
59,경상남도 창원시 진해구 경화동,1***,단독,8m미만,99.54,170.10,202408,23,"25,000",개인,개인,2011,충장로,-,중개거래,경남 창원시 진해구
60,경상남도 창원시 진해구 충의동,3*,단독,12m미만,88.20,198.30,202408,22,"12,100",개인,개인,1983,태평로38번길,-,중개거래,경남 창원시 마산회원구
61,경상남도 창원시 진해구 이동,5**,단독,8m미만,67.24,140.00,202408,19,"10,000",개인,개인,1978,충장로364번나길,-,중개거래,경남 창원시 진해구
62,경상남도 창원시 진해구 제황산동,2*,단독,8m미만,31.68,86.00,202408,19,"4,000",개인,개인,1993,벚꽃로50번안길,-,중개거래,경남 창원시 진해구
63,경상남도 창원시 진해구 경화동,9**,단독,8m미만,64.30,159.00,202408,14,"12,000",개인,개인,1945,경화로26번길,-,직거래,-
64,경상남도 창원시 진해구 가주동,2**,단독,12m미만,84.88,420.00,202408,12,"25,400",개인,개인,1995,가주로,-,직거래,-
65,경상남도 창원시 진해구 이동,1**,단독,8m미만,117.51,229.00,202408,12,"20,000",개인,개인,1990,충장로435번길,-,중개거래,경남 창원시 진해구
66,경상남도 창원시 진해구 용원동,1***,다가구,12m미만,491.10,241.20,202408,09,"62,000",법인,개인,2010,용재로35번길,-,직거래,-
67,경상남도 창원시 진해구 행암동,1**,단독,8m미만,42.20,142.00,202408,07,"12,500",개인,개인,1945,행암로219번길,-,중개거래,경남 창원시 진해구
68,경상남도 창원시 진해구 충무동,2*,단독,8m미만,86.28,66.10,202407,31,"7,850",개인,개인,1972,제황로80번길,-,중개거래,경남 창원시 진해구
69,경상남도 창원시 진해구 경화동,1***,단독,8m미만,78.65,165.60,202407,30,"21,250",개인,개인,1977,경화로29번길,-,중개거래,경남 창원시 진해구
70,경상남도 창원시 진해구 경화동,5**,다가구,8m미만,137.53,149.00,202407,29,"20,509",법인,개인,2003,경화로26번길,-,직거래,-
71,경상남도 창원시 진해구 안골동,3**,다가구,12m미만,388.92,198.70,202407,29,"52,000",개인,개인,2004,안청로34번길,-,중개거래,경남 창원시진해구
72,경상남도 창원시 진해구 여좌동,9*,단독,8m미만,35.67,63.10,202407,22,"4,000",개인,개인,1940,여좌로70번길,-,직거래,-
73,경상남도 창원시 진해구 제황산동,2*,단독,8m미만,54.88,99.00,202407,21,"12,100",개인,개인,1977,제황로,-,중개거래,경남 창원시성산구
74,경상남도 창원시 진해구 경화동,1***,단독,8m미만,114.06,155.30,202407,19,"20,000",개인,개인,1979,충장로245번길,-,직거래,-
75,경상남도 창원시 진해구 소사동,3*,단독,8m미만,67.32,405.30,202407,18,"29,500",개인,개인,1989,소사천로26번길,-,중개거래,경남 창원시 진해구
76,경상남도 창원시 진해구 여좌동,9*,단독,8m미만,55.98,141.00,202407,10,"5,000",개인,개인,1971,여좌로99번길,-,직거래,-
77,경상남도 창원시 진해구 경화동,1**,단독,8m미만,89.15,155.00,202407,10,"16,330",법인,기타,1979,경화로12번길,-,직거래,-
78,경상남도 창원시 진해구 이동,6**,단독,8m미만,162.35,194.30,202407,10,"27,300",개인,개인,1994,충장로442번길,20241125,중개거래,경남 창원시 진해구
79,경상남도 창원시 진해구 경화동,1***,단독,12m미만,88.33,160.60,202407,09,"13,000",개인,개인,1971,중초로37번길,-,중개거래,경남 창원시진해구
80,경상남도 창원시 진해구 행암동,3**,단독,25m미만,472.81,341.00,202407,09,"95,000",개인,개인,2016,행암로,-,직거래,-
81,경상남도 창원시 진해구 용원동,1**,단독,8m미만,75.24,268.00,202407,09,"9,000",개인,개인,1989,진해대로2443번길,-,중개거래,경남 창원시 진해구
82,경상남도 창원시 진해구 여좌동,9*,단독,8m미만,108.90,101.90,202407,08,"10,300",개인,개인,1985,여좌로83번길,-,중개거래,경남 창원시진해구
83,경상남도 창원시 진해구 이동,6**,다가구,12m미만,831.66,361.60,202407,06,"71,900",개인,개인,2007,이동로40번길,-,직거래,-
84,경상남도 창원시 진해구 이동,6**,단독,8m미만,106.65,207.40,202407,05,"24,000",개인,개인,1992,충장로442번길,-,직거래,-
85,경상남도 창원시 진해구 경화동,3**,단독,8m미만,161.14,159.00,202407,02,"21,075",법인,개인,1991,경화로15번길,-,직거래,-
86,경상남도 창원시 진해구 용원동,1***,단독,12m미만,222.46,208.50,202407,01,"35,000",개인,개인,2017,용원중로30번길,-,중개거래,경남 창원시 진해구
87,경상남도 창원시 진해구 자은동,9**,단독,25m미만,96.72,186.90,202407,01,"43,000",개인,개인,2013,냉천로,-,중개거래,경남 창원시진해구
88,경상남도 창원시 진해구 이동,6**,단독,8m미만,171.07,172.50,202406,24,"23,400",개인,개인,1993,충장로406번길,-,직거래,-
89,경상남도 창원시 진해구 제황산동,2*,단독,8m미만,32.74,79.00,202406,21,"3,800",개인,개인,1977,태평로37번길,-,중개거래,경남 창원시성산구
90,경상남도 창원시 진해구 여좌동,1**,단독,12m미만,57.62,132.90,202406,20,"5,500",개인,개인,1974,여좌로47번길,-,직거래,-
91,경상남도 창원시 진해구 여좌동,9*,단독,8m미만,98.18,294.40,202406,18,"14,500",개인,개인,1974,여좌천로,-,중개거래,경남 창원시 진해구
92,경상남도 창원시 진해구 여좌동,9*,단독,8m미만,98.18,294.40,202406,18,"17,000",개인,개인,1974,여좌천로,20240819,중개거래,경남 창원시 진해구
93,경상남도 창원시 진해구 태백동,*,단독,8m미만,131.94,113.00,202406,17,"11,500",개인,개인,1994,태백서로,-,중개거래,경남 창원시진해구
94,경상남도 창원시 진해구 경화동,5**,단독,8m미만,34.18,76.00,202406,17,"9,000",개인,개인,1938,충장로305번길,-,중개거래,경남 창원시 진해구
