NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
89,경상남도 창원시 마산회원구 양덕동,9*,단독,12m미만,126.14,120.10,202406,11,"23,400",개인,개인,1978,양덕북4길,-,중개거래,경남 창원시마산회원구
90,경상남도 창원시 마산회원구 내서읍 중리,9**,단독,8m미만,115.10,246.00,202406,11,"7,500",개인,개인,1900,중리본동길,-,직거래,-
91,경상남도 창원시 마산회원구 회원동,3*,단독,12m미만,109.31,106.90,202406,10,"8,000",개인,개인,1978,회원동12길,-,중개거래,경남 창원시마산회원구
92,경상남도 창원시 마산회원구 회원동,*,다가구,12m미만,658.15,367.90,202406,05,"132,872",공공기관,개인,2023,회원동31길,-,중개거래,경남 창원시성산구
93,경상남도 창원시 마산회원구 양덕동,1**,다가구,12m미만,620.89,367.63,202406,04,"140,180",공공기관,개인,2023,양덕북2길,-,중개거래,경남 창원시의창구
94,경상남도 창원시 마산회원구 양덕동,1**,다가구,12m미만,658.96,390.17,202406,04,"148,190",공공기관,개인,2023,양덕북2길,-,중개거래,경남 창원시의창구
95,경상남도 창원시 마산회원구 회원동,*,단독,8m미만,89.49,182.80,202405,31,"18,186",개인,개인,1975,회원동로,20240618,중개거래,경남 창원시마산합포구
96,경상남도 창원시 마산회원구 합성동,7*,단독,8m미만,133.46,123.30,202405,31,"11,700",개인,개인,1979,합성북4길,-,중개거래,경남 창원시마산회원구
97,경상남도 창원시 마산회원구 회원동,*,단독,8m미만,108.36,182.80,202405,31,"25,000",개인,개인,1975,회원동로,-,중개거래,경남 창원시마산합포구
98,경상남도 창원시 마산회원구 회원동,*,단독,8m미만,146.63,186.20,202405,27,"20,500",개인,개인,1978,회원동북로,-,중개거래,경남 창원시마산회원구
99,경상남도 창원시 마산회원구 합성동,6*,단독,12m미만,153.51,148.50,202405,27,"18,500",개인,개인,1975,합성북18길,-,중개거래,경남 창원시마산회원구
100,경상남도 창원시 마산회원구 합성동,7*,단독,8m미만,133.61,126.60,202405,23,"16,200",개인,개인,1982,합성북16길,-,중개거래,경남 창원시의창구
101,경상남도 창원시 마산회원구 합성동,5**,단독,25m미만,158.25,166.00,202405,21,"15,200",개인,개인,1994,합성북1길,-,중개거래,경남 창원시마산회원구
102,경상남도 창원시 마산회원구 합성동,1**,단독,8m미만,119.97,121.20,202405,18,"18,200",개인,개인,1978,합성동11길,-,중개거래,경남 창원시마산회원구
103,경상남도 창원시 마산회원구 회성동,4**,단독,25m이상,184.00,107.10,202405,17,"27,500",개인,개인,1980,북성로,-,중개거래,경남 창원시 마산합포구
104,경상남도 창원시 마산회원구 구암동,1***,단독,8m미만,138.44,147.00,202405,14,"13,000",개인,개인,1988,구암남23길,-,중개거래,경남 창원시마산회원구
105,경상남도 창원시 마산회원구 회원동,*,단독,12m미만,134.15,132.20,202405,13,"13,000",개인,개인,1973,회원동31길,-,직거래,-
106,경상남도 창원시 마산회원구 합성동,5**,단독,12m미만,64.00,107.00,202405,10,"10,000",개인,개인,1999,합성북9길,-,중개거래,"경남 창원시마산회원구, 경남 창원시성산구"
107,경상남도 창원시 마산회원구 회성동,1**,단독,8m미만,134.14,113.00,202405,09,"8,000",개인,개인,1990,회성남10길,-,중개거래,경남 창원시마산회원구
108,경상남도 창원시 마산회원구 내서읍 신감리,5**,단독,8m미만,89.02,321.00,202405,03,"26,500",개인,개인,2013,광려로,20240731,직거래,-
109,경상남도 창원시 마산회원구 회원동,6**,단독,12m미만,165.70,400.30,202404,30,"36,000",개인,개인,1982,회원서3길,20240718,중개거래,"경남 창원시마산회원구, 경남 창원시의창구"
110,경상남도 창원시 마산회원구 합성동,6*,단독,8m미만,123.63,120.40,202404,30,"13,300",개인,개인,1977,금강로,-,중개거래,경남 창원시마산회원구
