NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
47,경상남도 창원시 성산구 성주동,1**,다가구,25m미만,258.35,264.10,202011,11,"68,000",-,-,2012,창원대로1137번길,20201202,-,-
48,경상남도 창원시 성산구 대원동,1*,단독,-,72.23,206.30,202011,11,"69,486",-,-,1978,,-,-,-
49,경상남도 창원시 성산구 성주동,1**,다가구,25m미만,258.35,264.10,202011,11,"68,000",-,-,2012,창원대로1137번길,-,-,-
50,경상남도 창원시 성산구 반지동,8*,다가구,12m미만,196.19,219.50,202011,11,"44,750",-,-,2002,반송로42번길,-,-,-
51,경상남도 창원시 성산구 사파동,1**,다가구,12m미만,251.47,261.10,202011,09,"59,800",-,-,2014,창이대로648번길,-,-,-
52,경상남도 창원시 성산구 가음동,*,다가구,12m미만,266.66,277.40,202011,08,"75,000",-,-,2016,가음정로11번길,-,-,-
53,경상남도 창원시 성산구 신월동,6*,단독,-,271.86,277.60,202011,08,"41,500",-,-,2002,상남로216번길,-,-,-
54,경상남도 창원시 성산구 신월동,1*,다가구,-,109.02,121.70,202011,07,"47,000",-,-,1984,창이대로584번길,20201219,-,-
55,경상남도 창원시 성산구 중앙동,5*,단독,12m미만,191.34,261.20,202011,06,"32,500",-,-,1984,외동반림로6번길,-,-,-
56,경상남도 창원시 성산구 용호동,1*,단독,-,203.49,256.70,202011,04,"67,000",-,-,1988,창이대로492번길,-,-,-
57,경상남도 창원시 성산구 남양동,2*,다가구,12m미만,230.68,251.20,202011,04,"50,200",-,-,1998,가음로57번길,-,-,-
58,경상남도 창원시 성산구 반지동,4*,단독,12m미만,84.44,299.90,202011,04,"40,500",-,-,1985,반송로41번길,-,-,-
59,경상남도 창원시 성산구 대방동,3**,다가구,12m미만,251.88,370.80,202011,04,"75,000",-,-,2000,대암로171번길,-,-,-
60,경상남도 창원시 성산구 사파동,3*,단독,12m미만,193.68,248.40,202011,03,"30,000",-,-,2005,비음로27번길,-,-,-
61,경상남도 창원시 성산구 신월동,3*,다가구,-,260.40,264.90,202011,03,"71,000",-,-,2017,신월로59번길,-,-,-
62,경상남도 창원시 성산구 신월동,3*,다가구,-,260.40,264.90,202011,03,"71,000",-,-,2017,신월로59번길,20201120,-,-
63,경상남도 창원시 성산구 대방동,3**,단독,25m미만,292.50,539.70,202011,03,"150,000",-,-,1998,대암로77번길,20201202,-,-
64,경상남도 창원시 성산구 대방동,3**,단독,25m미만,292.50,539.70,202011,03,"150,000",-,-,1998,대암로77번길,-,-,-
65,경상남도 창원시 성산구 신월동,3*,다가구,-,260.40,264.90,202011,03,"71,000",-,-,2017,신월로59번길,20210121,-,-
66,경상남도 창원시 성산구 신월동,1*,단독,-,73.02,112.60,202011,02,"42,000",-,-,1988,창이대로566번길,-,-,-
67,경상남도 창원시 성산구 신월동,*,단독,-,187.84,253.70,202010,31,"36,000",-,-,1989,신월로5번길,-,-,-
68,경상남도 창원시 성산구 중앙동,1*,단독,12m미만,229.13,241.70,202010,31,"46,000",-,-,2001,외동반림로134번길,-,-,-
69,경상남도 창원시 성산구 대원동,1*,단독,12m미만,72.23,199.90,202010,31,"64,342",-,-,1978,,-,-,-
70,경상남도 창원시 성산구 대원동,1*,단독,-,72.23,202.90,202010,31,"66,900",-,-,1978,,-,-,-
71,경상남도 창원시 성산구 신월동,1*,단독,-,111.08,110.90,202010,30,"40,200",-,-,1988,창이대로564번길,-,-,-
72,경상남도 창원시 성산구 신월동,1*,단독,-,118.47,111.10,202010,29,"42,000",-,-,1990,창이대로590번길,-,-,-
73,경상남도 창원시 성산구 신월동,6*,다가구,-,254.10,226.34,202010,29,"46,000",-,-,1995,신사로21번길,-,-,-
74,경상남도 창원시 성산구 중앙동,3*,다가구,12m미만,224.26,244.10,202010,28,"45,000",-,-,2000,외동반림로80번길,-,-,-
75,경상남도 창원시 성산구 남양동,4*,다가구,12m미만,209.34,227.40,202010,26,"48,000",-,-,2001,가음로101번길,-,-,-
76,경상남도 창원시 성산구 대원동,3*,단독,-,72.23,214.00,202010,25,"59,430",-,-,1978,,-,-,-
77,경상남도 창원시 성산구 상남동,5*,다가구,12m미만,235.43,251.90,202010,24,"44,200",-,-,2001,동산로72번길,-,-,-
78,경상남도 창원시 성산구 용호동,3*,단독,-,163.89,246.70,202010,24,"38,500",-,-,1988,외동반림로254번길,-,-,-
79,경상남도 창원시 성산구 용호동,5*,다가구,-,440.04,306.60,202010,24,"76,000",-,-,1995,외동반림로,-,-,-
80,경상남도 창원시 성산구 대원동,*,단독,-,120.57,210.40,202010,24,"82,083",-,-,1983,,-,-,-
