NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
45,경상남도 창원시 마산회원구 합성동,2**,단독,8m미만,124.58,125.40,202011,27,"18,257",-,-,1978,합성남12길,-,-,-
46,경상남도 창원시 마산회원구 회원동,3*,단독,8m미만,113.92,115.10,202011,27,"12,000",-,-,1977,3·15대로,-,-,-
47,경상남도 창원시 마산회원구 합성동,2**,단독,8m미만,124.58,125.40,202011,27,"18,257",-,-,1978,합성남12길,20210115,-,-
48,경상남도 창원시 마산회원구 회원동,6*,단독,12m미만,149.95,131.50,202011,25,"35,000",-,-,1982,,-,-,-
49,경상남도 창원시 마산회원구 회원동,6*,단독,8m미만,106.27,117.70,202011,25,"18,000",-,-,1979,,-,-,-
50,경상남도 창원시 마산회원구 회성동,4**,단독,8m미만,131.70,160.90,202011,24,"9,000",-,-,1980,회성남20길,-,-,-
51,경상남도 창원시 마산회원구 석전동,2**,단독,12m미만,159.70,136.50,202011,24,"13,000",-,-,1981,석전서9길,-,-,-
52,경상남도 창원시 마산회원구 합성동,3**,단독,12m미만,131.08,138.40,202011,23,"18,500",-,-,1984,합성남14길,-,-,-
53,경상남도 창원시 마산회원구 합성동,3**,단독,12m미만,162.51,174.20,202011,22,"22,139",-,-,1984,합성남12길,20201218,-,-
54,경상남도 창원시 마산회원구 합성동,3**,단독,12m미만,162.51,174.20,202011,22,"22,139",-,-,1984,합성남12길,-,-,-
55,경상남도 창원시 마산회원구 합성동,2**,단독,8m미만,120.76,134.50,202011,21,"16,246",-,-,1978,합성남12길,-,-,-
56,경상남도 창원시 마산회원구 양덕동,5*,다가구,8m미만,146.73,134.10,202011,20,"12,900",-,-,1986,양덕동12길,-,-,-
57,경상남도 창원시 마산회원구 양덕동,1*,단독,8m미만,99.78,124.30,202011,15,"9,000",-,-,1974,양덕북2길,-,-,-
58,경상남도 창원시 마산회원구 회원동,2*,단독,8m미만,49.50,130.00,202011,14,"8,900",-,-,2014,회원동22길,-,-,-
59,경상남도 창원시 마산회원구 회원동,2*,단독,8m미만,49.50,133.00,202011,14,"9,000",-,-,2014,회원동22길,20201210,-,-
60,경상남도 창원시 마산회원구 회원동,5**,단독,25m미만,395.37,172.00,202011,13,"43,000",-,-,1994,,20201207,-,-
61,경상남도 창원시 마산회원구 양덕동,5*,단독,25m미만,129.65,119.30,202011,11,"44,000",-,-,1977,양덕남6길,-,-,-
62,경상남도 창원시 마산회원구 합성동,2**,단독,8m미만,94.12,110.50,202011,11,"12,000",-,-,1982,합성남14길,-,-,-
63,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,177.98,93.00,202011,11,"23,691",-,-,1976,,20201217,-,-
64,경상남도 창원시 마산회원구 구암동,2**,단독,8m미만,128.84,156.80,202011,10,"14,000",-,-,1983,구암북1길,-,-,-
65,경상남도 창원시 마산회원구 회원동,2*,단독,12m미만,124.80,231.40,202011,09,"32,000",-,-,1993,회원동15길,-,-,-
66,경상남도 창원시 마산회원구 구암동,*,단독,12m미만,98.37,142.40,202011,09,"22,000",-,-,1980,구암서8길,20201222,-,-
67,경상남도 창원시 마산회원구 두척동,6*,단독,8m미만,198.60,641.00,202011,09,"36,000",-,-,2003,송정윗담2길,20201111,-,-
68,경상남도 창원시 마산회원구 내서읍 호계리,2**,단독,8m미만,150.47,142.00,202011,08,"19,000",-,-,1989,구미길,-,-,-
69,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,157.05,106.00,202011,07,"25,066",-,-,1997,,-,-,-
70,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,34.98,93.00,202011,06,"17,439",-,-,1995,,-,-,-
71,경상남도 창원시 마산회원구 합성동,1**,단독,8m미만,133.15,114.10,202011,05,"18,000",-,-,1983,합성옛길,-,-,-
72,경상남도 창원시 마산회원구 봉암동,4**,단독,8m미만,161.85,140.50,202011,04,"12,250",-,-,1984,봉암북3길,-,-,-
73,경상남도 창원시 마산회원구 구암동,2**,단독,8m미만,149.60,138.60,202011,04,"11,000",-,-,1983,구암북1길,-,-,-
74,경상남도 창원시 마산회원구 구암동,1***,단독,8m미만,98.41,132.00,202011,04,"12,000",-,-,1979,구암남21길,-,-,-
75,경상남도 창원시 마산회원구 회원동,5*,단독,8m미만,68.00,117.40,202011,03,"16,500",-,-,1995,회원동6길,-,-,-
76,경상남도 창원시 마산회원구 회원동,4**,다가구,8m미만,124.81,126.00,202011,02,"21,900",-,-,1991,,-,-,-
77,경상남도 창원시 마산회원구 봉암동,4**,단독,8m미만,235.68,135.40,202010,30,"30,000",-,-,1994,봉암북12길,-,-,-
78,경상남도 창원시 마산회원구 석전동,2**,다가구,12m미만,440.98,183.60,202010,28,"85,000",-,-,2018,석전동6길,-,-,-
79,경상남도 창원시 마산회원구 회원동,6**,단독,8m미만,76.05,127.50,202010,26,"12,000",-,-,1984,회원천남길,-,-,-
80,경상남도 창원시 마산회원구 석전동,1**,단독,12m미만,81.41,165.00,202010,24,"18,500",-,-,1980,석전북14길,20201221,-,-
81,경상남도 창원시 마산회원구 양덕동,5*,단독,25m미만,79.83,135.40,202010,24,"35,000",-,-,1977,양덕남6길,-,-,-
82,경상남도 창원시 마산회원구 석전동,1**,단독,12m미만,81.41,165.00,202010,24,"18,200",-,-,1980,석전북14길,-,-,-
83,경상남도 창원시 마산회원구 합성동,2**,단독,12m미만,112.73,118.30,202010,20,"24,100",-,-,1987,합성남11길,-,-,-
84,경상남도 창원시 마산회원구 회원동,6*,단독,12m미만,132.77,92.60,202010,19,"19,000",-,-,1999,회원동28길,-,-,-
85,경상남도 창원시 마산회원구 구암동,2**,단독,8m미만,116.20,111.50,202010,19,"30,000",-,-,1987,구암북3길,-,-,-
86,경상남도 창원시 마산회원구 내서읍 삼계리,9**,단독,8m미만,62.52,447.00,202010,18,"13,600",-,-,2015,숲속로,-,-,-
87,경상남도 창원시 마산회원구 회원동,*,단독,8m미만,142.94,141.50,202010,18,"19,000",-,-,1986,회원동로,-,-,-
88,경상남도 창원시 마산회원구 구암동,1***,단독,12m미만,123.68,126.50,202010,17,"18,300",-,-,1995,구암북1길,-,-,-
89,경상남도 창원시 마산회원구 구암동,2**,단독,12m미만,66.31,110.80,202010,15,"14,250",-,-,1982,구암북9길,-,-,-
90,경상남도 창원시 마산회원구 내서읍 중리,1***,단독,8m미만,81.19,353.00,202010,15,"18,000",-,-,1981,상동길,20201207,-,-
91,경상남도 창원시 마산회원구 양덕동,7*,단독,8m미만,97.59,92.70,202010,13,"14,000",-,-,1978,양덕서6길,-,-,-
92,경상남도 창원시 마산회원구 회성동,4**,단독,12m미만,119.82,145.30,202010,12,"18,700",-,-,1991,회성남12길,-,-,-
93,경상남도 창원시 마산회원구 양덕동,1*,단독,8m미만,383.06,155.40,202010,12,"40,000",-,-,2003,양덕북12길,-,-,-
94,경상남도 창원시 마산회원구 양덕동,8**,단독,8m미만,54.78,93.40,202010,10,"14,000",-,-,1976,양덕북3길,-,-,-
95,경상남도 창원시 마산회원구 양덕동,8**,다가구,12m미만,125.80,114.90,202010,10,"26,000",-,-,1976,양덕북12길,-,-,-
96,경상남도 창원시 마산회원구 회원동,3*,단독,8m미만,55.97,101.80,202010,08,"7,700",-,-,1974,회원동15길,-,-,-
97,경상남도 창원시 마산회원구 회원동,6**,단독,8m미만,76.03,164.50,202010,07,"15,000",-,-,1979,회원서4길,-,-,-
98,경상남도 창원시 마산회원구 회원동,6**,단독,8m미만,102.43,220.70,202010,07,"27,500",-,-,1985,무학로,-,-,-
99,경상남도 창원시 마산회원구 합성동,1**,단독,8m미만,59.50,209.20,202010,05,"28,000",-,-,1974,합성남6길,-,-,-
100,경상남도 창원시 마산회원구 내서읍 용담리,4**,단독,8m미만,82.51,225.00,202010,05,"10,000",-,-,1995,수곡로,-,-,-
