NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 진해구 경화동,1***,단독,12m미만,66.18,75.60,202112,30,"9,600",-,-,1967,경화로7번길,-,중개거래,경남 창원성산구 경남 창원진해구
2,경상남도 창원시 진해구 제황산동,2*,단독,8m미만,41.25,106.00,202112,29,"8,218",-,-,1955,벚꽃로50번길,-,직거래,-
3,경상남도 창원시 진해구 마천동,9*,다가구,12m미만,666.24,340.00,202112,28,"95,000",-,-,2003,마천로,-,중개거래,경남 창원진해구
4,경상남도 창원시 진해구 자은동,6**,단독,12m미만,89.37,266.00,202112,27,"85,000",-,-,1985,진해대로979번길,-,직거래,-
5,경상남도 창원시 진해구 안골동,5**,단독,8m미만,33.00,73.00,202112,27,"6,200",-,-,1989,안골로220번가길,20220214,직거래,-
6,경상남도 창원시 진해구 자은동,6**,단독,12m미만,89.37,266.00,202112,27,"86,500",-,-,1985,진해대로979번길,-,직거래,-
7,경상남도 창원시 진해구 남문동,4**,단독,8m미만,91.25,251.00,202112,26,"24,000",-,-,1999,웅천동로49번길,-,중개거래,경남 창원진해구
8,경상남도 창원시 진해구 자은동,7**,단독,8m미만,118.89,478.00,202112,26,"114,200",-,-,2001,진해대로979번길,-,직거래,-
9,경상남도 창원시 진해구 석동,2**,다가구,8m미만,234.33,188.90,202112,25,"30,500",-,-,2004,진해대로802번길,-,중개거래,경남 창원진해구
10,경상남도 창원시 진해구 자은동,8**,단독,8m미만,128.16,214.30,202112,24,"29,000",-,-,1996,자은로28번길,-,중개거래,경남 창원진해구
11,경상남도 창원시 진해구 여좌동,8**,단독,8m미만,23.93,202.30,202112,24,"7,200",-,-,1955,충장로,-,직거래,-
12,경상남도 창원시 진해구 충의동,*,단독,12m미만,63.68,158.70,202112,23,"21,000",-,-,1938,중원로16번길,-,중개거래,경남 창원진해구
13,경상남도 창원시 진해구 여좌동,1**,단독,12m미만,118.34,125.70,202112,23,"14,500",-,-,1978,여좌로58번길,-,중개거래,경남 창원진해구
14,경상남도 창원시 진해구 태평동,8*,단독,12m미만,1593.94,523.40,202112,22,"72,000",-,-,1998,속천로,-,중개거래,경남 창원진해구
15,경상남도 창원시 진해구 이동,6**,단독,8m미만,189.50,269.80,202112,20,"34,000",-,-,1992,충장로426번길,-,직거래,-
16,경상남도 창원시 진해구 숭인동,1*,단독,12m미만,14.78,79.30,202112,19,"4,000",-,-,1965,,-,직거래,-
17,경상남도 창원시 진해구 숭인동,1*,단독,12m미만,81.64,92.60,202112,19,"7,900",-,-,1971,중원로10번길,-,직거래,-
18,경상남도 창원시 진해구 이동,5**,단독,8m미만,67.32,127.00,202112,19,"11,300",-,-,1984,병암로29번길,-,중개거래,경남 창원진해구
19,경상남도 창원시 진해구 경화동,9**,단독,8m미만,174.49,232.00,202112,18,"20,000",-,-,1985,충장로363번길,-,중개거래,경남 창원진해구
20,경상남도 창원시 진해구 여좌동,1**,단독,12m미만,288.10,174.80,202112,15,"38,000",-,-,1996,여좌남로55번길,-,중개거래,경남 창원진해구
21,경상남도 창원시 진해구 제황산동,2*,단독,8m미만,29.75,109.00,202112,13,"3,000",-,-,1979,제황로,-,직거래,-
22,경상남도 창원시 진해구 여좌동,1**,단독,8m미만,103.28,122.80,202112,13,"15,000",-,-,1983,여좌로56번안길,-,직거래,-
23,경상남도 창원시 진해구 태평동,1*,단독,25m이상,848.92,363.50,202112,13,"87,500",-,-,1989,중원로,-,직거래,-
24,경상남도 창원시 진해구 인사동,*,다가구,8m미만,171.41,127.30,202112,13,"9,700",-,-,1975,충장로130번길,-,중개거래,경남 창원진해구
25,경상남도 창원시 진해구 여좌동,7**,단독,12m미만,83.88,138.20,202112,12,"25,500",-,-,2012,여좌남로24번길,-,중개거래,경남 창원진해구
26,경상남도 창원시 진해구 여좌동,*,단독,8m미만,131.58,126.10,202112,11,"10,000",-,-,1993,여좌로,-,중개거래,경남 창원진해구
27,경상남도 창원시 진해구 경화동,9**,단독,8m미만,53.89,73.00,202112,11,"12,900",-,-,1988,충장로363번길,-,직거래,-
28,경상남도 창원시 진해구 이동,6*,단독,25m이상,100.00,86.00,202112,10,"15,000",-,-,1983,충장로455번길,-,직거래,-
29,경상남도 창원시 진해구 경화동,1***,단독,12m미만,173.63,143.70,202112,10,"16,800",-,-,1980,경화로21번길,20220121,중개거래,경남 창원진해구
30,경상남도 창원시 진해구 가주동,5**,단독,8m미만,66.00,167.00,202112,09,"4,800",-,-,1980,가주로,-,직거래,-
31,경상남도 창원시 진해구 두동,1***,단독,8m미만,167.73,549.00,202112,09,"53,000",-,-,2016,남의로116번길,-,중개거래,경남 창원진해구
32,경상남도 창원시 진해구 인사동,*,단독,12m미만,128.46,122.60,202112,08,"16,700",-,-,1977,인사로,-,중개거래,경남 창원진해구
33,경상남도 창원시 진해구 마천동,3*,단독,12m미만,92.55,239.00,202112,08,"18,300",-,-,1910,웅동로121번길,-,중개거래,경남 창원진해구
34,경상남도 창원시 진해구 경화동,1***,단독,8m미만,52.86,119.30,202112,08,"8,700",-,-,1975,충장로263번길,-,직거래,-
35,경상남도 창원시 진해구 이동,6**,단독,12m미만,175.57,178.60,202112,04,"23,500",-,-,1992,이동로28번길,20220105,중개거래,경남 창원진해구
36,경상남도 창원시 진해구 대천동,*,단독,25m이상,45.92,66.10,202112,04,"17,300",-,-,1938,벚꽃로,-,중개거래,경남 창원진해구
