시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산합포구 산호동,2*,단독,8m미만,114.45,165.3,201907,18,"        27,000",2003,산호북9길
경상남도 창원마산합포구 산호동,2**,단독,12m미만,93.52,170.6,202003,21,"        25,300",1977,산호동3길
경상남도 창원마산합포구 산호동,5*,단독,12m미만,184.67,181.8,201909,4,"        29,700",1977,산호서2길
경상남도 창원마산합포구 산호동,2*,단독,8m미만,181.33,305.5,201911,22,"        58,700",1981,산호북16길
경상남도 창원마산합포구 상남동,1**,단독,8m미만,22.17,26,201911,8,"         3,400",1998,합포서10길
경상남도 창원마산합포구 상남동,2**,단독,8m미만,5.88,30,201907,11,"         3,000",1998,
경상남도 창원마산합포구 상남동,1**,단독,8m미만,30.74,43,202005,4,"         2,800",2008,노산동8길
경상남도 창원마산합포구 상남동,2**,단독,8m미만,24.3,50,202006,30,"         4,500",2020,합포서2길
경상남도 창원마산합포구 상남동,3**,단독,8m미만,40.56,56,202005,1,"         5,000",1974,합포서2길
경상남도 창원마산합포구 상남동,3**,단독,8m미만,40.56,56,202001,2,"         4,500",1974,합포서2길
경상남도 창원마산합포구 상남동,1**,단독,8m미만,27.77,59,202002,13,"         4,100",1998,노산동8길
경상남도 창원마산합포구 상남동,1**,단독,8m미만,34.48,66,201912,13,"        13,000",1998,노산동1길
경상남도 창원마산합포구 상남동,1**,단독,8m미만,52.88,76,201910,23,"         5,500",1995,합포서12길
경상남도 창원마산합포구 상남동,2**,단독,8m미만,26.82,83,202005,18,"         8,200",2020,합포서5길
경상남도 창원마산합포구 상남동,7*,단독,8m미만,173.79,110,201912,24,"        10,000",1977,노산남2길
경상남도 창원마산합포구 상남동,3*,단독,8m미만,128.55,149,202005,28,"        12,000",1989,노산북6길
경상남도 창원마산합포구 상남동,2**,단독,8m미만,51.21,156,202004,6,"        13,260",1972,합포서5길
경상남도 창원마산합포구 상남동,1**,단독,8m미만,92.7,175,202006,5,"        22,000",1980,노산동3길
경상남도 창원마산합포구 상남동,6*,단독,8m미만,62.72,178,201908,27,"         5,900",2008,노산북9길
경상남도 창원마산합포구 상남동,1**,단독,8m미만,98.36,205,201912,7,"        12,000",1998,노산남6길
경상남도 창원마산합포구 상남동,5*,단독,8m미만,187.51,226,202006,9,"        28,200",,노산동8길
경상남도 창원마산합포구 상남동,8*,단독,25m미만,941.85,377,202004,17,"        91,000",1980,북성로
경상남도 창원마산합포구 서성동,8*,단독,8m미만,26.08,43.7,202002,2,"         6,000",1998,동서남5길
경상남도 창원마산합포구 서성동,6*,단독,8m미만,158.51,162,201910,1,"        10,000",1980,동서북3길
경상남도 창원마산합포구 성호동,9*,단독,8m미만,24.3,46,202006,18,"         4,800",1995,성호서9길
경상남도 창원마산합포구 성호동,5*,단독,8m미만,40.48,53,202001,28,"         4,000",1998,성호서6길
경상남도 창원마산합포구 성호동,9*,단독,8m미만,19.64,69,202005,15,"         4,300",2020,성호서8길
경상남도 창원마산합포구 성호동,5*,단독,8m미만,41.97,76,201912,2,"         6,800",2001,성호서5길
경상남도 창원마산합포구 신월동,4*,단독,-,35.73,68,202004,1,"         3,180",1999,반월서11길
경상남도 창원마산합포구 신월동,3*,단독,-,52.78,96,202002,21,"         3,500",1994,반월서6길
경상남도 창원마산합포구 신월동,4*,단독,12m미만,51.03,135,202003,6,"         8,500",,고운로
경상남도 창원마산합포구 신월동,4*,단독,8m미만,42.87,155,202006,14,"        12,000",,고운로
경상남도 창원마산합포구 신창동,*,단독,8m미만,18.91,43,202006,5,"         3,000",2020,반월남2길
경상남도 창원마산합포구 신창동,*,단독,12m미만,149.3,69.4,201908,30,"         8,800",1981,문화북3길
경상남도 창원마산합포구 신포동1가,6*,단독,25m이상,313.12,359.6,202003,30,"       148,000",1995,해안대로
경상남도 창원마산합포구 신포동2가,1*,단독,8m미만,258.67,208.3,201912,19,"        89,000",1982,어시장2길
경상남도 창원마산합포구 신흥동,*,단독,-,29.22,40,202003,10,"         4,800",,중앙남8길
경상남도 창원마산합포구 신흥동,*,단독,12m미만,63.18,56.9,202005,14,"        22,000",2002,중앙남5길
경상남도 창원마산합포구 신흥동,*,단독,8m미만,47.31,57,202005,8,"         8,200",,중앙남8길
경상남도 창원마산합포구 신흥동,*,단독,12m미만,110.77,102.5,202006,1,"        25,000",1981,중앙남5길
경상남도 창원마산합포구 신흥동,*,단독,8m미만,57.24,191.1,202003,10,"        27,000",1978,중앙남8길
경상남도 창원마산합포구 신흥동,*,단독,8m미만,137.96,194.4,201911,27,"        27,000",1998,중앙남4길
경상남도 창원마산합포구 예곡동,3*,단독,8m미만,182.93,193,201908,21,"        23,000",1989,예곡길
경상남도 창원마산합포구 예곡동,3**,단독,8m미만,82.3,204,201908,31,"         6,000",1998,예곡길
경상남도 창원마산합포구 오동동,2**,단독,8m미만,45.29,33.4,201910,12,"         3,200",1998,오동동4길
경상남도 창원마산합포구 오동동,1**,단독,8m미만,23.14,36.4,202003,6,"         3,000",1998,오동북17길
경상남도 창원마산합포구 오동동,1**,단독,8m미만,63,43.6,201910,17,"         2,300",2008,오동북10길
경상남도 창원마산합포구 오동동,1**,단독,-,46.25,72.4,202002,17,"         3,000",1998,오동북10길
경상남도 창원마산합포구 오동동,*,단독,8m미만,201.72,103.5,202006,1,"        14,000",2020,오동동15길
경상남도 창원마산합포구 오동동,4*,단독,8m미만,84.06,128.9,202002,22,"         8,200",1998,오동북4길
경상남도 창원마산합포구 완월동,3**,다가구,8m미만,64.29,129,201909,6,"        11,800",2002,중앙서2길
경상남도 창원마산합포구 완월동,2**,다가구,12m미만,287.35,152,201910,11,"        48,388",2013,완월동8길
경상남도 창원마산합포구 완월동,2**,단독,12m미만,49.89,33,201910,18,"         4,000",1998,완월동8길
경상남도 창원마산합포구 완월동,1**,단독,8m미만,29.7,39,202004,10,"         4,600",2008,완월북13길
경상남도 창원마산합포구 완월동,1**,단독,8m미만,23.57,76,202002,14,"         6,200",1998,완월북13길
경상남도 창원마산합포구 완월동,2**,단독,8m미만,45.04,76,202004,14,"         7,450",2006,완월북1길
경상남도 창원마산합포구 완월동,2**,단독,8m미만,73.14,79,201912,1,"         7,370",1988,완월동3길
경상남도 창원마산합포구 완월동,9*,단독,8m미만,123.3,87,202004,29,"        25,000",2017,완월북7길
경상남도 창원마산합포구 완월동,2**,단독,8m미만,73.36,89,201910,8,"         8,100",1977,완월남로
경상남도 창원마산합포구 완월동,2**,단독,8m미만,67.97,132,201909,5,"         6,333",1998,완월동8길
경상남도 창원마산합포구 완월동,1*,단독,8m미만,137.36,136,201910,24,"        16,800",1995,완월동18길
경상남도 창원마산합포구 완월동,3**,단독,25m미만,134.55,148.1,202002,22,"        12,100",1991,중앙남11길
경상남도 창원마산합포구 완월동,1**,단독,8m미만,58.49,149,202001,2,"        12,000",1998,
경상남도 창원마산합포구 완월동,2**,단독,8m미만,71.04,149,201911,26,"         8,200",1988,완월남1길
경상남도 창원마산합포구 완월동,3**,단독,8m미만,86.34,149,201911,12,"        19,000",1998,중앙남8길
경상남도 창원마산합포구 완월동,2*,단독,12m미만,206.62,155,202003,4,"        20,000",1980,심온길
경상남도 창원마산합포구 완월동,9*,단독,8m미만,82.74,171,201912,17,"        20,500",2005,완월북14길
경상남도 창원마산합포구 완월동,3**,단독,8m미만,51.4,192,201909,23,"        12,800",1998,중앙서2길
경상남도 창원마산합포구 완월동,9*,단독,8m미만,80.85,199,201908,22,"        20,000",1984,완월북7길
경상남도 창원마산합포구 완월동,2**,단독,12m미만,130.74,215,201911,18,"        24,000",1979,완월동8길
경상남도 창원마산합포구 완월동,2**,단독,8m미만,149.42,453,202002,25,"        52,300",1978,완월동1길
경상남도 창원마산합포구 월남동1가,4*,단독,25m미만,66.74,16.5,201911,14,"         8,000",1985,문화동로
경상남도 창원마산합포구 월남동4가,*,다가구,12m미만,536.16,331.9,202004,27,"       128,473",2020,문화동10길
경상남도 창원마산합포구 월영동,4**,다가구,8m미만,163.9,194,201908,21,"        28,500",1985,월영북4길
경상남도 창원마산합포구 월영동,4**,다가구,8m미만,358.02,212,201908,23,"        88,000",2017,월영북9길
