시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,NO,매수자,매도자,해제사유발생일,거래유형,중개사소재지
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201505,2,"        49,000",26,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,118.91,201505,26,"        47,000",31,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201505,13,"        45,500",2,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 명서동,202-3,202,3,모비딕빌딩,29.6,201505,7,"         6,450",13,2004.0,우곡로217번길 24,,,,,,
경상남도 창원의창구 소답동,156-8,156,8,대흥오피스텔,81.7,201506,26,"        19,800",4,2011.0,의창대로289번길 6-13,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201506,22,"        52,000",16,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201506,9,"        46,000",4,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201506,11,"        41,400",34,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201506,13,"        39,500",6,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201506,5,"        51,000",19,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201506,30,"        62,500",21,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201506,26,"        40,900",25,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 사림동,105-1,105,1,사림프라자,45.3,201506,26,"         6,000",4,2002.0,사림로 47,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201507,8,"        39,400",8,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201507,7,"        67,300",5,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201507,22,"        41,500",14,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201507,10,"        50,000",6,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201507,27,"        54,000",27,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201507,28,"        50,000",9,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201507,28,"        46,900",4,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 도계동,910-2,910,2,강남프리텔,34.91,201507,30,"         7,300",6,2003.0,우곡로 2-11,,,,,,
경상남도 창원의창구 사림동,105-1,105,1,사림프라자,38.76,201507,22,"         5,700",6,2002.0,사림로 47,,,,,,
경상남도 창원의창구 팔용동,31-2,31,2,한미코보스텔,29.87,201507,29,"         5,900",5,2004.0,창원대로397번길 8-9,,,,,,
경상남도 창원의창구 팔용동,184-14,184,14,	(184-14)	,19.44,201508,10,"         2,700",1,2002.0,의창대로132번길 29-21,,,,,,
경상남도 창원의창구 팔용동,184-14,184,14,	(184-14)	,19.44,201508,10,"         2,700",3,2002.0,의창대로132번길 29-21,,,,,,
경상남도 창원의창구 팔용동,184-14,184,14,	(184-14)	,18.16,201508,10,"         2,700",2,2002.0,의창대로132번길 29-21,,,,,,
경상남도 창원의창구 팔용동,184-14,184,14,	(184-14)	,18.16,201508,10,"         2,700",3,2002.0,의창대로132번길 29-21,,,,,,
경상남도 창원의창구 팔용동,184-14,184,14,	(184-14)	,15.03,201508,10,"         2,500",2,2002.0,의창대로132번길 29-21,,,,,,
경상남도 창원의창구 팔용동,184-14,184,14,	(184-14)	,18.9,201508,10,"         2,700",1,2002.0,의창대로132번길 29-21,,,,,,
경상남도 창원의창구 팔용동,184-14,184,14,	(184-14)	,19.83,201508,10,"         2,500",2,2002.0,의창대로132번길 29-21,,,,,,
경상남도 창원의창구 팔용동,184-14,184,14,	(184-14)	,19.83,201508,10,"         2,500",3,2002.0,의창대로132번길 29-21,,,,,,
경상남도 창원의창구 용호동,73-49,73,49,창원오피스텔,41.32,201508,28,"         4,500",7,1990.0,용지로153번길 3,,,,,,
경상남도 창원의창구 팔용동,184-14,184,14,	(184-14)	,15.03,201508,10,"         2,500",1,2002.0,의창대로132번길 29-21,,,,,,
경상남도 창원의창구 팔용동,184-14,184,14,	(184-14)	,18.9,201508,10,"         2,700",1,2002.0,의창대로132번길 29-21,,,,,,
경상남도 창원의창구 팔용동,184-14,184,14,	(184-14)	,18.9,201508,10,"         2,700",2,2002.0,의창대로132번길 29-21,,,,,,
경상남도 창원의창구 팔용동,184-14,184,14,	(184-14)	,18.9,201508,10,"         2,700",3,2002.0,의창대로132번길 29-21,,,,,,
경상남도 창원의창구 팔용동,184-14,184,14,	(184-14)	,15.03,201508,10,"         2,500",3,2002.0,의창대로132번길 29-21,,,,,,
경상남도 창원의창구 팔용동,184-14,184,14,	(184-14)	,19.83,201508,10,"         2,500",1,2002.0,의창대로132번길 29-21,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,118.91,201508,21,"        36,800",11,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,175.61,201508,26,"        64,900",38,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 사림동,105-1,105,1,사림프라자,32.37,201508,29,"         5,200",5,2002.0,사림로 47,,,,,,
경상남도 창원의창구 소답동,156-10,156,10,강남캐슬,71.79,201508,30,"        21,813",3,2014.0,의창대로289번길 6,,,,,,
경상남도 창원의창구 용호동,73-49,73,49,창원오피스텔,30.6,201508,7,"         4,200",7,1990.0,용지로153번길 3,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201508,20,"        44,400",36,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,117.52,201508,17,"        37,400",32,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 소답동,106-7,106,7,형제빌딩,41.94,201508,5,"         6,400",4,2001.0,읍성로 57,,,,,,
경상남도 창원의창구 명서동,199-8,199,8,장복빌딩,35.89,201508,12,"         3,900",6,1991.0,창이대로113번길 6,,,,,,
경상남도 창원의창구 사림동,105-1,105,1,사림프라자,56.68,201508,28,"         7,200",7,2002.0,사림로 47,,,,,,
경상남도 창원의창구 팔용동,184-14,184,14,	(184-14)	,18.16,201508,10,"         2,700",1,2002.0,의창대로132번길 29-21,,,,,,
