시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,NO,매수자,매도자,해제사유발생일,거래유형,중개사소재지
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,49.5,201603,31,"         5,100",4,2003.0,천자로413번길 5,,,,,,
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201604,11,"         3,500",4,2005.0,편백로8번길 3-2,,,,,,
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201604,19,"         3,200",3,2005.0,편백로8번길 3-2,,,,,,
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201604,13,"         2,500",6,2005.0,편백로8번길 3-2,,,,,,
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,33.93,201604,12,"         3,800",2,2003.0,용원남로7번길 16,,,,,,
경상남도 창원진해구 이동,538-28,538,28,우진오피스텔,44.25,201604,1,"         4,300",5,2003.0,충장로364번나길 14,,,,,,
경상남도 창원진해구 이동,538-28,538,28,우진오피스텔,44.25,201604,25,"         4,000",7,2003.0,충장로364번나길 14,,,,,,
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,33.93,201604,12,"         4,200",2,2003.0,용원남로7번길 16,,,,,,
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201604,13,"         3,000",4,2005.0,편백로8번길 3-2,,,,,,
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,36.9,201605,11,"         4,550",7,2003.0,천자로413번길 5,,,,,,
경상남도 창원진해구 이동,347-1,347,1,	(347-1)	,38.1,201605,2,"         7,800",2,2010.0,충장로407번길 9-15,,,,,,
경상남도 창원진해구 이동,538-28,538,28,우진오피스텔,44.25,201605,16,"         4,700",5,2003.0,충장로364번나길 14,,,,,,
경상남도 창원진해구 화천동,10-1,10,1,태연빌리지,41.94,201606,15,"         8,220",2,2015.0,중원로85번길 15,,,,,,
경상남도 창원진해구 화천동,10-1,10,1,태연빌리지,37.44,201607,6,"         6,710",2,2015.0,중원로85번길 15,,,,,,
경상남도 창원진해구 중앙동,11-2,11,2,진해비젼오피스텔,35.52,201607,13,"         5,000",3,2009.0,중원동로 60,,,,,,
경상남도 창원진해구 경화동,1153-14,1153,14,하이존텔4차,41.71,201608,29,"         4,000",2,2005.0,충장로273번길 16,,,,,,
경상남도 창원진해구 경화동,1165-2,1165,2,	(1165-2)	,59.72,201608,12,"        11,000",4,2012.0,경화로21번길 37,,,,,,
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,75.01,201609,6,"         7,000",5,2003.0,천자로413번길 5,,,,,,
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,75.01,201609,6,"         7,000",4,2003.0,천자로413번길 5,,,,,,
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,26.55,201610,12,"         3,050",7,2003.0,용원남로7번길 16,,,,,,
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,49.5,201610,24,"         4,600",4,2003.0,천자로413번길 5,,,,,,
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201610,31,"         3,470",3,2005.0,편백로8번길 3-2,,,,,,
경상남도 창원진해구 충무동,28-135,28,135,하이존텔,27.72,201610,25,"         3,000",5,2001.0,충장로176번길 18,,,,,,
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,36.9,201612,26,"         4,800",3,2003.0,천자로413번길 5,,,,,,
경상남도 창원진해구 광화동,26,26,0,진해미진이지비아,28.26,201612,22,"         7,083",5,2014.0,중원동로 33,,,,,,
경상남도 창원진해구 충무동,28-26,28,26,하이존텔2,42.16,201612,1,"         3,700",5,2002.0,충장로176번길 17,,,,,,
경상남도 창원진해구 광화동,26,26,0,진해미진이지비아,28.26,201612,22,"         7,083",9,2014.0,중원동로 33,,,,,,
경상남도 창원진해구 마천동,50-12,50,12,한결예다움,76.2,201701,2,"        18,560",3,2014.0,웅동로 103,,,,,,
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,33.93,201701,7,"         4,100",6,2003.0,용원남로7번길 16,,,,,,
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,33.93,201701,12,"         4,000",10,2003.0,용원남로7번길 16,,,,,,
경상남도 창원진해구 광화동,26,26,0,진해미진이지비아,26.04,201701,10,"         7,230",7,2014.0,중원동로 33,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",2,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",2,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",2,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",1,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",1,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",1,2005.0,남의로 115,,,,,,
경상남도 창원진해구 광화동,26,26,0,진해미진이지비아,26.04,201702,3,"         7,829",11,2014.0,중원동로 33,,,,,,
