시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,NO,동,매수자,매도자,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
경상남도 창원의창구 동읍 송정리,23-1,23,1,동부산훼미리2차,78.03,201501,14,"        14,000",3,1998,용정길32번길 14,,,,,,,,,
경상남도 창원의창구 동읍 용잠리,130-7,130,7,거림훼미리,80.83,201501,17,"        13,100",2,2002,용잠로35번길 16,,,,,,,,,
경상남도 창원의창구 동읍 신방리,52,52,0,대한,84.96,201501,5,"        16,300",12,1997,신방로 17,,,,,,,,,
경상남도 창원의창구 동읍 용잠리,250,250,0,삼진,52.15,201501,13,"         7,300",3,1989,의창대로915번길 8,,,,,,,,,
경상남도 창원의창구 동읍 용잠리,250,250,0,삼진,42.64,201501,23,"         7,000",3,1989,의창대로915번길 8,,,,,,,,,
경상남도 창원의창구 동읍 용잠리,250,250,0,삼진,52.15,201501,29,"         7,150",1,1989,의창대로915번길 8,,,,,,,,,
경상남도 창원의창구 동읍 용잠리,250,250,0,삼진,52.15,201501,29,"         6,950",3,1989,의창대로915번길 8,,,,,,,,,
경상남도 창원의창구 동읍 용잠리,130,130,0,서광,72.22,201501,7,"        12,200",8,1994,의창대로915번길 29,,,,,,,,,
경상남도 창원의창구 동읍 용잠리,419,419,0,신안맨션,75.82,201501,15,"        10,900",8,1997,동읍로 7,,,,,,,,,
경상남도 창원의창구 동읍 용잠리,419,419,0,신안맨션,84.95,201501,16,"        16,000",13,1997,동읍로 7,,,,,,,,,
경상남도 창원의창구 동읍 용정리,21-7,21,7,동부산훼미리타운5차,59.8579,201501,26,"        13,000",3,2000,용정길46번길 24,,,,,,,,,
경상남도 창원의창구 동읍 용잠리,130-1,130,1,신우한빛,84.75,201501,17,"        15,500",12,2000,용잠로35번길 24,,,,,,,,,
경상남도 창원의창구 동읍 용잠리,372-1,372,1,원창호수,65.16,201501,10,"        11,950",10,2001,의창대로 856,,,,,,,,,
경상남도 창원의창구 동읍 용잠리,372-1,372,1,원창호수,84.78,201501,22,"        14,400",1,2001,의창대로 856,,,,,,,,,
경상남도 창원의창구 동읍 용잠리,372-1,372,1,원창호수,65.16,201501,31,"        10,850",15,2001,의창대로 856,,,,,,,,,
경상남도 창원의창구 동읍 용정리,20-3,20,3,성진까치빌라트2,58.02,201501,5,"         8,500",9,1993,용정길46번길 35,,,,,,,,,
경상남도 창원의창구 동읍 용정리,20-3,20,3,성진까치빌라트2,58.02,201501,17,"         8,400",7,1993,용정길46번길 35,,,,,,,,,
경상남도 창원의창구 동읍 용정리,22-2,22,2,동부산3,81.2124,201501,18,"        16,000",8,1999,용정길46번길 32,,,,,,,,,
경상남도 창원의창구 동읍 용정리,20-9,20,9,성진까치빌라트3,54.65,201501,9,"         8,800",12,1995,용정길46번길 49-1,,,,,,,,,
경상남도 창원의창구 동읍 용정리,20-13,20,13,성진까치빌라트5,53.46,201501,8,"         8,700",10,1997,용정길46번길 53,,,,,,,,,
경상남도 창원의창구 동읍 용정리,20-13,20,13,성진까치빌라트5,53.46,201501,10,"         9,000",12,1997,용정길46번길 53,,,,,,,,,
경상남도 창원의창구 동읍 용정리,20-13,20,13,성진까치빌라트5,80.91,201501,29,"        12,850",10,1997,용정길46번길 53,,,,,,,,,
경상남도 창원의창구 팔용동,122,122,0,벽산블루밍B,59.97,201501,15,"        25,100",15,1999,반계로 104-8,,,,,,,,,
경상남도 창원의창구 팔용동,122,122,0,벽산블루밍B,74.01,201501,15,"        26,100",4,1999,반계로 104-8,,,,,,,,,
경상남도 창원의창구 팔용동,122,122,0,벽산블루밍B,84.905,201501,19,"        30,750",5,1999,반계로 104-8,,,,,,,,,
경상남도 창원의창구 팔용동,122,122,0,벽산블루밍B,59.97,201501,21,"        23,900",2,1999,반계로 104-8,,,,,,,,,
경상남도 창원의창구 팔용동,122,122,0,벽산블루밍B,84.905,201501,23,"        29,500",6,1999,반계로 104-8,,,,,,,,,
경상남도 창원의창구 팔용동,122,122,0,벽산블루밍B,59.97,201501,23,"        24,900",9,1999,반계로 104-8,,,,,,,,,
경상남도 창원의창구 팔용동,122,122,0,벽산블루밍B,74.01,201501,28,"        26,900",6,1999,반계로 104-8,,,,,,,,,
경상남도 창원의창구 팔용동,122,122,0,벽산블루밍B,74.01,201501,31,"        27,500",17,1999,반계로 104-8,,,,,,,,,
경상남도 창원의창구 팔용동,122,122,0,벽산블루밍B,84.905,201501,31,"        32,000",4,1999,반계로 104-8,,,,,,,,,
경상남도 창원의창구 동정동,277,277,0,흥한웰가,84.91,201501,13,"        35,700",4,2004,천주로 33,,,,,,,,,
경상남도 창원의창구 동정동,277,277,0,흥한웰가,116.95,201501,17,"        43,000",12,2004,천주로 33,,,,,,,,,
경상남도 창원의창구 동정동,536-2,536,2,남아그린타워,59.965,201501,8,"        15,500",9,1997,동정길 7,,,,,,,,,
경상남도 창원의창구 동정동,300-7,300,7,성신,84.29,201501,22,"        19,000",8,1991,의창대로139번길 13,,,,,,,,,
경상남도 창원의창구 동정동,288,288,0,오성,84.72,201501,21,"        25,500",12,1996,서상로 27,,,,,,,,,
경상남도 창원의창구 팔용동,122,122,0,벽산블루밍B,84.905,201501,3,"        32,200",7,1999,반계로 104-8,,,,,,,,,
경상남도 창원의창구 팔용동,122,122,0,벽산블루밍B,59.97,201501,8,"        25,200",11,1999,반계로 104-8,,,,,,,,,
경상남도 창원의창구 명서동,27,27,0,두산위브,103.58,201501,25,"        49,000",14,2011,도계로 135,,,,,,,,,
경상남도 창원의창구 명서동,27,27,0,두산위브,103.58,201501,31,"        48,350",5,2011,도계로 135,,,,,,,,,
경상남도 창원의창구 동정동,256-2,256,2,팔도그린,68.32,201501,22,"        15,699",7,1995,천주로36번길 9,,,,,,,,,
경상남도 창원의창구 동정동,256-2,256,2,팔도그린,58.6,201501,26,"        14,500",1,1995,천주로36번길 9,,,,,,,,,
