시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,NO,매수자,매도자,해제사유발생일,거래유형,중개사소재지
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,21.44,201503,17,"         3,750",9,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201503,1,"         4,020",13,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,25.18,201503,16,"         6,600",12,2003.0,3·15대로 47,,,,,,
경상남도 창원마산합포구 산호동,427-2,427,2,기전모닝텔,35.2,201503,5,"         4,450",9,1998.0,합포남2길 6,,,,,,
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,25.18,201503,16,"         6,350",4,2003.0,3·15대로 47,,,,,,
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201503,19,"         4,500",9,2003.0,월영동로 7,,,,,,
경상남도 창원마산합포구 산호동,36-18,36,18,동원오피스텔,30.78,201503,3,"         4,550",5,2004.0,산호남2길 1,,,,,,
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201503,14,"         4,500",9,2003.0,월영동로 7,,,,,,
경상남도 창원마산합포구 월영동,275-4,275,4,동방하이얏트오피스텔,21.6,201503,25,"         3,000",5,2002.0,문화남11길 144,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,21.44,201503,31,"         3,300",7,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,26.04,201503,2,"         5,300",5,2003.0,월영동로 7,,,,,,
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,23.69,201503,30,"         3,420",4,2003.0,문신길 78,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,23.45,201503,31,"         3,800",15,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,21.44,201503,31,"         3,600",12,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,28.27,201503,30,"         4,100",5,2003.0,문신길 78,,,,,,
경상남도 창원마산합포구 오동동,322,322,0,중앙마린파이브,40.92,201503,25,"        10,107",2,2014.0,오동동14길 67,,,,,,
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,26.04,201504,13,"         5,300",5,2003.0,월영동로 7,,,,,,
경상남도 창원마산합포구 홍문동,12-1,12,1,	(주)상신기업	,46.71,201504,20,"        15,852",4,2012.0,문화남11길 7,,,,,,
경상남도 창원마산합포구 산호동,427-2,427,2,기전모닝텔,37.8,201504,28,"         4,800",9,1998.0,합포남2길 6,,,,,,
경상남도 창원마산합포구 산호동,14-5,14,5,	(14-5)	,25.08,201504,4,"         3,700",4,2002.0,산호북4길 11,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,21.44,201504,10,"         3,800",11,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 월남동4가,3-2,3,2,장원빌딩,30.0,201504,11,"         6,600",8,2004.0,3·15대로 34,,,,,,
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,34.39,201504,2,"         6,750",10,2003.0,월영동로 7,,,,,,
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201504,7,"         4,800",9,2003.0,월영동로 7,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201504,26,"         4,400",15,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201504,7,"         4,600",6,2003.0,월영동로 7,,,,,,
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,28.0,201504,15,"         4,000",8,2006.0,해안대로 367,,,,,,
경상남도 창원마산합포구 홍문동,12-1,12,1,	(주)상신기업	,59.49,201504,30,"        20,380",5,2012.0,문화남11길 7,,,,,,
경상남도 창원마산합포구 산호동,316-6,316,6,상신크루지움 오피스텔,23.92,201504,10,"         8,653",8,2015.0,합포로 162,,,,,,
경상남도 창원마산합포구 산호동,316-6,316,6,상신크루지움 오피스텔,23.92,201504,27,"         8,467",10,2015.0,합포로 162,,,,,,
경상남도 창원마산합포구 중앙동2가,3-6,3,6,희가로플러스,35.05,201504,29,"         8,300",6,2011.0,3·15대로 185,,,,,,
경상남도 창원마산합포구 산호동,427-2,427,2,기전모닝텔,32.8,201504,15,"         4,400",4,1998.0,합포남2길 6,,,,,,
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,24.5,201504,2,"         3,800",5,2006.0,해안대로 367,,,,,,
경상남도 창원마산합포구 동성동,50,50,0,리치클Ⅱ,31.98,201504,24,"        10,007",6,1997.0,아구찜길 7,,,,,,
경상남도 창원마산합포구 동성동,50,50,0,리치클Ⅱ,41.8,201504,24,"        13,541",8,1997.0,아구찜길 7,,,,,,
경상남도 창원마산합포구 동성동,315-1,315,1,삼오빌딩,35.77,201504,30,"         4,400",9,2003.0,해안대로 359,,,,,,
경상남도 창원마산합포구 산호동,7-5,7,5,동인노블리앙,40.18,201505,8,"         7,634",7,2004.0,산호북19길 11,,,,,,
경상남도 창원마산합포구 산호동,427-2,427,2,기전모닝텔,32.8,201505,27,"         4,350",13,1998.0,합포남2길 6,,,,,,
경상남도 창원마산합포구 홍문동,12-1,12,1,	(주)상신기업	,48.96,201505,20,"        14,837",6,2012.0,문화남11길 7,,,,,,
경상남도 창원마산합포구 월남동4가,3-2,3,2,장원빌딩,30.0,201505,21,"         7,000",5,2004.0,3·15대로 34,,,,,,
경상남도 창원마산합포구 산호동,427-2,427,2,기전모닝텔,35.2,201505,18,"         4,700",14,1998.0,합포남2길 6,,,,,,
경상남도 창원마산합포구 홍문동,12-1,12,1,	(주)상신기업	,59.49,201505,12,"        20,380",6,2012.0,문화남11길 7,,,,,,
경상남도 창원마산합포구 중앙동2가,3-6,3,6,희가로플러스,35.05,201505,29,"         8,300",6,2011.0,3·15대로 185,,,,,,
경상남도 창원마산합포구 서성동,83-12,83,12,	(83-12)	,33.22,201505,12,"         4,850",4,2003.0,동서남1길 16,,,,,,
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201505,7,"         4,700",11,2003.0,월영동로 7,,,,,,
경상남도 창원마산합포구 홍문동,12-1,12,1,	(주)상신기업	,48.96,201505,12,"        14,443",2,2012.0,문화남11길 7,,,,,,
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,24.5,201505,6,"         5,000",4,2006.0,해안대로 367,,,,,,
경상남도 창원마산합포구 월영동,598-5,598,5,월영동 에드텔,29.25,201505,9,"         3,750",8,2000.0,밤밭고개로 395,,,,,,
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,37.06,201505,24,"         7,350",12,2003.0,3·15대로 47,,,,,,
