NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
,경상남도 창원성산구 성주동,169,169,0,성주중앙블루아템,84.76,142.91,201608,24,"        54,891",2,,,2015,삼정자로72번길 99,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,144.14,194.82,201609,9,"        79,500",2,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,41.32,32.8,201610,22,"         8,900",3,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201610,3,"        50,500",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.25,108.72,201610,20,"        47,000",2,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,211.46,285.82,201610,25,"       120,000",1,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 안민동,599-6,599,6,드림빌,46.56,27.64,201610,4,"        13,225",4,,,2014,안민로 49-5,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,41.32,32.8,201611,5,"         8,200",5,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,100.41,129.57,201611,3,"        58,000",4,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,100.41,129.57,201612,21,"        53,500",2,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.25,108.72,201612,28,"        44,000",4,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,100.41,129.57,201701,30,"        54,000",2,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,145.85,197.14,201701,14,"        77,200",1,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,176.52,238.59,201701,10,"        79,000",3,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 안민동,599-6,599,6,드림빌,46.56,27.64,201703,3,"        15,298",3,,,2014,안민로 49-5,,,,,
,경상남도 창원성산구 안민동,599-6,599,6,드림빌,46.56,27.64,201703,3,"        15,298",3,,,2014,안민로 49-5,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201704,1,"        49,000",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,211.46,285.82,201704,24,"       121,000",1,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201705,12,"        38,700",2,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 안민동,599-6,599,6,드림빌,46.56,27.64,201706,30,"        15,298",3,,,2014,안민로 49-5,,,,,
,경상남도 창원성산구 안민동,599-6,599,6,드림빌,46.56,27.64,201706,30,"        15,298",3,,,2014,안민로 49-5,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,46.94,37.9,201707,26,"         9,800",2,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 안민동,70,70,0,동양상가빌라,82.98,35.6,201708,7,"        14,000",4,,,1998,안민안길 28,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.25,108.72,201709,13,"        36,500",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,178.0,240.59,201709,9,"       107,500",1,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,118.42,152.81,201709,14,"        63,000",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201709,20,"        40,000",4,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201709,29,"        37,000",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201710,18,"        39,000",4,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 안민동,70,70,0,동양상가빌라,59.4,25.48,201711,13,"         9,000",5,,,1998,안민안길 28,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,118.42,152.81,201711,8,"        65,000",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,100.41,129.57,201801,17,"        45,500",2,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,176.52,238.59,201802,8,"        87,000",2,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201802,3,"        33,300",2,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201802,6,"        35,700",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,60.5,48.0,201803,8,"        12,000",4,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 안민동,120-4,120,4,송원빌라트(120-4),60.23,34.36,201803,14,"         8,000",3,,,2002,안민안길30번길 13,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.25,108.72,201804,23,"        36,000",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201805,12,"        37,800",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201805,16,"        35,400",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201805,2,"        41,800",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201808,28,"        37,500",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201810,14,"        35,900",3,,,2013,삼정자로 78,,,,,
