NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
,경상남도 창원의창구 도계동,415-3,415,3,더좋은집(원창),63.61,32.87,201503,5,"        13,500",4,,,1997,도계두리길 222,,,,,
,경상남도 창원의창구 도계동,365-34,365,34,대성빌라,28.38,16.3,201503,17,"         3,500",1,,,1995,하남천동길32번길 5,,,,,
,경상남도 창원의창구 도계동,411-13,411,13,세종트윈빌라나,41.16,26.0,201503,16,"        11,400",2,,,2002,태복산로31번길 36,,,,,
,경상남도 창원의창구 도계동,318-3,318,3,아주빌라(318-3),61.61,37.8,201503,16,"        13,000",2,,,1998,도계두리길 108-3,,,,,
,경상남도 창원의창구 도계동,411-13,411,13,세종트윈빌라나,35.58,22.48,201503,4,"        11,000",4,,,2002,태복산로31번길 36,,,,,
,경상남도 창원의창구 도계동,311-8,311,8,성진비아트,43.15,35.19,201503,16,"         7,300",2,,,1994,하남천서길9번길 21,,,,,
,경상남도 창원의창구 동정동,311-2,311,2,동정빌라,59.31,35.97,201503,19,"         6,000",3,,,1991,서상로25번길 21,,,,,
,경상남도 창원의창구 도계동,337-8,337,8,금성주택,97.5,27.3,201503,28,"        18,900",3,,,1998,도계로12번길 17,,,,,
,경상남도 창원의창구 동읍 용잠리,402-5,402,5,동면중앙국민주택,45.035,51.8,201503,3,"         2,500",2,,,1987,용잠로 10-1,,,,,
,경상남도 창원의창구 도계동,365-10,365,10,진성빌라,60.73,32.86,201503,2,"        11,000",1,,,1993,하남천동길32번길 3-22,,,,,
,경상남도 창원의창구 동읍 단계리,247-3,247,3,경준해피존,78.1254,56.95,201503,5,"        15,000",4,,,2012,자여로 121-12,,,,,
,경상남도 창원의창구 서상동,453-2,453,2,정동아트빌라1차,60.54,30.97,201503,11,"        11,800",5,,,1998,의창대로211번길 29,,,,,
,경상남도 창원의창구 소답동,121-5,121,5,송호상가,79.26,34.79,201503,3,"        12,000",5,,,1991,읍성로 75,,,,,
,경상남도 창원의창구 소계동,707-11,707,11,이조빌라A동,76.205,56.65,201503,4,"        18,800",1,,,2009,소계로90번길 20,,,,,
,경상남도 창원의창구 소계동,707-10,707,10,이조빌라B동,76.205,56.65,201503,31,"        19,500",3,,,2009,소계로90번길 20,,,,,
,경상남도 창원의창구 도계동,418-1,418,1,대남상가빌라,118.98,40.62,201503,14,"        22,000",5,,,1991,도계로 102,,,,,
,경상남도 창원의창구 소계동,719-3,719,3,초계블루빌,60.0884,53.03,201503,7,"        18,200",2,,,2014,소계로132번길 6,,,,,
