□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 단독다가구(매매),,,,,주소구분 : 지번 주소,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,
,,,,,,,,,,,,,,,,
NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
136,경상남도 창원시 진해구 마천동,1**,단독,8m미만,134.10,246.00,202009,23,"18,000",-,-,2003,마천로18번길,-,-,-
137,경상남도 창원시 진해구 경화동,1***,단독,8m미만,58.99,116.00,202009,23,"10,000",-,-,1985,조천북로146번길,-,-,-
138,경상남도 창원시 진해구 충무동,3*,단독,8m미만,58.60,69.80,202009,21,"3,500",-,-,2002,충장로176번길,-,-,-
139,경상남도 창원시 진해구 용원동,1***,단독,25m이상,592.15,367.30,202009,20,"106,500",-,-,2002,용원로,-,-,-
140,경상남도 창원시 진해구 여좌동,9*,단독,8m미만,41.72,117.00,202009,19,"8,000",-,-,1975,여명로,-,-,-
141,경상남도 창원시 진해구 남문동,1***,단독,12m미만,99.93,271.70,202009,17,"38,000",-,-,2018,웅천동로172번길,-,-,-
142,경상남도 창원시 진해구 여좌동,1**,단독,8m미만,71.74,62.40,202009,17,"6,800",-,-,1992,여명로25번나길,-,-,-
143,경상남도 창원시 진해구 이동,6*,단독,8m미만,123.52,231.00,202009,14,"25,000",-,-,1984,충장로459번길,-,-,-
144,경상남도 창원시 진해구 청안동,2**,단독,8m미만,58.40,109.00,202009,11,"6,000",-,-,1999,청안로233번길,-,-,-
145,경상남도 창원시 진해구 용원동,1***,단독,12m미만,198.55,208.00,202009,11,"32,500",-,-,2007,용원중로26번길,-,-,-
146,경상남도 창원시 진해구 인사동,*,단독,8m미만,152.00,143.50,202009,09,"15,000",-,-,1983,인사로6번길,-,-,-
147,경상남도 창원시 진해구 용원동,1***,다가구,25m미만,421.57,205.00,202009,09,"48,800",-,-,2012,용원로89번길,-,-,-
148,경상남도 창원시 진해구 자은동,8**,단독,12m미만,184.37,188.00,202009,09,"27,000",-,-,2007,덕산로55번길,20201012,-,-
149,경상남도 창원시 진해구 자은동,8**,단독,12m미만,184.37,188.00,202009,09,"27,000",-,-,2007,덕산로55번길,-,-,-
150,경상남도 창원시 진해구 명동,4**,단독,12m미만,16.80,141.00,202009,07,"10,000",-,-,2005,명동로5번길,-,-,-
151,경상남도 창원시 진해구 여좌동,1**,단독,8m미만,185.75,196.20,202009,07,"12,500",-,-,1990,여좌로40번길,-,-,-
152,경상남도 창원시 진해구 석동,1**,단독,25m미만,159.98,216.80,202008,27,"39,000",-,-,2001,동진로49번길,-,-,-
153,경상남도 창원시 진해구 경화동,5**,단독,8m미만,31.17,152.00,202008,18,"13,000",-,-,1938,경화로26번길,-,-,-
154,경상남도 창원시 진해구 태백동,1*,단독,8m미만,83.07,169.00,202008,18,"18,000",-,-,2002,대야로66번길,-,-,-
155,경상남도 창원시 진해구 명동,3**,단독,8m미만,65.77,258.00,202008,14,"20,500",-,-,1999,명동로41번길,-,-,-
156,경상남도 창원시 진해구 석동,1**,단독,25m미만,222.72,200.00,202008,14,"54,700",-,-,1998,석동로30번길,-,-,-
157,경상남도 창원시 진해구 여좌동,9**,단독,8m미만,47.33,70.00,202008,11,"9,900",-,-,1959,대야남로51번길,-,-,-
158,경상남도 창원시 진해구 자은동,6**,단독,8m미만,100.87,172.00,202008,10,"16,500",-,-,1989,진해대로988번길,-,-,-
159,경상남도 창원시 진해구 용원동,1***,다가구,12m미만,362.87,193.90,202008,10,"35,000",-,-,2010,용원북로11번나길,-,-,-
160,경상남도 창원시 진해구 이동,5**,단독,12m미만,99.66,211.60,202008,07,"25,500",-,-,1994,충장로412번길,-,-,-
161,경상남도 창원시 진해구 경화동,1***,단독,12m미만,71.07,169.30,202008,03,"12,500",-,-,1975,중초로,-,-,-
162,경상남도 창원시 진해구 안곡동,*,단독,8m미만,144.75,255.00,202008,01,"25,000",-,-,1992,속천로,-,-,-
163,경상남도 창원시 진해구 석동,2**,단독,8m미만,444.01,193.80,202008,01,"51,000",-,-,1994,석동로39번안길,-,-,-
