시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산합포구 산호동,1*,단독,8m미만,115.41,114.4,201903,5,"        14,000",1990,산호북1길
경상남도 창원마산합포구 산호동,4*,단독,8m미만,88.53,121,201903,26,"        16,500",2010,산호남4길
경상남도 창원마산합포구 산호동,5*,단독,8m미만,137.3,125.3,201906,4,"         8,600",1992,산호서4길
경상남도 창원마산합포구 산호동,2*,단독,12m미만,125.64,125.6,201904,26,"        22,300",1974,산호북16길
경상남도 창원마산합포구 산호동,4*,단독,8m미만,98.18,129.3,201904,9,"        10,320",1972,산호남4길
경상남도 창원마산합포구 산호동,4*,단독,8m미만,59.27,131.9,201903,5,"        12,900",1973,산호남3길
경상남도 창원마산합포구 산호동,4*,단독,8m미만,143.1,141.8,201901,25,"        17,300",1976,산호남8길
경상남도 창원마산합포구 산호동,2*,단독,8m미만,126.05,146.2,201903,26,"        23,800",1978,산호북11길
경상남도 창원마산합포구 산호동,4*,단독,8m미만,162.95,154.4,201906,1,"        12,300",1993,산호남8길
경상남도 창원마산합포구 산호동,5*,단독,8m미만,107.22,163,201905,16,"        14,000",1974,산호서5길
경상남도 창원마산합포구 산호동,1*,단독,8m미만,149.82,165.3,201812,18,"        21,000",1973,산호북3길
경상남도 창원마산합포구 산호동,1*,단독,8m미만,99.33,172.2,201903,25,"        23,817",1977,산호북4길
경상남도 창원마산합포구 산호동,4*,단독,25m미만,228.83,194.7,201903,27,"        53,000",2008,용마로
경상남도 창원마산합포구 산호동,5*,단독,12m미만,493.6,260.8,201809,19,"        89,500",2013,산호서1길
경상남도 창원마산합포구 상남동,2*,단독,25m미만,96.78,36,201809,30,"        13,200",1960,북성로
경상남도 창원마산합포구 상남동,3**,단독,8m미만,15.21,39,201812,19,"         5,300",1960,합포서5길
경상남도 창원마산합포구 상남동,1**,단독,8m미만,26.43,56,201811,21,"         5,200",1960,합포서12길
경상남도 창원마산합포구 상남동,1**,단독,8m미만,49.5,83,201812,16,"         9,900",1996,합포서10길
경상남도 창원마산합포구 상남동,1**,단독,25m미만,143.83,98,201810,8,"        20,500",1960,노산남7길
경상남도 창원마산합포구 상남동,2*,단독,8m미만,58.87,100,201902,16,"        13,100",1998,노산북6길
경상남도 창원마산합포구 상남동,1**,단독,8m미만,91.02,114,201809,20,"        25,000",2017,
경상남도 창원마산합포구 상남동,2**,단독,8m미만,48.6,116,201906,10,"        18,300",1997,합포서8길
경상남도 창원마산합포구 상남동,2**,단독,8m미만,199,136,201906,26,"        17,110",1982,합포서7길
경상남도 창원마산합포구 상남동,1**,단독,8m미만,71.34,145,201812,26,"        10,000",1982,노산동3길
경상남도 창원마산합포구 상남동,2**,단독,8m미만,127.8,155,201905,15,"        21,700",1973,합포서8길
경상남도 창원마산합포구 상남동,1**,단독,8m미만,272.69,158,201810,8,"        45,000",2017,노산남6길
경상남도 창원마산합포구 상남동,8*,단독,8m미만,69.42,162,201809,13,"        23,000",1960,노산남1길
경상남도 창원마산합포구 상남동,2**,단독,8m미만,132.86,188,201807,25,"        21,000",1960,합포서8길
경상남도 창원마산합포구 상남동,2**,단독,8m미만,132.86,188,201905,30,"        22,700",1998,합포서8길
경상남도 창원마산합포구 상남동,3*,단독,8m미만,88.5,208,201903,14,"        24,000",2001,노산북2길
경상남도 창원마산합포구 서성동,8*,단독,8m미만,22.4,26.4,201906,25,"         2,100",,동서남3길
경상남도 창원마산합포구 서성동,8*,단독,-,28.56,53.7,201812,24,"         3,500",2000,동서남3길
경상남도 창원마산합포구 서성동,6*,단독,8m미만,325.05,152.1,201903,20,"        24,000",1984,동서서1길
경상남도 창원마산합포구 서성동,*,단독,8m미만,48.14,162,201810,24,"        18,300",1960,동서북5길
경상남도 창원마산합포구 성호동,5*,단독,8m미만,26.45,13,201809,3,"         1,500",1960,성호동3길
경상남도 창원마산합포구 성호동,5*,단독,8m미만,16.53,28,201809,3,"         3,000",1960,성호동3길
경상남도 창원마산합포구 성호동,9*,단독,8m미만,83.6,102,201808,7,"         9,500",1994,성호서8길
경상남도 창원마산합포구 성호동,5*,단독,8m미만,47.94,175,201809,20,"         8,700",1960,성호동2길
경상남도 창원마산합포구 성호동,4*,단독,8m미만,245.93,264,201811,1,"        39,000",1960,성호동1길
경상남도 창원마산합포구 수성동,8*,단독,8m미만,44.3,13.2,201809,27,"         4,800",1960,
경상남도 창원마산합포구 수성동,1**,단독,8m미만,59.94,39.7,201905,20,"         6,300",2008,동서북6길
경상남도 창원마산합포구 신월동,1*,단독,8m미만,40.83,75,201905,7,"         6,000",2008,반월서1길
경상남도 창원마산합포구 신월동,3*,단독,-,82.02,79,201903,21,"         4,000",1983,반월서5길
경상남도 창원마산합포구 신월동,1*,단독,8m미만,39.34,132,201903,12,"         6,000",1991,반월서1길
경상남도 창원마산합포구 신월동,*,단독,-,209.86,250,201810,1,"        33,500",1960,완월남14길
경상남도 창원마산합포구 예곡동,3**,단독,8m미만,41.32,192,201906,4,"         8,250",1978,예곡길
경상남도 창원마산합포구 예곡동,1***,단독,8m미만,149.84,668,201902,11,"        38,500",2008,두릉길
경상남도 창원마산합포구 오동동,2**,단독,8m미만,22.48,26.4,201901,3,"         6,700",2010,오동동2길
경상남도 창원마산합포구 오동동,2**,단독,12m미만,83.38,33.1,201905,31,"        10,850",2008,오동동1길
경상남도 창원마산합포구 오동동,*,단독,8m미만,14.98,43,201812,11,"         3,000",1960,오동동15길
경상남도 창원마산합포구 오동동,7*,단독,8m미만,125.76,69.25,201811,23,"        10,900",1960,오동북11길
경상남도 창원마산합포구 오동동,1**,단독,8m미만,99.36,82.3,201808,2,"        11,300",1997,오동북5길
경상남도 창원마산합포구 완월동,2*,다가구,8m미만,352.64,216,201906,17,"        66,208",2016,자산남14길
경상남도 창원마산합포구 완월동,4**,단독,8m미만,16.53,50,201810,10,"         2,900",1960,완월남5길
경상남도 창원마산합포구 완월동,2**,단독,8m미만,96.48,56,201901,31,"        15,200",2003,완월남로
경상남도 창원마산합포구 완월동,3**,단독,8m미만,45.06,93,201905,14,"         5,900",1977,완월남1길
경상남도 창원마산합포구 완월동,1**,단독,8m미만,41.06,112,201902,26,"         5,700",1973,완월북6길
경상남도 창원마산합포구 완월동,4*,단독,8m미만,45.65,116,201812,18,"        13,400",1960,자산솔밭로
경상남도 창원마산합포구 완월동,2**,단독,8m미만,66.35,122,201904,16,"        11,000",2008,완월동8길
경상남도 창원마산합포구 완월동,9*,단독,8m미만,36,132,201904,24,"        14,500",1998,완월북10길
경상남도 창원마산합포구 완월동,3**,단독,8m미만,74.88,139,201812,27,"        21,000",1989,완월남2길
경상남도 창원마산합포구 완월동,3**,단독,8m미만,170.18,155,201902,11,"        35,000",2005,중앙남8길
경상남도 창원마산합포구 완월동,1*,단독,-,140.79,162,201906,30,"        14,500",1998,고운로
경상남도 창원마산합포구 완월동,1**,단독,8m미만,98.49,1407,201905,16,"       134,032",1998,완월서1길
경상남도 창원마산합포구 월남동1가,4*,단독,-,18.77,19.8,201810,27,"         3,600",1960,문화동2길
경상남도 창원마산합포구 월남동1가,4*,단독,-,34.21,45.3,201905,15,"         6,700",1998,문화동2길
경상남도 창원마산합포구 월남동1가,4*,단독,-,24.25,46.3,201807,17,"         5,000",1984,문화동2길
경상남도 창원마산합포구 월남동3가,*,단독,12m미만,45.82,82.6,201904,25,"        13,000",2008,문화남5길
경상남도 창원마산합포구 월영동,4**,다가구,25m미만,119.76,78,201905,14,"        19,700",1997,월영북로
경상남도 창원마산합포구 월영동,6**,다가구,8m미만,128,142,201903,25,"        22,760",1982,월영남17길
경상남도 창원마산합포구 월영동,6**,다가구,12m미만,130.08,142,201903,25,"        25,392",1979,월영남17길
경상남도 창원마산합포구 월영동,4**,다가구,8m미만,499.74,217,201808,1,"       111,000",2018,월영북6길
경상남도 창원마산합포구 월영동,5**,다가구,8m미만,522.16,240,201812,26,"        47,000",2002,월영서3길
경상남도 창원마산합포구 월영동,6**,단독,8m미만,24.12,47,201812,24,"         4,500",1960,월영남11길
경상남도 창원마산합포구 월영동,5**,단독,-,66,69,201904,5,"         4,000",2008,월영서2길
경상남도 창원마산합포구 월영동,6**,단독,8m미만,48.51,83,201811,29,"         2,500",1960,월영남15길
경상남도 창원마산합포구 월영동,4**,단독,8m미만,37.39,85,201902,23,"        22,200",,월영북6길
경상남도 창원마산합포구 월영동,4**,단독,8m미만,37.39,85,201810,30,"        23,500",1960,월영북6길
경상남도 창원마산합포구 월영동,5**,단독,8m미만,44.25,89,201810,18,"         3,200",1976,밤밭고개로
경상남도 창원마산합포구 월영동,6**,단독,8m미만,18.91,96,201807,7,"         2,500",1990,월영서10길
경상남도 창원마산합포구 월영동,6**,단독,8m미만,97.26,100.6,201810,17,"        17,800",1960,월영남18길
경상남도 창원마산합포구 월영동,6**,단독,12m미만,61,101.1,201810,18,"         8,800",1960,월영남19길
