□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,
,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,
계약일자 : 20180701 ~ 20190630,,,,,,,,,,,,
실거래 구분 : 연립다세대(매매),,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,
시군구 : 창원마산회원구,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,
,,,,,,,,,,,,
시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 석전동,247-5,0247,0005,(247-5),32.79,36.1,201807,20,"         6,800",2,1979,석전동6길 17
경상남도 창원마산회원구 석전동,247-5,0247,0005,(247-5),32.79,36.1,201905,14,"         6,000",1,1979,석전동6길 17
경상남도 창원마산회원구 석전동,270-22,0270,0022,(270-22),42.9,53.5,201812,6,"         6,000",1,1982,회성동7길 8-1
경상남도 창원마산회원구 석전동,285-11,0285,0011,(285-11),42.9,34.87,201807,10,"         5,300",1,1982,석전서8길 19
경상남도 창원마산회원구 석전동,251-7,0251,0007,81석전지구,46.21,44.58,201902,18,"         7,500",1,1981,석전동2길 23
경상남도 창원마산회원구 석전동,46-2,0046,0002,건우빌라,58.17,32.41,201906,15,"         6,000",1,1993,회원서1길 74
경상남도 창원마산회원구 석전동,170-2,0170,0002,대우(170-2),55.11,45.78,201906,6,"         7,150",2,1983,석전북7길 32
경상남도 창원마산회원구 석전동,226-7,0226,0007,만석상가,62.73,50.89,201807,24,"         4,500",2,1985,석전동15길 7
경상남도 창원마산회원구 석전동,178-2,0178,0002,삼성아트빌,47.57,58.16,201811,9,"        10,500",1,2012,석전북7길 59
경상남도 창원마산회원구 석전동,48-9,0048,0009,성우예은빌,65.189,65.05,201812,7,"        17,000",3,2018,회원서1길 61
경상남도 창원마산회원구 석전동,48-9,0048,0009,성우예은빌,65.189,65.05,201812,24,"        17,000",4,2018,회원서1길 61
경상남도 창원마산회원구 석전동,48-9,0048,0009,성우예은빌,65.189,65.05,201812,24,"        17,000",2,2018,회원서1길 61
