□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,
,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,
계약일자 : 20150701 ~ 20160630,,,,,,,,,,,,
실거래 구분 : 연립다세대(매매),,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,
시군구 : 창원진해구,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,
,,,,,,,,,,,,
시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원진해구 경화동,1150-15,1150,0015,여명파크빌라,43.95,17.67,201509,24,"         5,450",5,1996,충장로273번길 19
경상남도 창원진해구 경화동,972-7,0972,0007,영신A,69.36,41.2,201511,3,"        10,000",3,1984,충장로 357
경상남도 창원진해구 경화동,972-7,0972,0007,영신A,83.46,49.6,201603,4,"        11,500",3,1984,충장로 357
경상남도 창원진해구 경화동,1199-5,1199,0005,우진그린빌라,64.096,27.1,201510,13,"         8,000",3,1995,진해대로 640
경상남도 창원진해구 경화동,1199-5,1199,0005,우진그린빌라,76.59,32.4,201602,15,"         7,100",6,1995,진해대로 640
경상남도 창원진해구 경화동,836-7,0836,0007,우진빌라트,99.86,59.82,201603,7,"        14,250",4,1999,병암북로3번길 16
경상남도 창원진해구 경화동,1280-8,1280,0008,유일전원빌라102,84.93,60.92,201510,19,"        15,500",3,1995,조천북로98번길 5
경상남도 창원진해구 경화동,1280-8,1280,0008,유일전원빌라102,84.93,60.92,201512,21,"        13,500",4,1995,조천북로98번길 5
경상남도 창원진해구 경화동,1280-6,1280,0006,유일전원빌라103,59.87,50.86,201509,14,"        10,000",1,1996,조천로13번길 17
경상남도 창원진해구 경화동,1434,1434,0000,유일전원빌라105,58.77,39.03,201508,31,"         9,000",3,1998,조천로35번길 18
경상남도 창원진해구 경화동,1434,1434,0000,유일전원빌라105,58.77,39.03,201604,26,"         9,200",3,1998,조천로35번길 18
경상남도 창원진해구 경화동,1280-4,1280,0004,유일전원빌라108,83.19,66.19,201606,10,"        16,000",2,1996,조천로31번길 11
경상남도 창원진해구 경화동,1168-2,1168,0002,장미,60.06,43,201508,31,"         7,900",3,1984,충장로285번길 6
경상남도 창원진해구 경화동,1171-2,1171,0002,중앙,53.29,53.3,201602,5,"         6,280",2,1981,충장로235번길 3-8
경상남도 창원진해구 경화동,1148-22,1148,0022,중초(1148-22),43.17,42.6,201507,15,"         5,000",1,1980,중초로23번길 10-8
경상남도 창원진해구 경화동,824,0824,0000,지산빌라,77.31,44.85,201601,28,"        15,000",2,1997,경화시장로 53-2
경상남도 창원진해구 경화동,1172-22,1172,0022,진양A,64.95,67.67,201510,28,"         7,900",1,1984,충장로235번길 6-1
경상남도 창원진해구 경화동,1153-3,1153,0003,진양빌라,71.25,74.52,201606,5,"         7,500",3,1989,경화로29번길 29
경상남도 창원진해구 경화동,846-15,0846,0015,"창성(가,나)",44.19,40.82,201510,24,"         7,400",4,1986,조천북로146번길 3
경상남도 창원진해구 경화동,846-15,0846,0015,"창성(가,나)",44.19,40.82,201512,21,"         7,400",4,1986,조천북로146번길 3
경상남도 창원진해구 경화동,846-15,0846,0015,"창성(가,나)",44.1,40.74,201602,20,"         6,850",1,1986,조천북로146번길 3
경상남도 창원진해구 경화동,848-7,0848,0007,창성(다),54.72,48.17,201508,24,"         6,000",2,1986,조천북로146번길 9-8
경상남도 창원진해구 경화동,848-7,0848,0007,창성(다),53.01,46.82,201510,16,"         7,700",2,1986,조천북로146번길 9-8
경상남도 창원진해구 경화동,1280-5,1280,0005,창조빌라,84.72,56.47,201511,5,"        12,000",3,1996,조천로31번길 12
경상남도 창원진해구 경화동,1154-11,1154,0011,혜성빌라(1154-11),59.17,36.33,201602,4,"         8,500",3,1992,경화로25번길 19
경상남도 창원진해구 경화동,838,0838,0000,혜성빌라(838),74.63,77.1,201511,17,"         7,900",3,1990,조천북로154번길 7-1
경상남도 창원진해구 경화동,1157-20,1157,0020,홍성빌라,58.86,34.18,201604,3,"         8,900",4,1994,충장로245번길 9
경상남도 창원진해구 경화동,1157-20,1157,0020,홍성빌라,68.89,40.02,201606,9,"         9,000",4,1994,충장로245번길 9
경상남도 창원진해구 남양동,197-1,0197,0001,오복빌라,57.36,35.65,201507,21,"         5,000",3,1994,남영로 489
경상남도 창원진해구 대죽동,32-32,0032,0032,대죽빌라,95.67,50.48,201508,21,"        10,300",3,1998,태평로48번길 24-21
경상남도 창원진해구 대죽동,32-99,0032,0099,유림골든빌,62.8205,43.38,201511,30,"        16,100",3,2014,태평로48번길 24
경상남도 창원진해구 대죽동,32-42,0032,0042,유림골든빌2차,52.8486,33.88,201604,25,"        13,300",4,2015,태평로48번길 22
경상남도 창원진해구 덕산동,10-25,0010,0025,(10-25),57.06,53.5,201603,31,"         7,300",2,1991,충장로481번길 20
경상남도 창원진해구 덕산동,61-26,0061,0026,(61-26),59.4,60.9,201508,15,"        10,500",1,1983,동진로 125
경상남도 창원진해구 덕산동,10-26,0010,0026,뉴덕산빌라,57.42,36.5,201601,16,"         6,400",2,1991,충장로481번길 22
경상남도 창원진해구 덕산동,58-4,0058,0004,은빛,70.01,46.59,201603,19,"        11,300",2,2002,덕산로 20-20
경상남도 창원진해구 덕산동,57-37,0057,0037,은하덕산원룸,37.94,16.06,201512,31,"         2,500",5,2001,동진로 136-22
경상남도 창원진해구 덕산동,21-4,0021,0004,현대,75.72,30.14,201510,21,"         9,800",2,1991,덕산로 22
경상남도 창원진해구 두동,1091,1091,0000,(1091),48.45,51.82,201510,5,"         4,350",2,2006,남의로 152
경상남도 창원진해구 두동,1235,1235,0000,대웅빌라A,72.22,40.38,201512,2,"         7,900",2,1999,웅동로 197
경상남도 창원진해구 두동,1235,1235,0000,대웅빌라A,72.22,40.38,201601,15,"         7,500",1,1999,웅동로 197
경상남도 창원진해구 두동,1235-2,1235,0002,대웅빌라B,71.55,68.75,201509,15,"         8,200",1,1999,웅동로 199
경상남도 창원진해구 두동,1235-2,1235,0002,대웅빌라B,71.55,68.75,201512,8,"         8,400",1,1999,웅동로 199
경상남도 창원진해구 마천동,145-48,0145,0048,드림시티빌2,55.9827,42.07,201508,4,"         9,000",4,2012,마천로 47
경상남도 창원진해구 마천동,144-1,0144,0001,성도빌라,72.18,46.73,201510,20,"         8,000",2,1997,마천로 43
경상남도 창원진해구 마천동,153-7,0153,0007,자연애빌,84.82,65.69,201604,19,"        19,000",2,2013,마천로36번길 2
경상남도 창원진해구 마천동,83,0083,0000,초석빌라,65.35,50.53,201606,16,"        11,000",5,2012,마천로10번길 7
경상남도 창원진해구 북부동,86-2,0086,0002,다옴빌,64.155,58.21,201604,15,"        15,000",5,2014,웅천북로 29
경상남도 창원진해구 북부동,444-11,0444,0011,동인빌라,46.32,43.64,201602,19,"         4,000",1,1990,웅천북로 35
경상남도 창원진해구 북부동,444-11,0444,0011,동인빌라,46.32,43.64,201602,22,"         5,500",2,1990,웅천북로 35
경상남도 창원진해구 북부동,444-11,0444,0011,동인빌라,46.32,43.64,201603,21,"         5,800",3,1990,웅천북로 35
경상남도 창원진해구 북부동,548-12,0548,0012,웅천아트빌라2차,72.65,46.44,201604,6,"         7,500",2,1996,웅천로 160-20
경상남도 창원진해구 북부동,548-12,0548,0012,웅천아트빌라2차,64.49,41.23,201606,28,"         6,000",2,1996,웅천로 160-20
경상남도 창원진해구 서중동,144-1,0144,0001,동인빌라(144-1),59.67,43.81,201508,27,"         6,700",2,1991,웅천로166번길 14-9
경상남도 창원진해구 서중동,144-1,0144,0001,동인빌라(144-1),59.67,43.81,201603,4,"         7,600",1,1991,웅천로166번길 14-9
경상남도 창원진해구 석동,118-16,0118,0016,대성주택B동,66.38,65.6,201508,31,"         9,700",2,1983,냉천로 37-1
경상남도 창원진해구 석동,118-16,0118,0016,대성주택B동,66.38,65.6,201510,21,"        11,400",3,1983,냉천로 37-1
경상남도 창원진해구 석동,118-19,0118,0019,대성주택D동,46.76,40.3,201508,24,"         9,050",3,1983,냉천로 39
경상남도 창원진해구 석동,118-19,0118,0019,대성주택D동,46.76,40.3,201510,20,"         9,700",2,1983,냉천로 39
경상남도 창원진해구 석동,118-19,0118,0019,대성주택D동,46.76,40.3,201603,24,"         7,350",2,1983,냉천로 39
경상남도 창원진해구 석동,100-17,0100,0017,덕산주택,56.1,45.5,201512,10,"         8,000",1,1988,동진로76번길 11
경상남도 창원진해구 석동,355-3,0355,0003,락희빌라,82.09,52.88,201509,17,"        14,800",2,2001,돌리로22번길 5-14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,51.71,76.84,201507,24,"        17,450",1,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,95.77,201508,11,"        22,300",2,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,51.71,76.84,201508,19,"        15,000",2,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,95.77,201509,2,"        21,700",3,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,95.77,201509,2,"        20,500",2,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,95.77,201509,24,"        22,500",3,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,95.77,201509,30,"        22,400",3,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,88.9,201511,3,"        21,500",1,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,51.71,76.84,201511,6,"        15,000",2,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,95.77,201511,16,"        20,000",4,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,51.71,76.84,201512,3,"        17,450",1,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,51.71,76.84,201601,22,"        17,200",2,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,95.77,201603,4,"        19,500",2,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,51.71,76.83,201603,22,"        16,400",4,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,51.71,76.84,201604,11,"        16,700",4,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,95.77,201604,19,"        20,150",2,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,51.71,76.84,201606,9,"        17,500",3,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,95.77,201606,15,"        20,800",2,2003,냉천로107번길 14
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,90.15,201507,13,"        22,900",2,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,84.96,127.18,201507,13,"        28,000",3,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,84.96,127.18,201507,22,"        29,300",2,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,90.15,201509,7,"        21,000",4,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,90.15,201509,11,"        21,300",4,2003,석동로 80
