□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,
,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,
계약일자 : 20150701 ~ 20160630,,,,,,,,,,,,
실거래 구분 : 연립다세대(매매),,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,
시군구 : 창원의창구,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,
,,,,,,,,,,,,
시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 도계동,396-2,0396,0002,리코그린빌라,47.91,34.83,201604,30,"        12,000",1,1993,도계로73번길 18
경상남도 창원의창구 도계동,397-8,0397,0008,리코명작빌라가동,76.5,40.28,201606,29,"        18,500",4,1997,원이대로69번길 30-13
경상남도 창원의창구 도계동,398-5,0398,0005,리코명작빌라나동,54.6,26.26,201509,11,"        13,500",5,1997,원이대로69번길 24-19
경상남도 창원의창구 도계동,360-4,0360,0004,리코아트빌라,72.99,66.58,201508,28,"        13,400",3,1994,하남천동길44번길 5-7
경상남도 창원의창구 도계동,322-5,0322,0005,리코프라자,84.26,31.29,201507,18,"        15,000",4,1990,하남천서길 23
경상남도 창원의창구 도계동,322-5,0322,0005,리코프라자,82.44,30.61,201508,31,"        16,000",2,1990,하남천서길 23
경상남도 창원의창구 도계동,304-18,0304,0018,밀로캐슬파크(304-18),78.44,45.03,201512,22,"        16,800",2,2004,도계두리길6번길 8
경상남도 창원의창구 도계동,396-5,0396,0005,밝은집(원창),78.79,47.44,201509,5,"        14,300",5,1995,도계로73번길 8
경상남도 창원의창구 도계동,396-5,0396,0005,밝은집(원창),78.71,47.39,201509,17,"        15,200",3,1995,도계로73번길 8
경상남도 창원의창구 도계동,396-5,0396,0005,밝은집(원창),78.79,47.44,201511,24,"        15,970",5,1995,도계로73번길 8
경상남도 창원의창구 도계동,399-4,0399,0004,백상빌라,69.12,41.15,201508,6,"        15,200",4,1996,원이대로69번길 24-18
경상남도 창원의창구 도계동,311-15,0311,0015,서원드림빌라,74.103,50.96,201605,30,"        17,000",2,2001,하남천서길9번길 15
경상남도 창원의창구 도계동,335-3,0335,0003,서원래온빌1차,82.949,48.8,201512,3,"        24,200",1,2007,도계로12번길 14
경상남도 창원의창구 도계동,332-2,0332,0002,서원래온빌2차,79.1891,44.81,201508,10,"        22,000",3,2008,도계로8번길 6
경상남도 창원의창구 도계동,360-23,0360,0023,서원래온빌6차,71.9,64.69,201507,18,"        20,800",2,2015,도계두리길 150
경상남도 창원의창구 도계동,360-23,0360,0023,서원래온빌6차,74.47,67.01,201507,18,"        20,800",4,2015,도계두리길 150
경상남도 창원의창구 도계동,360-23,0360,0023,서원래온빌6차,74.47,67.01,201507,23,"        20,800",2,2015,도계두리길 150
경상남도 창원의창구 도계동,360-23,0360,0023,서원래온빌6차,74.47,67.01,201507,29,"        20,300",1,2015,도계두리길 150
경상남도 창원의창구 도계동,334-1,0334,0001,서원빌라,81.47,45.6,201602,18,"        21,700",1,2005,도계로8번길 12
경상남도 창원의창구 도계동,314-17,0314,0017,서원빌라(314-17),60.88,54.39,201508,26,"        13,600",4,1997,하남천서길21번길 18
경상남도 창원의창구 도계동,314-17,0314,0017,서원빌라(314-17),65.98,58.94,201602,13,"        13,300",3,1997,하남천서길21번길 18
경상남도 창원의창구 도계동,334-20,0334,0020,서원프리빌,76.09,42.03,201606,24,"        17,000",4,2005,도계로4번길 11
경상남도 창원의창구 도계동,348-3,0348,0003,성산빌라6차,61.77,30.38,201507,20,"        14,300",2,1993,원이대로55번길 12-22
경상남도 창원의창구 도계동,348-3,0348,0003,성산빌라6차,62.46,30.72,201511,3,"        13,800",4,1993,원이대로55번길 12-22
경상남도 창원의창구 도계동,348-3,0348,0003,성산빌라6차,61.77,30.38,201511,30,"        12,000",5,1993,원이대로55번길 12-22
경상남도 창원의창구 도계동,348-3,0348,0003,성산빌라6차,61.77,30.38,201602,24,"        13,300",5,1993,원이대로55번길 12-22
경상남도 창원의창구 도계동,399-2,0399,0002,성수빌라13차,67.89,37.48,201604,2,"        13,000",5,1996,원이대로69번길 24-8
경상남도 창원의창구 도계동,362-6,0362,0006,성수빌라5차,58.46,36.24,201509,11,"        11,000",4,1995,하남천동길50번길 15
경상남도 창원의창구 도계동,360-20,0360,0020,성수빌라6차,63.865,32.83,201508,14,"        12,000",1,1995,하남천동길50번길 10
경상남도 창원의창구 도계동,311-8,0311,0008,성진비아트,43.15,35.19,201510,5,"         8,200",3,1994,하남천서길9번길 21
경상남도 창원의창구 도계동,311-8,0311,0008,성진비아트,41.91,34.16,201605,17,"         7,570",4,1994,하남천서길9번길 21
경상남도 창원의창구 도계동,311-8,0311,0008,성진비아트,42.31,34.51,201605,20,"         7,350",2,1994,하남천서길9번길 21
경상남도 창원의창구 도계동,411-13,0411,0013,세종트윈빌라나,32.18,20.32,201606,14,"         9,600",2,2002,태복산로31번길 36
경상남도 창원의창구 도계동,326-11,0326,0011,송백골든빌라,70.71,41.02,201509,15,"        17,750",3,1997,하남천서길5번길 9-3
경상남도 창원의창구 도계동,318-14,0318,0014,송백들국화빌라,74.46,41.01,201507,12,"        13,600",5,2002,도계두리길 114
경상남도 창원의창구 도계동,394-16,0394,0016,송백들장미빌라,52.75,27.96,201507,27,"        13,000",4,2002,도계두리길 176-1
경상남도 창원의창구 도계동,421-12,0421,0012,송백라이온빌라,74.6,51.71,201507,10,"        17,200",2,2000,태복산로23번길 23
경상남도 창원의창구 도계동,421-12,0421,0012,송백라이온빌라,74.6,51.71,201602,22,"        17,400",2,2000,태복산로23번길 23
경상남도 창원의창구 도계동,337-2,0337,0002,신동우빌라,80.82,74.76,201508,24,"        14,700",5,1997,도계로18번길 16
경상남도 창원의창구 도계동,337-2,0337,0002,신동우빌라,80.82,74.76,201603,29,"        16,800",5,1997,도계로18번길 16
경상남도 창원의창구 도계동,327-8,0327,0008,아주빌라,48.11,28.23,201510,16,"        11,000",4,1996,하남천서길5번길 19
경상남도 창원의창구 도계동,420-6,0420,0006,연진상가빌라,69.42,28.22,201512,3,"        15,000",4,1995,태복산로23번길 24
경상남도 창원의창구 도계동,422-14,0422,0014,영진리츠빌,58.92,33.93,201510,12,"        14,150",4,2005,태복산로11번길 22
경상남도 창원의창구 도계동,405-12,0405,0012,영진황토빌라,67.93,38.58,201509,24,"        17,450",3,2006,태복산로7번길 33-1
경상남도 창원의창구 도계동,317-5,0317,0005,오션그린빌라,69.33,49.78,201508,21,"        14,500",4,1995,도계두리길 106
경상남도 창원의창구 도계동,312-21,0312,0021,우성빌라,72.75,39.23,201507,8,"        13,000",3,1992,하남천서길9번길 20-10
경상남도 창원의창구 도계동,327-14,0327,0014,일호상가,71.28,26.24,201605,2,"        15,000",5,1990,도계로 37
경상남도 창원의창구 도계동,311-13,0311,0013,정다운집,65.44,47.92,201508,10,"        14,200",4,1996,하남천서길5번길 24-10
경상남도 창원의창구 도계동,341-5,0341,0005,조은빌라,82.4804,51.59,201507,6,"        19,500",4,2005,도계로50번길 15-23
경상남도 창원의창구 도계동,357-4,0357,0004,중앙상가빌라,56.94,23.03,201507,31,"        14,500",7,1995,도계로 63
경상남도 창원의창구 도계동,357-4,0357,0004,중앙상가빌라,56.94,23.03,201509,19,"        15,500",4,1995,도계로 63
경상남도 창원의창구 도계동,357-4,0357,0004,중앙상가빌라,56.94,23.03,201511,12,"        16,500",4,1995,도계로 63
경상남도 창원의창구 도계동,351-7,0351,0007,중원빌라,82.5,40.9,201507,4,"        14,800",4,1996,도계로60번길 13-13
경상남도 창원의창구 도계동,402-4,0402,0004,진보녹화맨션,75.79,29.22,201512,18,"        18,000",4,1995,원이대로69번길 10-22
경상남도 창원의창구 도계동,402-4,0402,0004,진보녹화맨션,69.55,26.81,201601,23,"        16,400",6,1995,원이대로69번길 10-22
경상남도 창원의창구 도계동,396-12,0396,0012,진보빌라,68.74,38.3,201604,16,"        16,600",3,1994,도계로83번길 13
경상남도 창원의창구 도계동,403-8,0403,0008,진한빌라2차,61.62,32.81,201509,1,"        13,800",3,1991,원이대로69번길 6-10
경상남도 창원의창구 도계동,314-21,0314,0021,청송국화빌라,58.5,36.44,201604,16,"        13,000",1,1996,하남천서길21번길 22
경상남도 창원의창구 도계동,314-21,0314,0021,청송국화빌라,58.5,36.44,201604,28,"        13,400",1,1996,하남천서길21번길 22
경상남도 창원의창구 도계동,314-21,0314,0021,청송국화빌라,58.5,36.44,201606,22,"        14,100",1,1996,하남천서길21번길 22
경상남도 창원의창구 도계동,306-8,0306,0008,청송빌라,66.39,35.35,201511,14,"        14,250",4,1994,도계로17번길 8
경상남도 창원의창구 도계동,306-8,0306,0008,청송빌라,66.39,35.35,201605,9,"        14,900",4,1994,도계로17번길 8
경상남도 창원의창구 도계동,403-6,0403,0006,칠성맨션,66.7,33.21,201509,4,"         9,500",2,1989,원이대로69번길 2
경상남도 창원의창구 도계동,325-4,0325,0004,행복한집,79.18,62.94,201604,25,"        18,700",4,1995,하남천서길9번길 5
경상남도 창원의창구 도계동,407-8,0407,0008,황제빌라6차,84.15,32.43,201511,2,"        20,000",2,1997,원이대로81번길 14
경상남도 창원의창구 도계동,407-8,0407,0008,황제빌라6차,84.15,32.43,201606,30,"        17,600",4,1997,원이대로81번길 14
경상남도 창원의창구 도계동,363-2,0363,0002,황제빌라B,79.71,33.9,201508,11,"        17,500",3,1992,하남천동길 64
경상남도 창원의창구 동읍 단계리,247-3,0247,0003,경준해피존,84.6444,61.7,201510,28,"        15,400",5,2012,자여로 121-12
경상남도 창원의창구 동읍 단계리,247-3,0247,0003,경준해피존,84.6444,61.7,201511,9,"        15,600",3,2012,자여로 121-12
경상남도 창원의창구 동읍 단계리,247-3,0247,0003,경준해피존,84.6444,61.7,201511,26,"        15,000",2,2012,자여로 121-12
경상남도 창원의창구 동읍 단계리,247-3,0247,0003,경준해피존,84.7064,61.75,201512,4,"        14,300",4,2012,자여로 121-12
경상남도 창원의창구 동읍 단계리,247-3,0247,0003,경준해피존,78.1254,56.95,201601,9,"        14,000",2,2012,자여로 121-12
경상남도 창원의창구 동읍 단계리,247-3,0247,0003,경준해피존,84.6444,61.7,201601,21,"        16,000",4,2012,자여로 121-12
경상남도 창원의창구 동읍 단계리,292-5,0292,0005,동아바론하우스1,69.3431,76.93,201508,9,"        15,000",2,2011,자여로 133-3
경상남도 창원의창구 동읍 단계리,292-5,0292,0005,동아바론하우스1,69.3431,76.93,201508,27,"        15,000",2,2011,자여로 133-3
경상남도 창원의창구 동읍 단계리,292-5,0292,0005,동아바론하우스1,69.3431,76.93,201601,30,"        15,200",2,2011,자여로 133-3
경상남도 창원의창구 동읍 단계리,292-5,0292,0005,동아바론하우스1,47.7664,53,201602,24,"        10,700",4,2011,자여로 133-3
경상남도 창원의창구 동읍 단계리,292,0292,0000,동아바론하우스2,69.3431,80.32,201507,18,"        14,500",4,2011,자여로 127
경상남도 창원의창구 동읍 단계리,292,0292,0000,동아바론하우스2,69.3431,80.32,201507,29,"        11,000",4,2011,자여로 127
경상남도 창원의창구 동읍 단계리,292,0292,0000,동아바론하우스2,69.3431,80.32,201509,17,"        14,500",2,2011,자여로 127
경상남도 창원의창구 동읍 단계리,292,0292,0000,동아바론하우스2,69.3431,80.32,201510,7,"        14,800",2,2011,자여로 127
경상남도 창원의창구 동읍 단계리,292,0292,0000,동아바론하우스2,69.3431,80.32,201606,14,"        13,400",1,2011,자여로 127
경상남도 창원의창구 동읍 송정리,150-6,0150,0006,수성빌라트,70.365,62.64,201604,29,"        15,000",2,2013,자여로98번길 6
경상남도 창원의창구 동읍 용잠리,654,0654,0000,동아바론하우스,82.2336,75.97,201507,28,"        20,000",2,2013,동읍로83번길 30-7
