□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,
,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,
계약일자 : 20180701 ~ 20190630,,,,,,,,,,,,
실거래 구분 : 연립다세대(매매),,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,
시군구 : 창원의창구,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,
,,,,,,,,,,,,
시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 도계동,351-7,0351,0007,중원빌라,82.5,40.9,201808,10,"        15,200",2,1996,도계로60번길 13-13
경상남도 창원의창구 도계동,324-2,0324,0002,즐거운집(원창),66.21,46.45,201808,30,"        11,000",4,1995,하남천서길15번길 7-1
경상남도 창원의창구 도계동,313-11,0313,0011,진양빌라,59.88,40.68,201809,11,"         6,500",1,1993,하남천서길21번길 19
경상남도 창원의창구 도계동,313-11,0313,0011,진양빌라,67.5,45.86,201810,19,"         8,000",1,1993,하남천서길21번길 19
경상남도 창원의창구 도계동,313-11,0313,0011,진양빌라,59.76,40.6,201810,26,"         8,000",2,1993,하남천서길21번길 19
경상남도 창원의창구 도계동,357-7,0357,0007,진한데파트,60.72,24.39,201809,17,"        13,500",4,1994,도계로 71
경상남도 창원의창구 도계동,302-1,0302,0001,한영빌라,71.11,32.89,201812,28,"        12,500",2,1996,도계두리길 16-20
경상남도 창원의창구 도계동,312-9,0312,0009,해맑은집(원창),73.02,49.88,201809,21,"        12,300",3,1996,하남천서길9번길 26-10
경상남도 창원의창구 도계동,344-2,0344,0002,형제시티빌라(344-2),49.88,27.83,201906,11,"         8,000",5,1998,도계로50번길 15-8
경상남도 창원의창구 도계동,407-8,0407,0008,황제빌라6차,84.15,32.43,201810,20,"        17,000",4,1997,원이대로81번길 14
경상남도 창원의창구 동읍 단계리,292-5,0292,0005,동아바론하우스1,69.3431,76.93,201809,12,"        11,200",4,2011,자여로 133-3
경상남도 창원의창구 동읍 단계리,292-5,0292,0005,동아바론하우스1,69.3431,76.93,201904,16,"        10,100",3,2011,자여로 133-3
경상남도 창원의창구 동읍 신방리,410-6,0410,0006,모암상가,69.2,32.47,201807,25,"         7,000",4,1997,동읍로213번길 1
경상남도 창원의창구 동읍 용잠리,209-3,0209,0003,용잠빌라,83.13,89.05,201808,14,"         6,200",1,1990,용잠로35번길 8
경상남도 창원의창구 동읍 용정리,19-2,0019,0002,자여서원래온빌,71.345,54,201808,29,"        10,000",1,2012,용정길46번길 11
경상남도 창원의창구 동읍 용정리,19-2,0019,0002,자여서원래온빌,71.345,54,201810,22,"        14,000",3,2012,용정길46번길 11
경상남도 창원의창구 동읍 용정리,19-2,0019,0002,자여서원래온빌,71.345,54,201812,12,"        10,300",1,2012,용정길46번길 11
경상남도 창원의창구 동읍 용정리,19-2,0019,0002,자여서원래온빌,71.345,54,201904,9,"         9,800",1,2012,용정길46번길 11
경상남도 창원의창구 동읍 용정리,19-2,0019,0002,자여서원래온빌,71.345,54,201906,12,"        10,500",2,2012,용정길46번길 11
경상남도 창원의창구 동읍 용정리,150-6,0150,0006,헬리체자여,72.4093,56.94,201807,18,"        21,500",2,2018,자여로112번길 21
경상남도 창원의창구 동읍 용정리,150-6,0150,0006,헬리체자여,72.4093,56.95,201812,31,"        17,900",3,2018,자여로112번길 21
경상남도 창원의창구 동읍 용정리,150-6,0150,0006,헬리체자여,76.1728,59.91,201901,15,"        18,800",3,2018,자여로112번길 21
경상남도 창원의창구 동읍 용정리,150-6,0150,0006,헬리체자여,72.4093,56.95,201901,15,"        17,900",3,2018,자여로112번길 21
경상남도 창원의창구 동읍 용정리,150-6,0150,0006,헬리체자여,76.1728,76.17,201901,25,"        21,500",4,2018,자여로112번길 21
경상남도 창원의창구 동읍 용정리,150-6,0150,0006,헬리체자여,76.1728,59.91,201904,18,"        21,700",3,2018,자여로112번길 21
경상남도 창원의창구 동정동,334-2,0334,0002,더푸름빌리지,69.8539,66.13,201903,8,"        22,100",4,2016,동정길 53-17
경상남도 창원의창구 동정동,334-2,0334,0002,더푸름빌리지,75.7477,71.08,201903,29,"        22,500",4,2016,동정길 53-17
경상남도 창원의창구 동정동,262-11,0262,0011,태원빌라,54.7,41.93,201902,15,"         6,800",1,2011,동정길 57-29
경상남도 창원의창구 북동,252,0252,0000,(252-0),63.81,58.39,201812,17,"         6,500",2,1987,의안로49번길 35-1
