□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,,
실거래 구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원의창구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 대원동,37-1,0037,0001,로템사원,47,201712,7,"        14,900",2,1991,대원로93번길 12
경상남도 창원의창구 대원동,37-1,0037,0001,로템사원,47,201712,9,"        14,000",3,1991,대원로93번길 12
경상남도 창원의창구 대원동,37-1,0037,0001,로템사원,47,201802,24,"        14,600",5,1991,대원로93번길 12
경상남도 창원의창구 대원동,37-1,0037,0001,로템사원,47,201804,4,"        14,700",4,1991,대원로93번길 12
경상남도 창원의창구 대원동,38,0038,0000,현대정공사원아파트,55.83,201709,6,"        20,000",5,1979,대원로93번길 24
경상남도 창원의창구 대원동,38,0038,0000,현대정공사원아파트,56.46,201709,22,"        20,500",1,1979,대원로93번길 22
경상남도 창원의창구 대원동,38,0038,0000,현대정공사원아파트,50.35,201711,7,"        10,000",4,1979,대원로93번길 24
경상남도 창원의창구 대원동,38,0038,0000,현대정공사원아파트,55.83,201711,22,"        18,000",4,1979,대원로93번길 24
경상남도 창원의창구 대원동,38,0038,0000,현대정공사원아파트,50.35,201803,20,"        12,500",4,1979,대원로93번길 24
경상남도 창원의창구 대원동,38,0038,0000,현대정공사원아파트,55.83,201803,21,"        16,000",2,1979,대원로93번길 24
경상남도 창원의창구 대원동,38,0038,0000,현대정공사원아파트,55.83,201805,23,"        15,000",5,1979,대원로93번길 24
경상남도 창원의창구 대원동,38,0038,0000,현대정공사원아파트,102.89,201805,25,"        32,500",5,1979,대원로93번길 24
경상남도 창원의창구 대원동,38,0038,0000,현대정공사원아파트,56.46,201806,1,"        15,000",5,1979,대원로93번길 22
경상남도 창원의창구 도계동,353-4,0353,0004,강남뉴프라자,59.96,201711,25,"        15,500",3,1995,도계로60번길 5-19
경상남도 창원의창구 도계동,353-4,0353,0004,강남뉴프라자,59.96,201805,20,"        12,000",3,1995,도계로60번길 5-19
경상남도 창원의창구 도계동,306-21,0306,0021,강남빌라,65.23,201709,1,"        15,000",7,1992,도계로31번길 11
