□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,,
실거래 구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원마산회원구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 구암동,5-1,0005,0001,산동,50.04,201804,20,"         9,000",2,1983,구암남12길 63
경상남도 창원마산회원구 구암동,96-10,0096,0010,삼우,37.49,201708,8,"         6,400",2,1979,구암남11길 26
경상남도 창원마산회원구 구암동,96-10,0096,0010,삼우,37.49,201708,21,"         5,500",2,1979,구암남11길 26
경상남도 창원마산회원구 구암동,96-10,0096,0010,삼우,37.49,201711,24,"         6,000",3,1979,구암남11길 26
경상남도 창원마산회원구 구암동,13-7,0013,0007,석보,43.06,201707,24,"        10,000",2,1983,구암서6길 36
경상남도 창원마산회원구 구암동,13-7,0013,0007,석보,43.06,201708,10,"         9,500",2,1983,구암서6길 36
경상남도 창원마산회원구 구암동,13-7,0013,0007,석보,43.06,201710,24,"        10,000",2,1983,구암서6길 36
경상남도 창원마산회원구 구암동,13-7,0013,0007,석보,43.06,201805,29,"         7,000",3,1983,구암서6길 36
경상남도 창원마산회원구 구암동,13-7,0013,0007,석보,43.06,201806,29,"         9,100",1,1983,구암서6길 36
경상남도 창원마산회원구 구암동,12-10,0012,0010,세화(12-10),47.27,201709,22,"         9,000",2,1980,구암서3길 68
경상남도 창원마산회원구 구암동,12-10,0012,0010,세화(12-10),49.45,201710,19,"         8,000",2,1980,구암서3길 68
경상남도 창원마산회원구 구암동,12-10,0012,0010,세화(12-10),49.45,201803,26,"         8,000",2,1980,구암서3길 68
경상남도 창원마산회원구 구암동,1212,1212,0000,신우,48.5302,201801,23,"        11,100",10,2001,구암남21길 3
경상남도 창원마산회원구 구암동,1212,1212,0000,신우,48.5302,201801,30,"        11,300",8,2001,구암남21길 3
경상남도 창원마산회원구 구암동,1212,1212,0000,신우,48.5302,201803,23,"        11,500",14,2001,구암남21길 3
경상남도 창원마산회원구 구암동,79-4,0079,0004,유신,67.77,201707,25,"        13,000",2,1979,3·15대로 888
경상남도 창원마산회원구 구암동,14,0014,0000,은하,48.96,201804,14,"         8,150",4,1980,구암서5길 5
경상남도 창원마산회원구 구암동,1345,1345,0000,크라운,55.32,201707,3,"        13,000",2,1984,구암북12길 49
경상남도 창원마산회원구 구암동,24-7,0024,0007,태화,49.26,201707,10,"         8,000",5,1982,구암남7길 34
경상남도 창원마산회원구 구암동,24-7,0024,0007,태화,49.26,201708,25,"         8,900",2,1982,구암남7길 34
경상남도 창원마산회원구 구암동,24-7,0024,0007,태화,49.26,201805,30,"         9,000",3,1982,구암남7길 34
경상남도 창원마산회원구 구암동,8-11,0008,0011,한성,65.91,201708,7,"        12,000",1,1984,구암서3길 92
경상남도 창원마산회원구 구암동,8-11,0008,0011,한성,65.91,201712,4,"        10,200",1,1984,구암서3길 92
경상남도 창원마산회원구 구암동,1344,1344,0000,한성(1344),54.99,201707,19,"        12,000",5,1984,구암북11길 60
