address,lat,lon
여좌로118번나길,35.162350227,128.664819924
용재로67번길,35.102032288,128.817286294
충장로467번길,35.147556539,128.700802941
충장로671번길,35.130105439,128.705335724
진해대로1167번길,35.126029140,128.713448164
태평로37번안길,35.146510616,128.663854597
인사로30번길,35.150022464,128.669915466
청안로233번길,35.100711037,128.800640952
청안로163번길,35.103871357,128.794981549
대야남로63번길,35.154788551,128.671194810
대야로66번길,35.157485840,128.670242316
태평로91번길,35.145500506,128.669218615
구암남18길,35.249518908,128.602092131
구암동5길,35.253202452,128.600972866
구암남23길,35.251686969,128.602332392
구암북20길,35.258649923,128.595872838
삼계9길,35.232830984,128.499878943
원계증산길,35.231338586,128.510175484
죽암동길,35.257221843,128.509831165
중리본동길,35.251977721,128.511287487
죽암서길,35.254631477,128.509776620
평성1길,35.259620778,128.538187253
호계본동4길,35.266581730,128.518470525
두척1길,35.237717050,128.542959595
석전남15길,35.226076265,128.571125126
석전남14길,35.226199587,128.571070342
석전남12길,35.227876627,128.573449927
석전남7길,35.227641285,128.573515847
석전남2길,35.228275197,128.573144528
석전북21길,35.231090411,128.568502506
석전남16길,35.228871608,128.568843422
석전서5길,35.228101951,128.568319431
석전서4길,35.227220195,128.569096659
석전북14길,35.233186251,128.569284065
양덕동15길,35.234129556,128.588644843
양덕동16길,35.235254819,128.589869198
양덕동8길,35.230221501,128.583162804
양덕동5길,35.231501814,128.583162066
합성남18길,35.235248513,128.590431676
합성남19길,35.235544117,128.590685446
합포성지길,35.243400657,128.583269896
합성동8길,35.242499038,128.587411276
합성남17길,35.235556224,128.590082606
합성서12길,35.239553563,128.580501456
회성동2길,35.233823379,128.563350440
회성북6길,35.235493524,128.558694149
회원북10길,35.220791673,128.565900966
회원북6길,35.221843973,128.570601552
회원북15길,35.220493092,128.566717944
회원북4길,35.220802819,128.566016612
회원남3길,35.218148044,128.566242332
노산서26길,35.212254336,128.571446874
회원북19길,35.219469197,128.565975262
회원남11길,35.217003226,128.569936144
회원북2길,35.220146788,128.570175272
회원북16길,35.220485567,128.566981441
회원남6길,35.215451779,128.567723253
회원동33길,35.222206015,128.573882142
회원북5길,35.221604863,128.570592510
삼귀로486번길,35.155823574,128.610766044
양곡길106번길,35.200304676,128.627066280
가술길34번길,35.337172634,128.707031745
진산대로443번길,35.339644276,128.707829827
주남로503번길,35.329832446,128.704268118
가술길23번길,35.336097155,128.706960576
가술산남로130번길,35.327783358,128.687113584
봉강가술로471번길,35.337169749,128.698044931
봉강가술로411번길,35.341981494,128.695156412
봉강가술로358번길,35.344819632,128.690616262
모산길30번길,35.353513869,128.712378174
모산길57번길,35.356401539,128.711982509
진산대로528번길,35.347099678,128.711411895
대산북로893번길,35.347186620,128.723427783
대산북로895번길,35.347002549,128.723568674
우암로99번길,35.329873764,128.732985128
북부로10번길,35.339075229,128.726138830
우암로79번길,35.330993664,128.732044892
제동길43번길,35.333971708,128.713075469
주남로416번길,35.322715972,128.701378924
진산대로287번길,35.326417509,128.713491937
주남로394번길,35.320737505,128.698901220
주남로434번길,35.323422668,128.701508293
대원로52번길,36.642544285,127.478711251
대원로56번길,36.642644505,127.478793449
동읍로670번길,35.323602187,128.665113257
동읍로661번길,35.322642703,128.662201040
노연로69번길,35.360507296,128.660588539
주남로64번길,35.300358033,128.674470363
무성길47번길,35.289348678,128.699385681
무점길88번길,35.292127362,128.694918779
동읍로1187번길,35.355560856,128.653864454
동읍로1057번길,35.344219979,128.659548464
동읍로1079번길,35.345498673,128.657299919
죽동길25번길,35.332132668,128.674139441
석산길51번길,35.317402630,128.659426558
석산길61번길,35.318258876,128.660354510
동읍로213번길,35.293553702,128.675213193
동읍로224번길,35.295444370,128.675846828
의창대로894번길,35.278677810,128.688495595
주남로235번길,35.310396594,128.691984698
주남로61번길,35.303430779,128.674055295
주남로128번길,35.305065576,128.682305107
주남로17번길,35.301649692,128.670135824
죽동길53번길,35.331151451,128.675990532
동읍로457번길,35.306687523,128.654534970
화양길76번길,35.295657705,128.644068993
동읍로503번길,35.311064597,128.656520905
동읍로401번길,35.302381933,128.659337296
서상로35번길,35.263728660,128.616519654
동정길35번길,35.264954222,128.613576300
천주로157번길,35.275283925,128.615303580
내감1길,35.300292129,128.592021967
단내로591번길,35.344093710,128.582067749
무릉산길223번길,35.340632896,128.577202429
구룡로312번길,35.306251548,128.636936103
대산길156번길,35.314097719,128.622798541
천주로862번길,35.330425566,128.600991960
운무로681번길,35.325932357,128.578245958
온천로612번길,35.357675157,128.586508694
온천로643번길,35.361158211,128.589179641
온천로580번길,35.358450902,128.584316823
천주로1269번길,35.359868629,128.617988337
외감로35번길,35.290619138,128.599306967
외감로97번길,35.294726391,128.593951440
외산로341번길,35.384643562,128.597581574
월계길9번길,35.352461659,128.634918242
백월로87번월촌길,35.320139190,128.616948484
천주로192번길,35.278237169,128.615840452
하천로86번길,35.365743881,128.602782001
하천로63번길,35.365853679,128.599649089
의창대로254번길,35.259853369,128.625585729
소계로90번길,35.257273215,128.599115476
동산로175번길,35.223300890,128.694111352
의창대로266번길,35.260757682,128.627286951
팔용로400번길,35.252510822,128.611363325
충장로297번길,35.153723834,128.684427057
진해대로583번길,35.157576561,128.679286423
웅천중로51번길,35.110362569,128.749585647
웅천중로33번길,35.109318480,128.749182813
웅천로335번길,35.115702902,128.766379161
웅동로111번길,35.123265305,128.788923610
명동로41번길,35.096609342,128.718017895
웅천로177번길,35.113820173,128.749448070
소사천로26번길,35.127442770,128.776171649
대야남로35번길,35.153630230,128.668825862
여좌천로120번길,35.163483761,128.661577944
냉천로30번길,35.150212844,128.701533605
인사로38번길,35.149087089,128.670290612
인사로28번길,35.150090110,128.669654598
충장로176번길,35.151474031,128.670376888
속천로23번길,35.143872760,128.671074833
노산남10길,35.212253664,128.571062303
아랫석곡길,35.114823388,128.563015625
