address,lat_x,lon_x,lat_y,lon_y
외동반림로134번길,35.2291443,128.6749203,,
외동반림로20번길,35.2241406,128.6747361,,
외동반림로130번길,35.2287334,128.6748967,,
외동반림로130번길,35.2287334,128.6748967,,
외동반림로38번길,35.222418,128.6735292,,
외동반림로138번길,35.2296372,128.6748511,,
외동반림로80번길,35.2256804,128.676648,,
외동반림로20번길,35.2241406,128.6747361,,
원이대로538번길,35.2293255,128.673574,,
외동반림로80번길,35.2256804,128.676648,,
외동반림로80번길,35.2256804,128.676648,,
용지로113번길,35.227035,128.6776956,,
외동반림로38번길,35.222418,128.6735292,,
외동반림로54번길,35.2237284,128.6743788,,
용지로111번길,35.2261336,128.6778193,,
외동반림로6번길,35.2233509,128.6759263,,
외동반림로46번길,35.2230861,128.6739189,,
외동반림로46번길,35.2230861,128.6739189,,
원이대로538번길,35.2293255,128.673574,,
외동반림로138번길,35.2296372,128.6748511,,
외동반림로138번길,35.2296372,128.6748511,,
용지로21번길,35.219834,128.6719826,,
외동반림로80번길,35.2256804,128.676648,,
외동반림로54번길,35.2237284,128.6743788,,
외동반림로54번길,35.2237284,128.6743788,,
외동반림로6번길,35.2233509,128.6759263,,
외동반림로74번길,35.2252043,128.6752562,,
외동반림로20번길,35.2241406,128.6747361,,
외동반림로74번길,35.2252043,128.6752562,,
외동반림로74번길,35.2252043,128.6752562,,
외동반림로74번길,35.2252043,128.6752562,,
외동반림로80번길,35.2256804,128.676648,,
외동반림로74번길,35.2252043,128.6752562,,
가주로,35.1131422,128.8357812,,
가주로,35.1131422,128.8357812,,
중초로,35.1552953,128.6812482,,
충장로363번길,35.1559918,128.6916402,,
조천북로146번길,35.1608747,128.6879063,,
경화로26번길,35.1558642,128.6883349,,
진해대로650번길,35.1581089,128.6873962,,
경화시장로,35.1556347,128.6907285,,
경화로37번길,35.1566152,128.6827993,,
충장로329번길,35.1555204,128.6879435,,
경화로37번길,35.1566152,128.6827993,,
충장로273번길,35.1562682,128.68243,,
조천북로,35.1609914,128.6820289,,
충장로235번길,35.1547204,128.6782866,,
진해대로,35.1019154,128.8197634,,
진해대로,35.1019154,128.8197634,,
경화로37번길,35.1566152,128.6827993,,
태백로,35.1540806,128.6768719,,
태백로,35.1540806,128.6768719,,
태백로,35.1540806,128.6768719,,
경화로18번길,35.15516,128.6884951,,
중초로15번길,35.1544438,128.6792706,,
경화로,35.1560951,128.6861649,,
충장로337번길,35.1555547,128.6887849,,
중초로,35.1552953,128.6812482,,
충장로289번길,35.1553318,128.6835982,,
진해대로636번길,35.1576475,128.6852302,,
경화로29번길,35.156006,128.6839731,,
충장로,35.1486464,126.9160594,,
진해대로597번길,0.0,0.0,35.158493401,128.681922556
경화로21번길,35.1552858,128.6837343,,
경화로15번길,35.1546676,128.6840618,,
조천로,35.1595697,128.6845795,,
충장로235번길,35.1547204,128.6782866,,
충장로289번길,35.1553318,128.6835982,,
진해대로650번길,35.1581089,128.6873962,,
충장로235번길,35.1547204,128.6782866,,
병암로29번길,35.1563208,128.6922002,,
경화로21번길,35.1552858,128.6837343,,
충장로285번길,35.1556278,128.6826545,,
태백로,35.1540806,128.6768719,,
진해대로614번길,35.1573527,128.6830369,,
진해대로650번길,35.1581089,128.6873962,,
조천로17번길,0.0,0.0,35.160236011,128.684409375
진해대로694번길,35.158292,128.6914404,,
조천북로85번길,35.1615273,128.6802698,,
중원로44번길,35.1479732,128.6602155,,
웅천동로49번길,0.0,0.0,35.100290284,128.753127387
웅천중로45번길,35.1098913,128.7484743,,
웅천중로50번길,0.0,0.0,35.110086415,128.750594038
웅천서로,35.1115048,128.7470512,,
웅천중로50번길,0.0,0.0,35.110086415,128.750594038
남영로491번길,0.0,0.0,35.114906469,128.780736018
남영로491번길,0.0,0.0,35.114906469,128.780736018
대장로163번길,0.0,0.0,35.138817807,128.778240667
마천로,37.5073421,127.1289918,,
태평로48번길,37.4479621,127.1323788,,
태평로92번안길,0.0,0.0,35.143613705,128.668621656
속천로52번안길,0.0,0.0,35.14155653,128.668933014
중원동로,35.1492846,128.6614749,,
충장로505번길,35.1444808,128.7024666,,
충장로481번길,35.146856,128.7023474,,
웅동로,35.1240861,128.7854646,,
마천로103번길,0.0,0.0,35.133918892,128.783965213
마천로103번길,0.0,0.0,35.133918892,128.783965213
우도로5번길,0.0,0.0,35.088397952,128.722139154
명동로5번길,0.0,0.0,35.097602596,128.718203044
우도로5번길,0.0,0.0,35.088397952,128.722139154
명제로370번길,0.0,0.0,35.094834296,128.73127247
태평로66번길,35.1449014,128.6664064,,
웅천북로,34.7523889,127.6751072,,
웅천북로39번길,0.0,0.0,35.117356614,128.74753537
웅천북로39번길,0.0,0.0,35.117356614,128.74753537
웅천북로191번길,0.0,0.0,35.122305582,128.735063937
웅천로166번길,35.1125593,128.7481901,,
웅천로166번길,35.1125593,128.7481901,,
진해대로802번길,35.1563575,128.7008403,,
돌리로6번길,35.1580502,128.7015551,,
동진로76번길,35.1501437,128.702059,,
석동로73번길,35.1572967,128.7049186,,
돌리로16번길,35.1588345,128.7022237,,
돌리로9번길,35.1594992,128.6992551,,
냉천로,35.9455423,129.4006516,,
냉천로36번길,0.0,0.0,35.15009481,128.70225568
석동로39번길,35.1566397,128.7017059,,
석동로30번길,35.1531382,128.7030208,,
동진로35번길,35.1533124,128.7020504,,
동진로35번길,35.1533124,128.7020504,,
동진로49번길,35.1811601,128.09615,,
석동로75번길,35.1580017,128.7050175,,
진해대로874번길,35.1512041,128.7053861,,
진해대로823번길,35.157328,128.7055925,,
동진로76번길,35.1501437,128.702059,,
돌리로22번길,35.159635,128.7018913,,
웅천중로66번길,35.111874,128.750474,,
소사천로,0.0,0.0,35.126372507,128.7781398
태평로,35.8727571,128.6079221,,
중원로79번길,35.1514407,128.6587144,,
속천로,35.1397782,128.6718388,,
안청남로6번길,35.1004018,128.8041626,,
안골로220번나길,0.0,0.0,35.092109677,128.796358115
안청로42번길,35.1007564,128.8051649,,
안골로220번가길,0.0,0.0,35.09195144,128.798227714
안청로42번길,35.1007564,128.8051649,,
안청남로6번길,35.1004018,128.8041626,,
안청로42번길,35.1007564,128.8051649,,
안골로277번길,35.0989039,128.8037995,,
안청남로6번길,35.1004018,128.8041626,,
안골로220번가길,0.0,0.0,35.09195144,128.798227714
안청로,37.0283086,126.9117694,,
안청남로22번길,35.10033,128.8057921,,
안청로,37.0283086,126.9117694,,
안청남로,35.1011823,128.805786,,
안골로298번길,35.0970778,128.8047511,,
안골로220번길,35.092502,128.7979882,,
여좌남로,35.1550318,128.6604765,,
여좌로56번길,35.1573221,128.6639422,,
여좌로,35.161222,128.6628826,,
여좌로70번길,0.0,0.0,35.157406585,128.663339564
대야로24번길,35.1546703,128.6699787,,
여좌로99번가길,35.1613742,128.6623401,,
여좌로11번길,0.0,0.0,35.15334321,128.664615213
여좌로118번다길,0.0,0.0,35.162786991,128.66393976
여명로,35.1570768,128.6595598,,
여좌로99번가길,35.1613742,128.6623401,,
여좌로,35.161222,128.6628826,,
여좌로118번가길,35.1620664,128.6645802,,
충장로,35.1481253,126.9164832,,
여좌남로41번길,35.1569129,128.6607369,,
여좌남로55번안길,35.1568474,128.6614603,,
여좌로58번길,35.157007,128.6630174,,
여좌로83번길,35.1588569,128.6610156,,
여좌남로10번길,35.1549031,128.6568554,,
여좌로123번길,35.1618422,128.6619697,,
대야로,37.4447607,126.7892332,,
여좌로114번길,35.1613999,128.6643796,,
여좌로47번길,35.1559418,128.6613493,,
여명로25번나길,35.1575429,128.657313,,
여명로,35.1570768,128.6595598,,
여명로,35.1570768,128.6595598,,
여명로,35.1570768,128.6595598,,
충장로,35.1481253,126.9164832,,
여좌천로,35.1530168,128.6591961,,
여좌로118번길,35.1628244,128.6642553,,
여좌남로42번길,35.1545882,128.6604083,,
여좌남로16번길,35.154824,128.6575935,,
여좌남로41번길,35.1569129,128.6607369,,
여좌로15번길,35.1543796,128.6625539,,
여좌남로41번길,35.1569129,128.6607369,,
여좌로99번길,35.1603465,128.6617733,,
대야로,37.4447607,126.7892332,,
여명로,35.1570768,128.6595598,,
여명로,35.1570768,128.6595598,,
여좌남로55번길,35.1558715,128.6621206,,
여명로25번나길,35.1575429,128.657313,,
대야남로,35.1542778,128.6711589,,
여좌로99번나길,35.1617058,128.6619477,,
여좌로15번길,35.1543796,128.6625539,,
여좌로89번길,35.1594462,128.6618404,,
충장로63번길,35.1533783,128.6590645,,
용원중로5번길,35.0989509,128.8156113,,
용원남로56번길,35.0981396,128.8145429,,
용재로3번길,35.1032312,128.8106091,,
용재로29번길,35.1026892,128.8133016,,
용원남로27번길,0.0,0.0,35.096835475,128.817380153
용원북로11번길,35.1044072,128.8125972,,
용원북로12번길,35.1032317,128.8186346,,
용원남로17번안길,0.0,0.0,35.094547305,128.817872235
용원남로17번안길,0.0,0.0,35.094547305,128.817872235
용원남로17번길,35.0942198,128.8181261,,
용원남로17번길,35.0942198,128.8181261,,
용원동로221번길,35.0915499,128.8150369,,
용원남로17번길,35.0942198,128.8181261,,
용원남로17번안길,0.0,0.0,35.094547305,128.817872235
용원남로17번길,35.0942198,128.8181261,,
용원동로,35.0946938,128.8035272,,
용원남로17번안길,0.0,0.0,35.094547305,128.817872235
용원동로221번길,35.0915499,128.8150369,,
용원동로221번길,35.0915499,128.8150369,,
용원남로17번안길,0.0,0.0,35.094547305,128.817872235
용원남로17번안길,0.0,0.0,35.094547305,128.817872235
용원남로7번길,35.0950368,128.8189033,,
용원남로17번안길,0.0,0.0,35.094547305,128.817872235
용원동로221번길,35.0915499,128.8150369,,
용원동로221번길,35.0915499,128.8150369,,
용원동로221번길,35.0915499,128.8150369,,
용원남로17번길,35.0942198,128.8181261,,
용원남로17번길,35.0942198,128.8181261,,
용원남로17번안길,0.0,0.0,35.094547305,128.817872235
용원동로221번길,35.0915499,128.8150369,,
용원남로17번안길,0.0,0.0,35.094547305,128.817872235
용원동로221번길,35.0915499,128.8150369,,
용원남로17번길,35.0942198,128.8181261,,
용원남로17번안길,0.0,0.0,35.094547305,128.817872235
용원남로17번길,35.0942198,128.8181261,,
용원남로17번안길,0.0,0.0,35.094547305,128.817872235
용원남로17번길,35.0942198,128.8181261,,
용원동로221번길,35.0915499,128.8150369,,
용원동로221번길,35.0915499,128.8150369,,
용원남로17번길,35.0942198,128.8181261,,
용원동로221번길,35.0915499,128.8150369,,
용원남로17번안길,0.0,0.0,35.094547305,128.817872235
용원남로17번안길,0.0,0.0,35.094547305,128.817872235
용원동로221번길,35.0915499,128.8150369,,
용원남로17번길,35.0942198,128.8181261,,
용원동로221번길,35.0915499,128.8150369,,
용원동로221번길,35.0915499,128.8150369,,
용원동로221번길,35.0915499,128.8150369,,
용원동로221번길,35.0915499,128.8150369,,
용원남로17번길,35.0942198,128.8181261,,
용원로89번길,35.0993201,128.819123,,
용원중로37번길,35.1008414,128.8157508,,
용원남로17번안길,0.0,0.0,35.094547305,128.817872235
용원동로221번길,35.0915499,128.8150369,,
용원남로17번안길,0.0,0.0,35.094547305,128.817872235
용원북로11번가길,35.1039608,128.8114392,,
용원중로26번길,35.0991666,128.8180569,,
용원로78번안길,35.0979463,128.8187045,,
용원동로,35.0946938,128.8035272,,
용원북로11번가길,35.1039608,128.8114392,,
용원북로12번길,35.1032317,128.8186346,,
용원동로221번길,35.0915499,128.8150369,,
용원로101번길,35.0992933,128.8206409,,
용원동로221번길,35.0915499,128.8150369,,
용재로,35.1011361,128.8163885,,
용원북로12번안길,35.1028794,128.8175948,,
용원남로17번길,35.0942198,128.8181261,,
용원남로17번안길,0.0,0.0,35.094547305,128.817872235
용재로59번길,35.101611,128.8165099,,
용원로102번길,35.0974659,128.8198853,,
용원동로221번길,35.0915499,128.8150369,,
용원남로17번안길,0.0,0.0,35.094547305,128.817872235
용원남로17번길,35.0942198,128.8181261,,
용원로102번길,35.0974659,128.8198853,,
충장로442번길,35.1492971,128.6948196,,
해원로14번길,35.1536929,128.6971443,,
충장로405번길,35.1529604,128.6960879,,
이동로58번길,35.1505316,128.698787,,
충장로405번길,35.1529604,128.6960879,,
충장로415번길,35.152147,128.6976008,,
병암로29번길,35.156311,128.6917077,,
충장로407번길,35.1519167,128.6963938,,
이동로,36.0317031,129.3360108,,
이동로,36.0317031,129.3360108,,
충장로419번길,35.1518524,128.6980101,,
병암로29번길,35.156311,128.6917077,,
병암로29번길,35.156311,128.6917077,,
병암로29번길,35.156311,128.6917077,,
충장로364번나길,35.1522472,128.6908694,,
충장로468번길,35.1478633,128.6948525,,
충장로,35.1481253,126.9164832,,
충장로446번길,35.1489066,128.6948278,,
충장로426번길,35.1500073,128.6923302,,
이동로38번길,35.1492971,128.6959286,,
충장로446번길,35.1489066,128.6948278,,
충장로465번길,35.1477217,128.7003473,,
충장로426번길,35.1500073,128.6923302,,
충장로407번길,35.1519167,128.6963938,,
충장로468번길,35.1478633,128.6948525,,
이동로40번길,35.1489273,128.6978432,,
충장로442번길,35.1492971,128.6948196,,
충장로412번길,35.1513698,128.6933966,,
이동로69번길,35.1523626,128.6990075,,
충장로412번길,35.1513698,128.6933966,,
이동로38번길,35.1492971,128.6959286,,
충장로446번길,35.1489066,128.6948278,,
이동로40번길,35.1489273,128.6978432,,
충장로468번길,35.1478633,128.6948525,,
이동로40번길,35.1489273,128.6978432,,
충장로446번길,35.1489066,128.6948278,,
충장로426번길,35.1500073,128.6923302,,
이동로40번길,35.1489273,128.6978432,,
충장로130번길,35.1501125,128.6657199,,
인사로6번길,35.1498183,128.6682074,,
벚꽃로60번길,35.1507377,128.6659954,,
제황로,35.1489458,128.6684171,,
덕산로51번길,35.1472656,128.7052741,,
동진로,35.4862,129.42896,,
동진로,35.4862,129.42896,,
동진로,35.4862,129.42896,,
자은로6번길,35.1485253,128.7046974,,
냉천로129번길,35.1563531,128.7093314,,
냉천로129번길,35.1563531,128.7093314,,
자은로28번길,35.1494468,128.7053759,,
진해대로902번길,35.1491429,128.7062065,,
진해대로901번길,35.1492412,128.7088826,,
진해대로914번길,35.1479409,128.704737,,
냉천로129번길,35.1563531,128.7093314,,
자은로,35.1508829,128.7083853,,
제덕로,35.1048628,128.7408578,,
제덕로179번길,35.0996708,128.7452781,,
속천로,35.1444556,128.6727212,,
벚꽃로50번안길,0.0,0.0,35.150522273,128.662856886
벚꽃로50번안길,0.0,0.0,35.150522273,128.662856886
벚꽃로50번안길,0.0,0.0,35.150522273,128.662856886
충장로168번길,35.1513532,128.6705891,,
인사로22번길,0.0,0.0,35.149567565,128.668664539
인사로17번길,35.1504726,128.6685536,,
제황로,35.1489458,128.6684171,,
백구로6번길,0.0,0.0,35.147062309,128.662968336
백구로6번길,0.0,0.0,35.147062309,128.662968336
벚꽃로50번길,35.1495451,128.6653224,,
중원로38번길,35.1473925,128.6602434,,
편백로20번길,35.1484278,128.6579729,,
청안로150번길,0.0,0.0,35.103336501,128.792249696
태평로34번길,37.735577,127.0509183,,
중원동로10번길,35.1450623,128.664379,,
태백서로,35.1571948,128.674527,,
여좌천로166번길,35.1671107,128.6584377,,
대야남로67번길,35.155951,128.6715344,,
대야남로67번길,35.155951,128.6715344,,
여좌천로,35.1530168,128.6591961,,
태백서로47번길,0.0,0.0,35.156802747,128.674163229
백구로,35.147749,128.661203,,
중원로,35.9755856,129.4008707,,
중원로,35.9755856,129.4008707,,
덕산로36번길,35.1431273,128.7038932,,
천자로373번길,35.136742,128.7062898,,
진해대로1041번길,35.1366673,128.7099351,,
천자로373번길,35.136742,128.7062898,,
행암로217번길,0.0,0.0,35.115791566,128.702423011
여명로25번라길,35.157905,128.6568172,,
중원로85번길,35.1520118,128.6589548,,
충장로82번길,35.151242,128.6607869,,
가포해안길,35.1691514,128.5713217,,
가포해안길,35.1691514,128.5713217,,
교방서6길,0.0,0.0,35.212092312,128.564269106
교방서5길,35.2123577,128.5635038,,
교방동1길,35.2128988,128.5652773,,
교방동2길,35.2125326,128.5655682,,
교방북2길,35.215702,128.563953,,
교방동18길,35.2115055,128.567647,,
교방동15길,0.0,0.0,35.2102809,128.566307838
교방동18길,35.2115055,128.567647,,
교방천남길,35.2103932,128.5735772,,
노산서23길,0.0,0.0,35.212957188,128.572810384
천하장사로,35.2107887,128.5649643,,
교방동10길,0.0,0.0,35.210016163,128.564022076
교방천남길,35.2103932,128.5735772,,
교방동16길,0.0,0.0,35.210089981,128.564560411
교방북2길,35.215702,128.563953,,
교방동14길,0.0,0.0,35.210050864,128.564454472
노산서23길,0.0,0.0,35.212957188,128.572810384
성호북4길,0.0,0.0,,
천하장사로,35.2107887,128.5649643,,
교방동17길,0.0,0.0,35.210496431,128.566410322
천하장사로,35.2107887,128.5649643,,
교방동19길,0.0,0.0,35.209900148,128.566612473
노산서9길,35.2133715,128.5688728,,
천하장사로,35.2107887,128.5649643,,
교방동19길,0.0,0.0,35.209900148,128.566612473
교방천남길,35.2103932,128.5735772,,
교방동11길,0.0,0.0,35.210229849,128.564331784
천하장사로,35.2107887,128.5649643,,
교방동19길,0.0,0.0,35.209900148,128.566612473
교방서5길,35.2123577,128.5635038,,
노산서18길,35.2150095,128.565874,,
교방동15길,0.0,0.0,35.2102809,128.566307838
교방동9길,35.2141581,128.5676679,,
교방서3길,35.2136977,128.5641378,,
교방동5길,35.214151,128.5661981,,
교방남1길,35.210288,128.5651991,,
교방서7길,35.2111184,128.5648704,,
교방서7길,35.2111184,128.5648704,,
교방동20길,0.0,0.0,35.210135407,128.564866444
교방동20길,0.0,0.0,35.210135407,128.564866444
교방동16길,0.0,0.0,35.210089981,128.564560411
교방동4길,35.2129401,128.5667288,,
교방동1길,35.2128988,128.5652773,,
교방동16길,0.0,0.0,35.210089981,128.564560411
교방시장3길,35.2177437,128.5629591,,
교방서2길,35.2140212,128.5647217,,
교방서5길,35.2123577,128.5635038,,
교방서2길,35.2140212,128.5647217,,
노산서19길,0.0,0.0,35.215708655,128.569477178
교방천북길,35.2116539,128.5647377,,
노산서23길,0.0,0.0,35.212957188,128.572810384
회원천남길,35.2120255,128.5783851,,
노산남8길,0.0,0.0,35.213943913,128.570664851
회원천남길,35.2120255,128.5783851,,
노산서23길,0.0,0.0,35.212957188,128.572810384
회원천남길,35.2120255,128.5783851,,
노산서25길,0.0,0.0,35.212261928,128.57124356
노산남11길,0.0,0.0,35.211227242,128.57173481
노산서20길,0.0,0.0,35.215524125,128.568136107
회원천남길,35.2120255,128.5783851,,
장구길,0.0,0.0,35.080573369,128.565828103
장구길,0.0,0.0,35.080573369,128.565828103
해양관광로,35.0696386,128.562542,,
난포해안길,35.0814998,128.6108206,,
난포2길,0.0,0.0,35.081189972,128.604619171
난포2길,0.0,0.0,35.081189972,128.604619171
난포1길,0.0,0.0,35.081612105,128.603036203
욱곡2길,0.0,0.0,35.096763102,128.55772996
해양관광로,35.0696386,128.562542,,
욱곡1길,0.0,0.0,35.095984124,128.556995352
욱곡1길,0.0,0.0,35.095984124,128.556995352
해양관광로,35.0696386,128.562542,,
해양관광로,35.0696386,128.562542,,
해양관광로,35.0696386,128.562542,,
마전길,34.8347903,127.609366,,
마전1길,35.8218186,127.103826,,
양평길,35.0845769,128.5851155,,
수정1길,34.7451734,127.7470507,,
구산로,37.4827543,126.7512879,,
구산로,37.4827543,126.7512879,,
구산로,37.4827543,126.7512879,,
수정1길,34.7451734,127.7470507,,
안녕로,35.1126118,128.600014,,
이순신로,35.0882483,128.6016469,,
심리3길,0.0,0.0,35.068983423,128.607242981
합포로,35.2220491,128.5872147,,
월영북로,35.1832534,128.5561421,,
월영북13길,0.0,0.0,35.182535566,128.556695649
중앙남9길,35.1936124,128.5636584,,
중앙서1길,35.1942395,128.5631749,,
중앙서1길,35.1942395,128.5631749,,
문화남6길,35.1851595,128.5583319,,
문화남6길,35.1851595,128.5583319,,
문화남6길,35.1851595,128.5583319,,
문화남2길,35.1847431,128.5596802,,
문화남6길,35.1851595,128.5583319,,
문화서1길,35.1861418,128.5523358,,
문화서1길,35.1861418,128.5523358,,
현동로,35.1517915,128.5535727,,
동서북17길,35.2060046,128.5775405,,
문화북1길,35.1872646,128.5609218,,
문화북1길,35.1872646,128.5609218,,
문화북1길,35.1872646,128.5609218,,
문화북2길,35.1870793,128.5591322,,
문화남2길,35.1847431,128.5596802,,
문화서12길,0.0,0.0,35.187902845,128.555928048
문화북4길,35.1877633,128.5594695,,
고운로,35.1830468,126.902958,,
고운로,35.1830468,126.902958,,
반월북3길,35.190056,128.5600392,,
반월북7길,0.0,0.0,35.190755091,128.559415064
반월남7길,0.0,0.0,35.190243731,128.559197129
허당로,35.2111825,128.5771733,,
산호남11길,0.0,0.0,35.214805968,128.586069931
산호동6길,35.2151248,128.5875564,,
산호남6길,35.2165522,128.5796418,,
산호남2길,35.2171044,128.5803393,,
산호북4길,35.2185203,128.5855915,,
산호서4길,35.2180698,128.5781329,,
합포북21길,0.0,0.0,35.214679278,128.577075584
해안대로,35.2050619,128.5822367,,
회원천북길,35.2161093,128.5694364,,
산호남3길,35.2156994,128.5815321,,
합포로,35.2220491,128.5872147,,
산호동6길,35.2151248,128.5875564,,
합포북9길,0.0,0.0,35.211824996,128.579127072
합포남5길,35.2099884,128.5810354,,
회원천북길,35.2161093,128.5694364,,
합포로,35.2220491,128.5872147,,
합포북18길,35.213643,128.5779275,,
회원천북길,35.2161093,128.5694364,,
산호서6길,35.2181649,128.5769307,,
합포남5길,35.2099884,128.5810354,,
