□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20150101 ~ 20150630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원마산합포구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산합포구 구산면 심리,4*,단독,8m미만,82,400,201505,7,"        12,000",1995,원전2길
경상남도 창원마산합포구 구산면 옥계리,8**,단독,8m미만,46.27,221,201506,12,"         8,000",1989,구산신촌3길
경상남도 창원마산합포구 구산면 옥계리,8**,단독,8m미만,56.19,304,201505,16,"        10,000",1942,구산신촌3길
경상남도 창원마산합포구 구산면 옥계리,4**,단독,8m미만,33.72,668,201506,15,"        13,711",2010,안녕로
경상남도 창원마산합포구 구산면 옥계리,4**,단독,8m미만,33.72,680,201506,15,"        14,397",2010,안녕로
경상남도 창원마산합포구 구산면 옥계리,4**,단독,8m미만,33.72,800,201506,15,"        17,012",2010,안녕로
경상남도 창원마산합포구 구산면 옥계리,9**,단독,8m미만,67.47,940,201506,15,"        24,500",2006,구산로
경상남도 창원마산합포구 남성동,1**,다가구,12m미만,609.55,310.9,201504,24,"       123,000",2014,동서북9길
경상남도 창원마산합포구 남성동,2**,단독,12m미만,182.22,182.22,201505,7,"        17,800",1995,어시장7길
경상남도 창원마산합포구 대내동,*,단독,25m미만,26.05,49.3,201503,28,"        26,500",1942,월영북로
경상남도 창원마산합포구 대성동1가,*,단독,8m미만,103.58,116.2,201503,14,"        15,000",1984,반월북5길
경상남도 창원마산합포구 대성동1가,*,단독,8m미만,46.24,119,201504,30,"         8,000",1970,반월북8길
