□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원성산구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원성산구 사파동,1**,단독,12m미만,199.06,254.4,201803,17,"        37,500",1989,동산로192번길
경상남도 창원성산구 사파동,6*,단독,12m미만,195.19,255,201806,22,"        45,000",1996,창이대로707번길
경상남도 창원성산구 사파동,1**,단독,12m미만,84.78,257.1,201805,24,"        38,000",1996,창이대로648번길
경상남도 창원성산구 사파동,4*,단독,12m미만,252,257.9,201710,23,"        73,816",2017,비음로24번길
경상남도 창원성산구 사파동,3*,단독,12m미만,250.8,260.2,201710,26,"        73,000",2016,비음로27번길
경상남도 창원성산구 사파동,3*,단독,12m미만,257.74,260.2,201804,27,"        76,005",2017,비음로27번길
경상남도 창원성산구 상남동,8*,단독,12m미만,229.02,249.4,201806,4,"        53,500",1999,단정로58번길
경상남도 창원성산구 상남동,6*,단독,25m미만,52,290.1,201708,14,"        53,500",2009,토월로
경상남도 창원성산구 성주동,1**,단독,12m미만,411.33,279.2,201709,15,"        82,500",2013,삼정자로51번길
경상남도 창원성산구 안민동,6*,단독,8m미만,32.5,114,201710,23,"        14,000",1985,안민안길30번길
경상남도 창원성산구 안민동,9*,단독,8m미만,81.83,137,201806,23,"        14,500",2010,안민안길11번길
경상남도 창원성산구 안민동,2**,단독,8m미만,386.73,267,201710,24,"        56,500",2012,안민안길
경상남도 창원성산구 안민동,6*,단독,8m미만,31,301,201803,12,"        13,500",2012,안민로159번길
