□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
26,경상남도 창원시 진해구 남양동,20,0020,0000,STX칸,84.9859,202212,20,"18,700",-,1,-,-,2009,월남로 142,-,중개거래,경남 창원진해구,-,아파트
27,경상남도 창원시 진해구 남문동,1293-1,1293,0001,남문호반베르디움,84.9908,202212,19,"30,300",-,16,-,-,2018,웅천동로43번길 19,20230208,중개거래,경남 창원진해구,-,아파트
28,경상남도 창원시 진해구 석동,675,0675,0000,우림필유,84.8600,202212,19,"31,250",-,1,-,-,2008,해원로 45,-,직거래,-,-,아파트
29,경상남도 창원시 진해구 남문동,1293-1,1293,0001,남문호반베르디움,84.9908,202212,19,"30,300",-,16,-,-,2018,웅천동로43번길 19,-,중개거래,경남 창원진해구,-,아파트
30,경상남도 창원시 진해구 석동,675,0675,0000,우림필유,84.9900,202212,19,"31,500",-,1,-,-,2008,해원로 45,-,직거래,-,-,아파트
31,경상남도 창원시 진해구 석동,675,0675,0000,우림필유,84.9900,202212,19,"34,700",-,2,-,-,2008,해원로 45,-,중개거래,경남 창원진해구,-,아파트
32,경상남도 창원시 진해구 석동,675,0675,0000,우림필유,84.8600,202212,19,"33,150",-,2,-,-,2008,해원로 45,-,직거래,-,-,아파트
33,경상남도 창원시 진해구 석동,551-1,0551,0001,진해석동푸르지오,138.0440,202212,19,"36,900",-,7,-,-,2006,진해대로 727,-,중개거래,경남 창원진해구,-,아파트
34,경상남도 창원시 진해구 청안동,472,0472,0000,풍림,59.9600,202212,19,"12,500",-,12,-,-,2000,안청북로 39,-,중개거래,경남 창원진해구,-,아파트
35,경상남도 창원시 진해구 속천동,2-7,0002,0007,네오비치빌라,74.7028,202212,19,"12,500",-,5,-,-,2003,속천로 65,-,직거래,-,-,아파트
36,경상남도 창원시 진해구 자은동,911,0911,0000,성원,39.7500,202212,19,"9,000",-,4,-,-,1995,냉천로108번길 6,-,직거래,-,-,아파트
37,경상남도 창원시 진해구 청안동,472,0472,0000,풍림,59.9600,202212,19,"11,100",-,7,-,-,2000,안청북로 39,-,중개거래,경남 창원진해구,-,아파트
38,경상남도 창원시 진해구 석동,232,0232,0000,진해자이,84.9407,202212,17,"33,000",-,9,-,-,2006,동진로21번길 26,-,중개거래,경남 창원진해구,-,아파트
39,경상남도 창원시 진해구 청안동,473,0473,0000,부영3차,49.8420,202212,17,"8,400",-,13,-,-,2003,안청북로 15,-,중개거래,경남 창원진해구,-,아파트
40,경상남도 창원시 진해구 남문동,1274-1,1274,0001,시티프라디움1차아파트,59.9808,202212,17,"21,000",-,17,-,-,2017,웅천동로 16,-,중개거래,경남 창원진해구,-,아파트
41,경상남도 창원시 진해구 여좌동,761-48,0761,0048,금화골든파크,36.4600,202212,16,"5,000",-,8,-,-,2004,충장로 79,-,직거래,-,-,아파트
42,경상남도 창원시 진해구 남문동,1256-1,1256,0001,시티프라디움2차,84.9908,202212,16,"27,500",-,6,-,-,2017,웅천동로 100,-,중개거래,경남 창원진해구,-,아파트
43,경상남도 창원시 진해구 남양동,20,0020,0000,STX칸,84.9859,202212,16,"19,380",-,12,-,-,2009,월남로 142,-,중개거래,경남 창원진해구,-,아파트
