□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산합포구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
14,경상남도 창원시 마산합포구 진동면 진동리,592,0592,0000,한일유앤아이,84.9986,202012,30,"15,800",-,14,-,-,2008,진북산업로 58,-,-,-,-,아파트
15,경상남도 창원시 마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,122.2339,202012,30,"30,000",-,5,-,-,2009,노산서18길 142,-,-,-,-,아파트
16,경상남도 창원시 마산합포구 중앙동3가,4-201,0004,0201,혜성미,69.6494,202012,30,"16,000",-,12,-,-,2006,중앙북2길 17,-,-,-,-,아파트
17,경상남도 창원시 마산합포구 진북면 지산리,221-7,0221,0007,성원,69.7600,202012,30,"5,000",-,6,-,-,1992,지산2길 31,-,-,-,-,아파트
18,경상남도 창원시 마산합포구 해운동,47,0047,0000,평화리버타운,31.8100,202012,30,"6,400",-,12,-,-,1999,월영동11길 29,-,-,-,-,아파트
19,경상남도 창원시 마산합포구 오동동,18-61,0018,0061,기산상가,84.4800,202012,30,"14,000",-,10,-,-,1997,오동동14길 29,-,-,-,-,아파트
20,경상남도 창원시 마산합포구 교방동,510,0510,0000,무학산벽산블루밍1단지,84.9935,202012,30,"22,900",-,9,-,-,2009,교방시장2길 9,-,-,-,-,아파트
21,경상남도 창원시 마산합포구 현동,210,0210,0000,중흥S클래스프라디움1차,84.9900,202012,30,"21,150",-,16,-,-,2014,현동4길 20,-,-,-,-,아파트
22,경상남도 창원시 마산합포구 월영동,602-11,0602,0011,월영라이프,84.5850,202012,30,"8,300",-,15,-,-,1998,월영서3길 95,-,-,-,-,아파트
23,경상남도 창원시 마산합포구 산호동,209-6,0209,0006,무궁화,53.8800,202012,30,"7,700",-,4,-,-,1982,해안대로 553,-,-,-,-,아파트
24,경상남도 창원시 마산합포구 해운동,47,0047,0000,평화리버타운,31.8100,202012,30,"6,400",-,12,-,-,1999,월영동11길 29,20210118,-,-,-,아파트
25,경상남도 창원시 마산합포구 월영동,705-2,0705,0002,현대2,59.9800,202012,30,"11,850",-,11,-,-,1998,월영마을로 7,-,-,-,-,아파트
26,경상남도 창원시 마산합포구 현동,210,0210,0000,중흥S클래스프라디움1차,84.9900,202012,29,"19,500",-,7,-,-,2014,현동4길 20,-,-,-,-,아파트
27,경상남도 창원시 마산합포구 완월동,478,0478,0000,화인,59.9300,202012,29,"8,500",-,10,-,-,1994,완월남8길 16,-,-,-,-,아파트
28,경상남도 창원시 마산합포구 완월동,421,0421,0000,청구제네스,84.3500,202012,29,"14,600",-,7,-,-,2002,완월남로 45,-,-,-,-,아파트
29,경상남도 창원시 마산합포구 산호동,332,0332,0000,국제비치타운,84.7200,202012,29,"15,000",-,20,-,-,1996,합포동5길 23,-,-,-,-,아파트
30,경상남도 창원시 마산합포구 중앙동2가,3-38,0003,0038,남명세비앙,84.9844,202012,29,"19,000",-,8,-,-,2005,중앙남3길 10,-,-,-,-,아파트
31,경상남도 창원시 마산합포구 월남동5가,8,0008,0000,월영마크리움주상복합,63.9086,202012,29,"22,300",-,11,-,-,2017,3·15대로 9,-,-,-,-,아파트
32,경상남도 창원시 마산합포구 월영동,614-7,0614,0007,월영동아,84.8400,202012,29,"14,500",-,1,-,-,1998,월영남로 59,-,-,-,-,아파트
33,경상남도 창원시 마산합포구 현동,700,0700,0000,중흥S클래스프라디움3차,84.9841,202012,29,"25,700",-,7,-,-,2017,현동1길 8,-,-,-,-,아파트
34,경상남도 창원시 마산합포구 산호동,644,0644,0000,산호베스티움,59.1162,202012,29,"20,800",-,7,-,-,2016,회원천북길 491,-,-,-,-,아파트
35,경상남도 창원시 마산합포구 오동동,322,0322,0000,중앙마린파이브아파트,84.6822,202012,28,"28,300",-,22,-,-,2014,오동동14길 67,-,-,-,-,아파트
36,경상남도 창원시 마산합포구 월포동,1-1,0001,0001,벽산블루밍,59.9780,202012,28,"21,900",-,18,-,-,2007,3·15대로 154,-,-,-,-,아파트
37,경상남도 창원시 마산합포구 완월동,421,0421,0000,청구제네스,84.3500,202012,28,"13,750",-,16,-,-,2002,완월남로 45,-,-,-,-,아파트
38,경상남도 창원시 마산합포구 월영동,703-2,0703,0002,월영대동타운,141.4800,202012,28,"22,000",-,4,-,-,1998,월영마을로 10,-,-,-,-,아파트
39,경상남도 창원시 마산합포구 월영동,708-2,0708,0002,월영동아2,59.6250,202012,28,"11,350",-,4,-,-,1998,월영마을로 29,-,-,-,-,아파트
40,경상남도 창원시 마산합포구 해운동,59,0059,0000,해운동성,84.9700,202012,28,"16,200",-,20,-,-,1996,월영동16길 17,-,-,-,-,아파트
41,경상남도 창원시 마산합포구 대외동,1,0001,0000,배진파크,84.9800,202012,28,"11,850",-,2,-,-,1992,문화남4길 38,-,-,-,-,아파트
42,경상남도 창원시 마산합포구 교방동,510,0510,0000,무학산벽산블루밍1단지,84.9918,202012,28,"20,800",-,3,-,-,2009,교방시장2길 9,-,-,-,-,아파트
43,경상남도 창원시 마산합포구 오동동,322,0322,0000,중앙마린파이브아파트,84.6822,202012,28,"24,500",-,8,-,-,2014,오동동14길 67,-,-,-,-,아파트
44,경상남도 창원시 마산합포구 오동동,322,0322,0000,중앙마린파이브아파트,84.6822,202012,28,"24,500",-,8,-,-,2014,오동동14길 67,20201229,-,-,-,아파트
45,경상남도 창원시 마산합포구 자산동,325-10,0325,0010,우성,51.7650,202012,28,"8,500",-,4,-,-,1987,무학로 378,-,-,-,-,아파트
46,경상남도 창원시 마산합포구 월포동,1,0001,0000,경동메르빌,118.2493,202012,28,"29,500",-,2,-,-,2005,중앙동3길 22,-,-,-,-,아파트
47,경상남도 창원시 마산합포구 산호동,332,0332,0000,국제비치타운,59.1000,202012,28,"9,800",-,3,-,-,1996,합포동5길 23,-,-,-,-,아파트
48,경상남도 창원시 마산합포구 진동면 진동리,592,0592,0000,한일유앤아이,174.0345,202012,28,"27,000",-,11,-,-,2008,진북산업로 58,-,-,-,-,아파트
49,경상남도 창원시 마산합포구 신포동2가,54,0054,0000,삼익,141.9800,202012,27,"16,500",-,3,-,-,1979,서성로 43,-,-,-,-,아파트
50,경상남도 창원시 마산합포구 현동,608,0608,0000,창원현동하늘채,59.9790,202012,27,"18,600",-,9,-,-,2018,현동9길 13,-,-,-,-,아파트
51,경상남도 창원시 마산합포구 해운동,49,0049,0000,두산3,84.8400,202012,27,"16,600",-,2,-,-,1995,월영동11길 42,-,-,-,-,아파트
52,경상남도 창원시 마산합포구 대외동,1,0001,0000,배진파크,84.7700,202012,26,"13,050",-,13,-,-,1992,문화남4길 38,-,-,-,-,아파트
53,경상남도 창원시 마산합포구 진동면 진동리,424,0424,0000,마산진동협성엠파이어,59.9250,202012,26,"14,300",-,15,-,-,2014,진북산업로 55,-,-,-,-,아파트
54,경상남도 창원시 마산합포구 산호동,334-1,0334,0001,산호,60.5000,202012,26,"10,300",-,3,-,-,1978,합포동1길 38,-,-,-,-,아파트
55,경상남도 창원시 마산합포구 자산동,326-2,0326,0002,한우아파트,48.9700,202012,26,"5,800",-,4,-,-,1986,자산솔밭로 52,-,-,-,-,아파트
56,경상남도 창원시 마산합포구 자산동,326-2,0326,0002,한우아파트,69.8100,202012,26,"9,400",-,1,-,-,1986,자산서11길 6,-,-,-,-,아파트
57,경상남도 창원시 마산합포구 자산동,16-4,0016,0004,한백3,50.2600,202012,26,"6,500",-,9,-,-,1994,자산북4길 33,-,-,-,-,아파트
58,경상남도 창원시 마산합포구 월영동,708-1,0708,0001,현대3,84.9100,202012,26,"17,000",-,11,-,-,1998,월영마을로 27,-,-,-,-,아파트
59,경상남도 창원시 마산합포구 월영동,736,0736,0000,월영동SK오션뷰,84.9988,202012,26,"41,000",-,24,-,-,2017,월영남12길 12,-,-,-,-,아파트
60,경상남도 창원시 마산합포구 신포동1가,13-1,0013,0001,센트럴,59.8900,202012,26,"15,200",-,13,-,-,2001,서성로 23,-,-,-,-,아파트
61,경상남도 창원시 마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,84.9935,202012,26,"22,500",-,9,-,-,2009,노산서18길 142,-,-,-,-,아파트
62,경상남도 창원시 마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,84.9935,202012,26,"23,000",-,6,-,-,2009,노산서18길 142,-,-,-,-,아파트
63,경상남도 창원시 마산합포구 현동,620,0620,0000,엘에이치그린품애,59.8000,202012,26,"15,250",-,13,-,-,2015,묘촌1길 28,-,-,-,-,아파트
64,경상남도 창원시 마산합포구 신포동1가,76,0076,0000,마산만I'PARK,84.9607,202012,26,"33,000",-,14,-,-,2010,제2부두로 17,-,-,-,-,아파트
65,경상남도 창원시 마산합포구 오동동,322,0322,0000,중앙마린파이브아파트,84.6822,202012,26,"24,900",-,12,-,-,2014,오동동14길 67,-,-,-,-,아파트
