□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2023-01-01 ~ 2023-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 의창구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
23,경상남도 창원시 의창구 북면 무동리,124-1,0124,0001,창원무동센텀파라디아,72.9942,202312,22,"23,000",102동,3,-,-,2018,무동서로 24,-,중개거래,경남 창원의창구,23.12.28,아파트
24,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,84.8776,202312,21,"34,568",216동,7,-,-,2019,감계로 342,-,직거래,-,24.01.02,아파트
25,경상남도 창원시 의창구 북면 감계리,225-1,0225,0001,창원감계힐스테이트4차,78.9805,202312,21,"29,500",413동,13,-,-,2017,감계로 233,-,중개거래,경남 창원시의창구,24.02.19,아파트
26,경상남도 창원시 의창구 북면 무동리,122-1,0122,0001,휴먼빌2단지,84.9940,202312,20,"19,200",206,3,-,-,2013,동곡로 35,-,직거래,-,24.01.12,아파트
27,경상남도 창원시 의창구 동읍 용잠리,419,0419,0000,신안맨션,84.9500,202312,20,"11,000",1,11,-,-,1997,동읍로 7,-,중개거래,경남 창원시의창구,24.02.29,아파트
28,경상남도 창원시 의창구 도계동,415-1,0415,0001,유일파크,56.4200,202312,20,"13,600",-,8,-,-,1993,도계두리길 214,-,중개거래,"경남 창원시성산구, 경남 창원시의창구",24.05.21,아파트
29,경상남도 창원시 의창구 소답동,505-4,0505,0004,세원,84.7000,202312,20,"12,000",-,1,-,-,1995,의안로70번길 25,-,중개거래,경남 창원의창구,24.01.10,아파트
30,경상남도 창원시 의창구 북면 감계리,225-1,0225,0001,창원감계힐스테이트4차,68.9762,202312,20,"25,000",410동,12,-,-,2017,감계로 233,-,중개거래,경남 창원의창구,24.01.19,아파트
31,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트아티움시티,84.6211,202312,20,"54,000",102,4,-,-,2020,창원대로397번길 11,-,중개거래,경남 창원시의창구,24.05.08,아파트
32,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,84.8776,202312,20,"34,568",211동,10,-,-,2019,감계로 342,-,직거래,-,24.02.27,아파트
33,경상남도 창원시 의창구 북면 무동리,123-1,0123,0001,휴먼빌1단지,84.9940,202312,19,"20,000",102,10,-,-,2013,동곡로 33,-,중개거래,경남 창원시의창구,24.04.01,아파트
34,경상남도 창원시 의창구 팔용동,122,0122,0000,벽산블루밍B,74.0100,202312,19,"35,750",106,14,-,-,1999,반계로 104-21,-,중개거래,경남 창원시의창구,24.04.12,아파트
35,경상남도 창원시 의창구 북면 감계리,230-1,0230,0001,창원감계힐스테이트1차,84.8931,202312,19,"19,000",104,8,-,-,2014,동전로 86,-,직거래,-,23.12.19,아파트
36,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,84.8776,202312,18,"34,568",216동,12,-,-,2019,감계로 342,-,중개거래,경남 창원시의창구,24.02.23,아파트
37,경상남도 창원시 의창구 중동,786,0786,0000,창원중동유니시티3단지,100.3072,202312,18,"95,800",306동,33,-,-,2019,중동로 77,-,중개거래,"경남 창원시마산회원구, 경남 창원시의창구",24.02.21,아파트
38,경상남도 창원시 의창구 도계동,320-2,0320,0002,금강목련,59.3600,202312,18,"12,500",-,5,-,-,1996,하남천서길37번길 6-12,20240207,중개거래,경남 창원의창구,-,아파트
39,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,70.5902,202312,16,"29,611",208동,3,-,-,2019,감계로 342,-,중개거래,경남 창원시의창구,24.02.26,아파트
40,경상남도 창원시 의창구 동읍 용정리,20-3,0020,0003,성진까치빌라트2,58.0200,202312,16,"6,600",102,14,-,-,1993,용정길46번길 35,-,중개거래,경남 창원의창구,24.01.05,아파트
41,경상남도 창원시 의창구 중동,785,0785,0000,창원중동유니시티2단지,72.8848,202312,16,"69,500",206동,13,-,-,2019,중동로 33,-,중개거래,경남 창원시의창구,24.03.11,아파트
42,경상남도 창원시 의창구 북면 감계리,225-2,0225,0002,창원감계푸르지오,59.9862,202312,16,"21,500",104동,6,-,-,2017,감계로 221,-,중개거래,경남 창원시의창구,24.04.30,아파트
43,경상남도 창원시 의창구 북면 무동리,124-1,0124,0001,창원무동센텀파라디아,59.9932,202312,16,"20,500",104동,16,-,-,2018,무동서로 24,-,중개거래,경남 창원시의창구,24.03.15,아파트
44,경상남도 창원시 의창구 동읍 용잠리,130-7,0130,0007,거림훼미리,80.8300,202312,15,"10,000",-,4,-,-,2002,용잠로35번길 16,-,직거래,-,24.02.23,아파트
45,경상남도 창원시 의창구 도계동,320-11,0320,0011,상아리더스맨션,61.4000,202312,15,"14,800",-,12,-,-,1992,하남천서길51번길 3,-,중개거래,"경남 창원시의창구, 부산 수영구",24.02.15,아파트
46,경상남도 창원시 의창구 동읍 용정리,20-9,0020,0009,성진까치빌라트3,58.6100,202312,15,"6,500",102,1,-,-,1995,용정길46번길 49-1,-,중개거래,경남 창원시의창구,24.02.29,아파트
47,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,84.8776,202312,15,"34,568",213동,15,-,-,2019,감계로 342,-,중개거래,경남 창원시의창구,24.02.16,아파트
48,경상남도 창원시 의창구 북면 무동리,124-1,0124,0001,창원무동센텀파라디아,84.9921,202312,15,"27,500",107동,12,-,-,2018,무동서로 24,-,중개거래,경남 창원의창구,23.12.29,아파트
49,경상남도 창원시 의창구 중동,785,0785,0000,창원중동유니시티2단지,84.3838,202312,15,"74,000",201동,30,-,-,2019,중동로 33,-,중개거래,경남 창원의창구,23.12.27,아파트
50,경상남도 창원시 의창구 중동,788,0788,0000,창원중동유니시티4단지,100.3072,202312,14,"103,000",409동,12,-,-,2019,중동로 78,-,중개거래,"경남 창원시마산회원구, 경남 창원시의창구",24.03.29,아파트
51,경상남도 창원시 의창구 팔용동,173-6,0173,0006,남산빌라,83.8350,202312,14,"14,000",-,2,-,-,1990,남산로27번길 10-19,-,중개거래,경남 창원의창구,24.01.24,아파트
52,경상남도 창원시 의창구 명서동,27,0027,0000,명곡두산위브,137.8600,202312,14,"60,900",104,11,-,-,2010,도계로 135,-,중개거래,경남 창원의창구,24.01.31,아파트
53,경상남도 창원시 의창구 북면 무동리,122-1,0122,0001,휴먼빌2단지,84.9940,202312,14,"20,000",202,14,-,-,2013,동곡로 35,-,중개거래,경남 창원시 의창구,24.08.14,아파트
54,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,70.8981,202312,14,"29,913",206동,6,-,-,2019,감계로 342,-,중개거래,경남 창원의창구,24.01.19,아파트
55,경상남도 창원시 의창구 명서동,27,0027,0000,명곡두산위브,137.9800,202312,13,"60,300",101,7,-,-,2010,도계로 135,-,중개거래,경남 창원시의창구,24.02.15,아파트
56,경상남도 창원시 의창구 명서동,27,0027,0000,명곡두산위브,84.9900,202312,12,"45,000",201,1,-,-,2010,도계로 136,-,중개거래,경남 창원의창구,24.01.29,아파트
57,경상남도 창원시 의창구 팔용동,124-1,0124,0001,극동,108.7200,202312,12,"32,500",101,8,-,-,1994,팔용로 446,-,중개거래,경남 창원의창구,23.12.21,아파트
58,경상남도 창원시 의창구 도계동,395-2,0395,0002,상강한주맨션,84.9000,202312,12,"22,350",-,3,-,-,1993,하남천동길16번길 11,-,중개거래,경남 창원의창구,24.01.16,아파트
59,경상남도 창원시 의창구 도계동,394-18,0394,0018,성진파크맨션,67.3900,202312,11,"12,700",-,3,-,-,1990,도계두리길 180-6,-,중개거래,경남 창원의창구,24.01.12,아파트
60,경상남도 창원시 의창구 팔용동,124-3,0124,0003,대동차룡,49.9800,202312,11,"16,750",-,6,-,-,1994,반계로 95,-,중개거래,경남 창원시의창구,24.06.24,아파트
61,경상남도 창원시 의창구 북면 감계리,227-2,0227,0002,감계아내에코프리미엄1차,84.9867,202312,11,"28,500",103,19,-,-,2014,감계로 277,-,직거래,-,23.12.12,아파트
62,경상남도 창원시 의창구 북면 감계리,225-1,0225,0001,창원감계힐스테이트4차,84.9743,202312,11,"28,000",405동,3,-,-,2017,감계로 233,-,중개거래,경남 창원의창구,24.01.16,아파트
63,경상남도 창원시 의창구 도계동,326-1,0326,0001,강남프라자,58.8000,202312,11,"13,500",-,2,-,-,1995,하남천서길5번길 13,-,중개거래,경남 창원의창구,24.01.12,아파트
64,경상남도 창원시 의창구 중동,788,0788,0000,창원중동유니시티4단지,84.7171,202312,09,"78,000",407동,15,-,-,2019,중동로 78,-,중개거래,경남 창원의창구,24.02.02,아파트
