□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산회원구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
20,경상남도 창원시 마산회원구 석전동,300,0300,0000,창원메트로시티석전,59.6825,202212,22,"36,000",-,5,-,-,2019,석전남8길 40,-,중개거래,경남 창원마산회원구,-,아파트
21,경상남도 창원시 마산회원구 석전동,276-11,0276,0011,전원파크맨션,52.9300,202212,22,"6,450",-,4,-,-,1988,북성로 246,-,중개거래,경남 창원마산회원구,-,아파트
22,경상남도 창원시 마산회원구 양덕동,155-5,0155,0005,양덕신우,59.8400,202212,22,"10,000",-,7,-,-,1997,양덕남9길 63,-,직거래,-,-,아파트
23,경상남도 창원시 마산회원구 내서읍 삼계리,37,0037,0000,대동다:숲,84.9700,202212,21,"22,500",-,5,-,-,1999,삼계2길 31,-,중개거래,경남 창원마산회원구,-,아파트
24,경상남도 창원시 마산회원구 양덕동,79-9,0079,0009,마산양덕4차한일타운,70.7756,202212,21,"31,000",-,3,-,-,2004,양덕서로 45,-,중개거래,경남 창원마산회원구,-,아파트
25,경상남도 창원시 마산회원구 석전동,232-1,0232,0001,동도센트리움,76.8490,202212,21,"29,000",-,15,-,-,2013,양덕옛2길 129,-,중개거래,경남 창원시 마산회원구,-,아파트
26,경상남도 창원시 마산회원구 내서읍 호계리,80,0080,0000,코오롱하늘채2차,103.9320,202212,20,"32,750",-,13,-,-,2005,호원로 359,-,직거래,-,-,아파트
27,경상남도 창원시 마산회원구 양덕동,79-9,0079,0009,마산양덕4차한일타운,117.5604,202212,19,"35,000",-,19,-,-,2004,양덕서로 45,-,중개거래,경남 창원마산회원구,-,아파트
28,경상남도 창원시 마산회원구 내서읍 중리,338-1,0338,0001,현대,84.9450,202212,19,"11,800",-,6,-,-,1992,호원로 186-1,-,중개거래,경남 창원마산회원구,-,아파트
29,경상남도 창원시 마산회원구 내서읍 중리,470-11,0470,0011,한주,59.2500,202212,19,"6,000",-,8,-,-,1992,함마대로 2821,-,직거래,-,-,아파트
30,경상남도 창원시 마산회원구 합성동,358,0358,0000,롯데캐슬더퍼스트,84.9948,202212,19,"45,000",-,19,-,-,2018,합성북16길 197,-,직거래,-,-,아파트
31,경상남도 창원시 마산회원구 내서읍 삼계리,34,0034,0000,대동,84.9700,202212,18,"20,700",-,7,-,-,1998,삼계5길 30,-,중개거래,경남 창원마산회원구,-,아파트
32,경상남도 창원시 마산회원구 구암동,87,0087,0000,구암대동,59.9250,202212,17,"16,500",-,1,-,-,1998,구암남14길 18,-,중개거래,경남 창원마산회원구,-,아파트
33,경상남도 창원시 마산회원구 내서읍 삼계리,508-1,0508,0001,숲속마을(6단지),59.8500,202212,17,"14,500",-,13,-,-,2002,숲속로 27,-,중개거래,경남 창원마산회원구,-,아파트
34,경상남도 창원시 마산회원구 봉암동,277,0277,0000,봉암서광,59.3400,202212,17,"10,900",-,17,-,-,2000,봉양로 241,-,중개거래,경남 창원마산회원구,-,아파트
35,경상남도 창원시 마산회원구 내서읍 상곡리,192,0192,0000,중리근로복지,41.8500,202212,17,"5,700",-,9,-,-,1993,상곡로 67,-,중개거래,경남 창원마산회원구,-,아파트
36,경상남도 창원시 마산회원구 석전동,146-11,0146,0011,일우,84.9800,202212,17,"13,700",-,1,-,-,1992,석전남23길 12,-,중개거래,경남 창원마산회원구,-,아파트
37,경상남도 창원시 마산회원구 석전동,300,0300,0000,창원메트로시티석전,38.8280,202212,16,"25,000",-,17,-,-,2019,석전남8길 40,-,직거래,-,-,아파트
