□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
23,경상남도 창원시 진해구 청안동,473,0473,0000,부영3차,49.8420,202012,29,"7,500",-,5,-,-,2003,안청북로 15,-,-,-,-,아파트
24,경상남도 창원시 진해구 경화동,859,0859,0000,경화주공,31.9800,202012,29,"5,750",-,4,-,-,1986,충장로345번길 50,-,-,-,-,아파트
25,경상남도 창원시 진해구 경화동,1388,1388,0000,대동다:숲,84.9950,202012,29,"18,000",-,4,-,-,2006,조천북로 79,-,-,-,-,아파트
26,경상남도 창원시 진해구 석동,675,0675,0000,우림필유,189.9600,202012,29,"50,500",-,2,-,-,2008,해원로 45,-,-,-,-,아파트
27,경상남도 창원시 진해구 청안동,473,0473,0000,부영3차,49.8420,202012,29,"9,300",-,12,-,-,2003,안청북로 15,-,-,-,-,아파트
28,경상남도 창원시 진해구 풍호동,305-8,0305,0008,창원마린푸르지오1단지,72.9898,202012,29,"37,000",-,21,-,-,2015,천자로 386,-,-,-,-,아파트
29,경상남도 창원시 진해구 이동,418-1,0418,0001,남흥,77.2100,202012,29,"11,200",-,4,-,-,1991,해원로 5,-,-,-,-,아파트
30,경상남도 창원시 진해구 청안동,477,0477,0000,부영1차,84.9538,202012,29,"16,300",-,3,-,-,2002,안청남로 13,-,-,-,-,아파트
31,경상남도 창원시 진해구 남문동,1256-1,1256,0001,시티프라디움2차,74.4533,202012,28,"27,000",-,21,-,-,2017,웅천동로 100,-,-,-,-,아파트
32,경상남도 창원시 진해구 남문동,1274-1,1274,0001,시티프라디움1차아파트,59.9780,202012,28,"18,500",-,13,-,-,2017,웅천동로 16,-,-,-,-,아파트
33,경상남도 창원시 진해구 용원동,1338-3,1338,0003,부산신항만이지더원2단지,84.8926,202012,28,"21,000",-,8,-,-,2014,신항북로 202,-,-,-,-,아파트
34,경상남도 창원시 진해구 경화동,1388,1388,0000,대동다:숲,130.2003,202012,28,"25,500",-,4,-,-,2006,조천북로 79,20210423,-,-,-,아파트
35,경상남도 창원시 진해구 경화동,1388,1388,0000,대동다:숲,84.9950,202012,28,"17,700",-,3,-,-,2006,조천북로 79,-,-,-,-,아파트
36,경상남도 창원시 진해구 청안동,473,0473,0000,부영3차,49.8420,202012,28,"8,200",-,12,-,-,2003,안청북로 15,-,-,-,-,아파트
37,경상남도 창원시 진해구 청안동,473,0473,0000,부영3차,59.8404,202012,28,"11,000",-,5,-,-,2003,안청북로 15,-,-,-,-,아파트
38,경상남도 창원시 진해구 청안동,472,0472,0000,풍림,59.9600,202012,28,"11,400",-,3,-,-,2000,안청북로 39,-,-,-,-,아파트
39,경상남도 창원시 진해구 석동,90-1,0090,0001,석동주공,46.9800,202012,28,"14,200",-,4,-,-,1991,냉천로 52,-,-,-,-,아파트
40,경상남도 창원시 진해구 석동,675,0675,0000,우림필유,84.9900,202012,28,"36,000",-,13,-,-,2008,해원로 45,-,-,-,-,아파트
41,경상남도 창원시 진해구 풍호동,83-77,0083,0077,한림리츠빌,84.9833,202012,28,"23,000",-,11,-,-,2005,풍호로 68,-,-,-,-,아파트
42,경상남도 창원시 진해구 용원동,1338-2,1338,0002,부산신항만이지더원1단지,84.8926,202012,28,"24,500",-,25,-,-,2014,신항동로 143,-,-,-,-,아파트
43,경상남도 창원시 진해구 자은동,114,0114,0000,창원자은에일린의뜰,84.9400,202012,28,"37,000",-,13,-,-,2017,냉천로 235,-,-,-,-,아파트
44,경상남도 창원시 진해구 자은동,125,0125,0000,자은중흥에스-클래스,84.8605,202012,28,"36,000",-,11,-,-,2017,냉천로 262,-,-,-,-,아파트
45,경상남도 창원시 진해구 자은동,910,0910,0000,대동빌라트,84.9000,202012,28,"20,000",-,2,-,-,1996,냉천로 88,-,-,-,-,아파트
46,경상남도 창원시 진해구 남문동,1256-1,1256,0001,시티프라디움2차,84.9908,202012,28,"34,000",-,24,-,-,2017,웅천동로 100,20210104,-,-,-,아파트
47,경상남도 창원시 진해구 자은동,121,0121,0000,자은프라임,74.5600,202012,27,"28,300",-,7,-,-,2015,냉천로 257,-,-,-,-,아파트
48,경상남도 창원시 진해구 풍호동,731-1,0731,0001,경동윈츠빌,84.3928,202012,27,"16,800",-,1,-,-,2004,풍호로3번길 14,-,-,-,-,아파트
49,경상남도 창원시 진해구 석동,232,0232,0000,진해자이,84.9407,202012,27,"30,800",-,15,-,-,2006,동진로21번길 26,-,-,-,-,아파트
50,경상남도 창원시 진해구 장천동,119-12,0119,0012,진해장천대동다:숲,84.8893,202012,27,"30,000",-,9,-,-,2007,행암로 25,-,-,-,-,아파트
51,경상남도 창원시 진해구 풍호동,83-3,0083,0003,우성,59.8500,202012,27,"11,700",-,6,-,-,1993,충장로 575,-,-,-,-,아파트
52,경상남도 창원시 진해구 풍호동,305-8,0305,0008,창원마린푸르지오1단지,84.9735,202012,27,"42,500",-,10,-,-,2015,천자로 386,-,-,-,-,아파트
53,경상남도 창원시 진해구 석동,551-1,0551,0001,진해석동푸르지오,116.4530,202012,26,"30,700",-,4,-,-,2006,진해대로 727,-,-,-,-,아파트
54,경상남도 창원시 진해구 풍호동,75-1,0075,0001,풍호시영,49.7900,202012,26,"13,800",-,3,-,-,1991,진해대로1041번길 35,-,-,-,-,아파트
55,경상남도 창원시 진해구 청안동,472,0472,0000,풍림,59.9600,202012,26,"11,500",-,10,-,-,2000,안청북로 39,-,-,-,-,아파트
56,경상남도 창원시 진해구 청안동,472,0472,0000,풍림,59.9600,202012,26,"11,500",-,10,-,-,2000,안청북로 39,20210112,-,-,-,아파트
57,경상남도 창원시 진해구 청안동,473,0473,0000,부영3차,49.8420,202012,26,"8,200",-,5,-,-,2003,안청북로 15,-,-,-,-,아파트
58,경상남도 창원시 진해구 안골동,375,0375,0000,창원마린2차푸르지오,84.9256,202012,26,"28,500",-,6,-,-,2016,안골로298번길 26,-,-,-,-,아파트
59,경상남도 창원시 진해구 경화동,1316,1316,0000,경화베스티움,84.8787,202012,26,"29,000",-,13,-,-,2018,조천북로 131,-,-,-,-,아파트
60,경상남도 창원시 진해구 풍호동,731-1,0731,0001,경동윈츠빌,115.9211,202012,26,"22,700",-,12,-,-,2004,풍호로3번길 14,-,-,-,-,아파트
61,경상남도 창원시 진해구 풍호동,75-1,0075,0001,풍호시영,49.7900,202012,26,"14,000",-,1,-,-,1992,진해대로1041번길 35,-,-,-,-,아파트
62,경상남도 창원시 진해구 자은동,911,0911,0000,성원,39.7500,202012,26,"10,400",-,5,-,-,1995,냉천로108번길 6,-,-,-,-,아파트
63,경상남도 창원시 진해구 자은동,121,0121,0000,자은프라임,74.9700,202012,26,"29,000",-,8,-,-,2015,냉천로 257,-,-,-,-,아파트
64,경상남도 창원시 진해구 석동,351,0351,0000,한솔솔파크1단지,131.4810,202012,26,"36,300",-,5,-,-,2009,진해대로789번길 24,-,-,-,-,아파트
65,경상남도 창원시 진해구 용원동,1338-2,1338,0002,부산신항만이지더원1단지,84.8926,202012,26,"22,700",-,4,-,-,2014,신항동로 143,-,-,-,-,아파트
66,경상남도 창원시 진해구 석동,675,0675,0000,우림필유,84.9900,202012,26,"35,500",-,13,-,-,2008,해원로 45,-,-,-,-,아파트
67,경상남도 창원시 진해구 자은동,911,0911,0000,성원,39.7500,202012,26,"10,500",-,4,-,-,1995,냉천로108번길 6,-,-,-,-,아파트
68,경상남도 창원시 진해구 마천동,99-3,0099,0003,남명플럼빌리지,59.8761,202012,25,"8,550",-,13,-,-,2004,웅동로 70,-,-,-,-,아파트
