□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 성산구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
26,경상남도 창원시 성산구 상남동,44-1,0044,0001,대동,49.9500,202212,26,"18,000",-,2,-,-,1994,동산로 115,-,중개거래,경남 창원성산구,-,아파트
27,경상남도 창원시 성산구 남양동,17,0017,0000,우성,83.4600,202212,26,"26,000",-,13,-,-,1989,대암로 22,-,직거래,-,-,아파트
28,경상남도 창원시 성산구 남양동,22,0022,0000,성원2차,84.9200,202212,26,"28,000",-,9,-,-,1992,대정로 99,-,중개거래,경남 창원성산구,-,아파트
29,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,84.9100,202212,26,"31,500",-,21,-,-,1994,원이대로 774,-,중개거래,경남 창원성산구,-,아파트
30,경상남도 창원시 성산구 대방동,357,0357,0000,개나리1차,42.1800,202212,26,"13,100",-,7,-,-,1992,대정로 149,20221227,중개거래,경남 창원시성산구,-,아파트
31,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,84.9100,202212,26,"33,000",-,9,-,-,1994,원이대로 774,-,직거래,-,-,아파트
32,경상남도 창원시 성산구 안민동,188,0188,0000,동부산아이존빌,59.7555,202212,25,"17,000",-,16,-,-,2002,안민로117번길 3,-,중개거래,경남 창원성산구,-,아파트
33,경상남도 창원시 성산구 대방동,358,0358,0000,대동,84.9300,202212,25,"26,500",-,15,-,-,1992,대정로 142,-,중개거래,경남 창원성산구,-,아파트
34,경상남도 창원시 성산구 반림동,8,0008,0000,럭키,59.2200,202212,24,"23,000",-,5,-,-,1989,반송로 105,-,중개거래,경남 창원성산구,-,아파트
35,경상남도 창원시 성산구 남양동,20,0020,0000,성원1차,84.9700,202212,24,"27,000",-,12,-,-,1991,대정로 73,-,중개거래,경남 창원성산구,-,아파트
36,경상남도 창원시 성산구 남양동,24,0024,0000,피오르빌,39.7000,202212,24,"14,000",-,10,-,-,1995,대정로 84,-,중개거래,경남 창원성산구,-,아파트
