□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산회원구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
22,경상남도 창원시 마산회원구 내서읍 상곡리,192,0192,0000,중리근로복지,41.8500,202012,28,"4,000",-,2,-,-,1993,상곡로 67,-,-,-,-,아파트
23,경상남도 창원시 마산회원구 석전동,300,0300,0000,창원메트로시티석전,59.6947,202012,28,"35,000",-,31,-,-,2019,석전남8길 40,-,-,-,-,아파트
24,경상남도 창원시 마산회원구 내서읍 호계리,10,0010,0000,코오롱하늘채1차아파트,170.5330,202012,28,"24,610",-,12,-,-,2001,호원로 361-3,-,-,-,-,아파트
25,경상남도 창원시 마산회원구 내서읍 삼계리,507-1,0507,0001,숲속마을(507-1),84.4500,202012,28,"18,000",-,14,-,-,2001,숲속로 30,-,-,-,-,아파트
26,경상남도 창원시 마산회원구 회원동,415,0415,0000,한효,143.0200,202012,28,"21,400",-,10,-,-,1994,회원동3길 38,-,-,-,-,아파트
27,경상남도 창원시 마산회원구 양덕동,64-1,0064,0001,한일타운2,59.9880,202012,28,"17,000",-,1,-,-,1996,양덕로 151,-,-,-,-,아파트
28,경상남도 창원시 마산회원구 석전동,300,0300,0000,창원메트로시티석전,59.6825,202012,28,"35,800",-,23,-,-,2019,석전남8길 40,-,-,-,-,아파트
29,경상남도 창원시 마산회원구 양덕동,888-1,0888,0001,우성,84.7200,202012,27,"20,900",-,6,-,-,1998,양덕옛2길 16,-,-,-,-,아파트
30,경상남도 창원시 마산회원구 양덕동,64-1,0064,0001,한일타운2,84.9580,202012,27,"20,000",-,6,-,-,1996,양덕로 151,-,-,-,-,아파트
31,경상남도 창원시 마산회원구 양덕동,64-1,0064,0001,한일타운2,84.9580,202012,27,"23,000",-,20,-,-,1996,양덕로 151,-,-,-,-,아파트
32,경상남도 창원시 마산회원구 양덕동,161-1,0161,0001,대림하이빌,84.9365,202012,26,"21,800",-,18,-,-,2002,양덕동2길 76,-,-,-,-,아파트
33,경상남도 창원시 마산회원구 내서읍 중리,1036,1036,0000,동신2,84.9900,202012,26,"13,100",-,3,-,-,1996,중리상곡로 134,-,-,-,-,아파트
34,경상남도 창원시 마산회원구 내서읍 중리,1054,1054,0000,중리백로,59.9200,202012,26,"8,200",-,5,-,-,1995,중리상곡로 20-1,-,-,-,-,아파트
35,경상남도 창원시 마산회원구 내서읍 삼계리,506,0506,0000,숲속마을주공그린빌4단지,75.8500,202012,26,"16,500",-,4,-,-,2002,숲속로 8,-,-,-,-,아파트
36,경상남도 창원시 마산회원구 양덕동,79-9,0079,0009,마산양덕4차한일타운,83.6830,202012,26,"29,500",-,6,-,-,2004,양덕서로 45,-,-,-,-,아파트
37,경상남도 창원시 마산회원구 내서읍 호계리,10,0010,0000,코오롱하늘채1차아파트,71.8860,202012,26,"15,700",-,3,-,-,2001,호원로 361-3,-,-,-,-,아파트
38,경상남도 창원시 마산회원구 양덕동,910,0910,0000,한일3,59.8520,202012,26,"17,000",-,2,-,-,2003,삼호로 151,-,-,-,-,아파트
39,경상남도 창원시 마산회원구 내서읍 삼계리,505-1,0505,0001,마산삼계주공3단지,49.7100,202012,26,"7,850",-,14,-,-,2001,삼계본동1길 86,-,-,-,-,아파트
40,경상남도 창원시 마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.6200,202012,26,"9,200",-,5,-,-,1998,삼계10길 22,-,-,-,-,아파트
41,경상남도 창원시 마산회원구 내서읍 호계리,10,0010,0000,코오롱하늘채1차아파트,170.5330,202012,25,"26,000",-,20,-,-,2001,호원로 361-3,-,-,-,-,아파트
42,경상남도 창원시 마산회원구 내서읍 호계리,80,0080,0000,코오롱하늘채2차,103.9320,202012,25,"28,800",-,1,-,-,2005,호원로 359,-,-,-,-,아파트
43,경상남도 창원시 마산회원구 내서읍 호계리,352,0352,0000,현대성우,84.9974,202012,25,"15,500",-,2,-,-,2004,광려천북로 58,-,-,-,-,아파트
44,경상남도 창원시 마산회원구 양덕동,84-1,0084,0001,메트로시티,84.8902,202012,25,"46,900",-,10,-,-,2009,양덕서로 30,-,-,-,-,아파트
45,경상남도 창원시 마산회원구 내서읍 호계리,790-23,0790,0023,국제한마음,61.0500,202012,25,"6,000",-,13,-,-,1992,호계본동로 38,-,-,-,-,아파트
46,경상남도 창원시 마산회원구 내서읍 호계리,80,0080,0000,코오롱하늘채2차,84.9980,202012,24,"20,900",-,1,-,-,2005,호원로 359,-,-,-,-,아파트
47,경상남도 창원시 마산회원구 양덕동,79-9,0079,0009,마산양덕4차한일타운,83.6830,202012,24,"30,600",-,6,-,-,2004,양덕서로 45,-,-,-,-,아파트
48,경상남도 창원시 마산회원구 양덕동,84-14,0084,0014,메트로시티2단지,84.9370,202012,24,"63,000",-,17,-,-,2015,삼호로 80,-,-,-,-,아파트
49,경상남도 창원시 마산회원구 양덕동,153-5,0153,0005,비젼,75.8800,202012,24,"16,000",-,14,-,-,2005,해안대로 607,-,-,-,-,아파트
50,경상남도 창원시 마산회원구 내서읍 호계리,10,0010,0000,코오롱하늘채1차아파트,84.9670,202012,24,"14,260",-,2,-,-,2001,호원로 361-3,-,-,-,-,아파트
51,경상남도 창원시 마산회원구 내서읍 삼계리,260,0260,0000,대동이미지2단지,84.9274,202012,24,"15,000",-,15,-,-,2003,광려로 29,-,-,-,-,아파트
52,경상남도 창원시 마산회원구 합성동,358,0358,0000,롯데캐슬더퍼스트,84.9874,202012,24,"49,400",-,25,-,-,2018,합성북16길 197,-,-,-,-,아파트
53,경상남도 창원시 마산회원구 내서읍 상곡리,192,0192,0000,중리근로복지,41.8500,202012,24,"4,000",-,6,-,-,1993,상곡로 67,-,-,-,-,아파트
54,경상남도 창원시 마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.9900,202012,24,"9,700",-,3,-,-,1998,삼계10길 22,-,-,-,-,아파트
55,경상남도 창원시 마산회원구 구암동,1212,1212,0000,신우,48.5302,202012,24,"10,000",-,14,-,-,2001,구암남21길 3,-,-,-,-,아파트
56,경상남도 창원시 마산회원구 내서읍 상곡리,67,0067,0000,삼계서진,39.9000,202012,23,"4,700",-,10,-,-,1997,경남대로 1019,-,-,-,-,아파트
57,경상남도 창원시 마산회원구 구암동,1335,1335,0000,경남(1335),48.0150,202012,23,"7,000",-,4,-,-,1985,소계천서길 49,20220110,-,-,-,아파트
58,경상남도 창원시 마산회원구 구암동,87,0087,0000,구암대동,59.9250,202012,23,"15,000",-,14,-,-,1998,구암남14길 13,-,-,-,-,아파트
59,경상남도 창원시 마산회원구 양덕동,84-1,0084,0001,메트로시티,124.4478,202012,23,"65,000",-,21,-,-,2009,양덕서로 30,-,-,-,-,아파트
60,경상남도 창원시 마산회원구 구암동,87,0087,0000,구암대동,58.8700,202012,23,"12,800",-,15,-,-,1998,구암남14길 18,-,-,-,-,아파트
61,경상남도 창원시 마산회원구 석전동,260-14,0260,0014,이미지피렌체,84.9381,202012,23,"17,300",-,20,-,-,2004,양덕옛1길 37,-,-,-,-,아파트
62,경상남도 창원시 마산회원구 양덕동,161-1,0161,0001,대림하이빌,84.9365,202012,23,"20,000",-,23,-,-,2002,양덕동2길 76,-,-,-,-,아파트
63,경상남도 창원시 마산회원구 합성동,358,0358,0000,롯데캐슬더퍼스트,84.9874,202012,23,"52,500",-,25,-,-,2018,합성북16길 197,-,-,-,-,아파트
64,경상남도 창원시 마산회원구 내서읍 삼계리,304,0304,0000,삼계블루힐스,84.9906,202012,23,"25,000",-,18,-,-,2015,광려로 55,-,-,-,-,아파트
65,경상남도 창원시 마산회원구 내서읍 중리,338-1,0338,0001,현대,74.2950,202012,23,"8,500",-,3,-,-,1992,호원로 186-1,-,-,-,-,아파트
66,경상남도 창원시 마산회원구 내서읍 삼계리,508-1,0508,0001,숲속마을(6단지),59.8500,202012,22,"10,800",-,13,-,-,2002,숲속로 27,-,-,-,-,아파트
67,경상남도 창원시 마산회원구 양덕동,156-19,0156,0019,한얼골든뷰,84.6200,202012,22,"14,800",-,10,-,-,2004,합포로 308,-,-,-,-,아파트
68,경상남도 창원시 마산회원구 내서읍 호계리,80,0080,0000,코오롱하늘채2차,74.1880,202012,22,"18,000",-,7,-,-,2005,호원로 359,-,-,-,-,아파트
69,경상남도 창원시 마산회원구 내서읍 삼계리,507-1,0507,0001,숲속마을(507-1),75.9500,202012,22,"14,700",-,12,-,-,2001,숲속로 30,-,-,-,-,아파트
70,경상남도 창원시 마산회원구 석전동,300,0300,0000,창원메트로시티석전,72.1787,202012,22,"40,500",-,6,-,-,2019,석전남8길 40,-,-,-,-,아파트
71,경상남도 창원시 마산회원구 석전동,260-14,0260,0014,이미지피렌체,84.9381,202012,22,"16,150",-,2,-,-,2004,양덕옛1길 37,-,-,-,-,아파트
72,경상남도 창원시 마산회원구 양덕동,84-14,0084,0014,메트로시티2단지,101.9610,202012,22,"79,000",-,33,-,-,2015,삼호로 80,-,-,-,-,아파트
73,경상남도 창원시 마산회원구 내서읍 호계리,333-1,0333,0001,보라맨션,59.4000,202012,22,"6,250",-,4,-,-,1992,광려천북로 90,-,-,-,-,아파트
74,경상남도 창원시 마산회원구 양덕동,74-1,0074,0001,한일타운,59.9400,202012,21,"13,800",-,13,-,-,1994,양덕서8길 25,-,-,-,-,아파트
