□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 의창구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
27,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트아티움시티,84.8615,202012,25,"69,500",-,41,-,-,2020,창원대로397번길 11,-,-,-,-,아파트
28,경상남도 창원시 의창구 동읍 송정리,23-8,0023,0008,동부산훼미리타운4차,71.6916,202012,25,"9,100",-,5,-,-,1999,자여로65번길 14,-,-,-,-,아파트
29,경상남도 창원시 의창구 북면 감계리,227-2,0227,0002,감계아내에코프리미엄1차,84.9867,202012,24,"30,000",-,5,-,-,2014,감계로 277,-,-,-,-,아파트
30,경상남도 창원시 의창구 도계동,328-1,0328,0001,한효로얄코아,49.4400,202012,24,"9,000",-,14,-,-,1992,도계로50번길 6-18,-,-,-,-,아파트
31,경상남도 창원시 의창구 북면 감계리,225-1,0225,0001,창원감계힐스테이트4차,68.9762,202012,24,"29,100",-,16,-,-,2017,감계로 233,-,-,-,-,아파트
32,경상남도 창원시 의창구 소답동,112-1,0112,0001,영남보화맨션,62.0800,202012,24,"13,000",-,6,-,-,1993,의안로8번길 3,-,-,-,-,아파트
33,경상남도 창원시 의창구 소답동,145-6,0145,0006,성원빌라,80.0700,202012,24,"12,000",-,5,-,-,1991,의안로50번길 49,-,-,-,-,아파트
34,경상남도 창원시 의창구 북면 감계리,225-2,0225,0002,창원감계푸르지오,84.8853,202012,23,"36,000",-,18,-,-,2017,감계로 221,-,-,-,-,아파트
35,경상남도 창원시 의창구 북면 무동리,104-1,0104,0001,창원무동STX칸1차,84.9900,202012,23,"20,000",-,12,-,-,2015,무동서로 76,-,-,-,-,아파트
36,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,84.8776,202012,23,"34,144",-,3,-,-,2019,감계로 342,-,-,-,-,아파트
37,경상남도 창원시 의창구 동읍 용잠리,468,0468,0000,동읍다숲아파트,59.8800,202012,22,"17,500",-,12,-,-,2016,용잠로 19,-,-,-,-,아파트
