□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,,
실거래 구분 : 오피스텔(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원성산구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원성산구 상남동,76-1,76,1,스타 타워즈,34.23,201806,19,"         8,700",5,2005,중앙대로100번길 14
경상남도 창원성산구 상남동,75-2,75,2,엠케이오피스텔,23.73,201708,23,"        11,322",7,2016,중앙대로 94
경상남도 창원성산구 상남동,75-2,75,2,엠케이오피스텔,23.73,201806,29,"         9,000",17,2016,중앙대로 94
경상남도 창원성산구 상남동,73-2,73,2,위드필타워,24.73,201707,17,"         9,600",3,2016,상남로 75
경상남도 창원성산구 상남동,73-2,73,2,위드필타워,23.94,201707,17,"         9,800",11,2016,상남로 75
경상남도 창원성산구 상남동,73-2,73,2,위드필타워,23.94,201707,17,"         9,800",11,2016,상남로 75
경상남도 창원성산구 상남동,73-2,73,2,위드필타워,23.94,201708,16,"        10,213",14,2016,상남로 75
경상남도 창원성산구 상남동,73-2,73,2,위드필타워,23.94,201708,22,"        10,125",13,2016,상남로 75
경상남도 창원성산구 상남동,73-2,73,2,위드필타워,24.13,201711,29,"         9,762",6,2016,상남로 75
경상남도 창원성산구 상남동,73-2,73,2,위드필타워,23.94,201801,16,"         9,100",18,2016,상남로 75
경상남도 창원성산구 상남동,73-2,73,2,위드필타워,23.94,201803,7,"        10,000",10,2016,상남로 75
경상남도 창원성산구 상남동,73-2,73,2,위드필타워,23.94,201803,7,"        10,000",9,2016,상남로 75
경상남도 창원성산구 상남동,73-2,73,2,위드필타워,23.94,201803,7,"        10,000",11,2016,상남로 75
경상남도 창원성산구 상남동,73-2,73,2,위드필타워,26.73,201803,27,"        10,000",14,2016,상남로 75
경상남도 창원성산구 상남동,73-2,73,2,위드필타워,23.94,201804,27,"         9,000",15,2016,상남로 75
경상남도 창원성산구 상남동,14-1,14,1,지원빌딩,21.78,201708,18,"         8,000",12,2012,마디미로16번길 11
경상남도 창원성산구 상남동,14-1,14,1,지원빌딩,21.78,201801,13,"         7,000",9,2012,마디미로16번길 11
경상남도 창원성산구 상남동,14-1,14,1,지원빌딩,21.78,201801,16,"         9,500",12,2012,마디미로16번길 11
경상남도 창원성산구 상남동,14-1,14,1,지원빌딩,21.78,201802,19,"         7,400",10,2012,마디미로16번길 11
경상남도 창원성산구 상남동,75-3,75,3,창원 디아트리에 오피스텔,29.72,201707,14,"        14,056",16,, 
경상남도 창원성산구 상남동,75-3,75,3,창원 디아트리에 오피스텔,29.72,201707,26,"        15,600",12,, 
경상남도 창원성산구 상남동,75-3,75,3,창원 디아트리에 오피스텔,29.72,201802,27,"        14,000",15,, 
경상남도 창원성산구 상남동,75-3,75,3,창원 디아트리에 오피스텔,40.6,201806,16,"        18,684",11,, 
경상남도 창원성산구 상남동,75-3,75,3,창원 디아트리에 오피스텔,27.94,201806,19,"        14,000",16,, 
경상남도 창원성산구 상남동,75-3,75,3,창원 디아트리에 오피스텔,27.94,201806,19,"        13,853",11,, 
경상남도 창원성산구 상남동,75-3,75,3,창원 디아트리에 오피스텔,27.94,201806,19,"        13,295",3,, 
경상남도 창원성산구 상남동,12-6,12,6,청솔아트빌,28.44,201707,12,"         4,400",6,2003,마디미로15번길 9
경상남도 창원성산구 상남동,12-6,12,6,청솔아트빌,28.44,201710,12,"         3,700",7,2003,마디미로15번길 9
경상남도 창원성산구 상남동,12-6,12,6,청솔아트빌,28.44,201710,26,"         4,200",9,2003,마디미로15번길 9
경상남도 창원성산구 상남동,12-6,12,6,청솔아트빌,24.84,201803,2,"         3,750",10,2003,마디미로15번길 9
경상남도 창원성산구 상남동,12-6,12,6,청솔아트빌,31.92,201804,2,"         5,000",10,2003,마디미로15번길 9
경상남도 창원성산구 중앙동,101-1,101,1,경남오피스텔,74.1,201707,14,"         4,000",10,1990,중앙대로 37
경상남도 창원성산구 중앙동,101-1,101,1,경남오피스텔,34.8,201707,20,"         3,380",5,1990,중앙대로 37
경상남도 창원성산구 중앙동,101-1,101,1,경남오피스텔,34.8,201709,22,"         3,500",9,1990,중앙대로 37
경상남도 창원성산구 중앙동,101-1,101,1,경남오피스텔,84.81,201710,17,"         6,500",10,1990,중앙대로 37
경상남도 창원성산구 중앙동,101-1,101,1,경남오피스텔,33.82,201712,18,"         4,000",8,1990,중앙대로 37
경상남도 창원성산구 중앙동,101-2,101,2,대흥인터빌,53.32,201711,23,"        10,000",15,2004,중앙대로 33
경상남도 창원성산구 중앙동,101-2,101,2,대흥인터빌,29.48,201803,23,"         6,300",12,2004,중앙대로 33
경상남도 창원성산구 중앙동,101-2,101,2,대흥인터빌,37.49,201805,16,"         8,400",14,2004,중앙대로 33
경상남도 창원성산구 중앙동,96-3,96,3,라큐비,23.4,201712,24,"         8,150",8,2015,중앙대로83번길 8
경상남도 창원성산구 중앙동,96-3,96,3,라큐비,23.4,201804,30,"         9,700",14,2015,중앙대로83번길 8
경상남도 창원성산구 중앙동,97-3,97,3,상지솔리움,30.06,201709,23,"         6,500",8,2003,중앙대로 75
경상남도 창원성산구 중앙동,97-3,97,3,상지솔리움,30.06,201710,26,"         6,000",16,2003,중앙대로 75
경상남도 창원성산구 중앙동,97-3,97,3,상지솔리움,24.94,201711,3,"         6,000",6,2003,중앙대로 75
경상남도 창원성산구 중앙동,97-3,97,3,상지솔리움,24.94,201711,3,"         6,000",6,2003,중앙대로 75
경상남도 창원성산구 중앙동,97-3,97,3,상지솔리움,24.94,201711,4,"         4,600",15,2003,중앙대로 75
경상남도 창원성산구 중앙동,97-3,97,3,상지솔리움,28.79,201803,3,"         5,300",6,2003,중앙대로 75
경상남도 창원성산구 중앙동,97-3,97,3,상지솔리움,24.94,201805,4,"         4,800",11,2003,중앙대로 75
경상남도 창원성산구 중앙동,98-4,98,4,성원그랜드오피스텔,41.2,201707,14,"         4,500",6,1990,용지로 70
경상남도 창원성산구 중앙동,98-4,98,4,성원그랜드오피스텔,43.52,201707,20,"         4,600",6,1990,용지로 70
경상남도 창원성산구 중앙동,98-4,98,4,성원그랜드오피스텔,41.2,201710,24,"         4,400",8,1990,용지로 70
경상남도 창원성산구 중앙동,98-4,98,4,성원그랜드오피스텔,41.2,201711,29,"         4,000",7,1990,용지로 70
경상남도 창원성산구 중앙동,98-4,98,4,성원그랜드오피스텔,41.2,201712,25,"         4,500",6,1990,용지로 70
경상남도 창원성산구 중앙동,98-4,98,4,성원그랜드오피스텔,43.07,201801,29,"         4,000",6,1990,용지로 70
경상남도 창원성산구 중앙동,98-4,98,4,성원그랜드오피스텔,61.8,201804,19,"         6,000",5,1990,용지로 70
경상남도 창원성산구 중앙동,98-4,98,4,성원그랜드오피스텔,41.2,201805,25,"         4,000",10,1990,용지로 70
경상남도 창원성산구 중앙동,98-4,98,4,성원그랜드오피스텔,41.2,201805,28,"         2,800",9,1990,용지로 70
경상남도 창원성산구 중앙동,99-2,99,2,창원 중앙 블루힐스,24.46,201707,26,"        12,247",11,2016,용지로 56
경상남도 창원성산구 중앙동,99-2,99,2,창원 중앙 블루힐스,24.46,201707,26,"        12,247",11,2016,용지로 56
경상남도 창원성산구 중앙동,99-2,99,2,창원 중앙 블루힐스,21.24,201708,29,"        11,500",12,2016,용지로 56
경상남도 창원성산구 중앙동,94-2,94,2,창원광장 동광뷰엘,19.44,201711,17,"         8,510",17,2017,중앙대로113번길 13
경상남도 창원성산구 중앙동,96-4,96,4,창원리제스타워,24.31,201707,8,"         5,300",5,2004,중앙대로 85
경상남도 창원성산구 중앙동,96-4,96,4,창원리제스타워,24.31,201708,1,"         5,500",6,2004,중앙대로 85
경상남도 창원성산구 중앙동,96-4,96,4,창원리제스타워,40.66,201709,15,"         8,800",18,2004,중앙대로 85
경상남도 창원성산구 중앙동,96-4,96,4,창원리제스타워,24.96,201709,26,"         5,500",10,2004,중앙대로 85
경상남도 창원성산구 중앙동,96-4,96,4,창원리제스타워,24.96,201709,28,"         6,000",4,2004,중앙대로 85
경상남도 창원성산구 중앙동,96-4,96,4,창원리제스타워,24.96,201710,25,"         5,400",15,2004,중앙대로 85
경상남도 창원성산구 중앙동,96-4,96,4,창원리제스타워,24.31,201711,9,"         5,500",11,2004,중앙대로 85
경상남도 창원성산구 중앙동,96-4,96,4,창원리제스타워,41.36,201712,30,"        10,000",17,2004,중앙대로 85
경상남도 창원성산구 중앙동,96-4,96,4,창원리제스타워,42.09,201803,12,"        10,000",3,2004,중앙대로 85
경상남도 창원성산구 중앙동,96-4,96,4,창원리제스타워,41.28,201803,12,"         8,500",11,2004,중앙대로 85
경상남도 창원성산구 중앙동,96-4,96,4,창원리제스타워,24.96,201804,3,"         5,050",18,2004,중앙대로 85
경상남도 창원성산구 중앙동,96-4,96,4,창원리제스타워,24.96,201806,15,"         5,300",9,2004,중앙대로 85
경상남도 창원성산구 중앙동,96-4,96,4,창원리제스타워,24.31,201806,20,"         5,300",10,2004,중앙대로 85
경상남도 창원성산구 중앙동,95-1,95,1,하이페르 오피스텔,31.26,201803,1,"         5,000",8,2003,용지로 96
경상남도 창원성산구 중앙동,100-2,100,2,현대오피스텔,38.22,201710,30,"         4,000",9,1990,중앙대로 55
경상남도 창원성산구 중앙동,100-2,100,2,현대오피스텔,30.4,201712,5,"         3,400",10,1990,중앙대로 55
경상남도 창원성산구 중앙동,100-2,100,2,현대오피스텔,32.85,201801,20,"         3,500",8,1990,중앙대로 55
