□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,,
실거래 구분 : 오피스텔(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원마산회원구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 양덕동,832-7,832,7,양덕 엘렌시아,54.78,201804,16,"        15,318",2,2018, 
경상남도 창원마산회원구 양덕동,832-7,832,7,양덕 엘렌시아,54.78,201804,16,"        15,318",3,2018, 
경상남도 창원마산회원구 양덕동,832-7,832,7,양덕 엘렌시아,35.68,201804,20,"        10,500",2,2018, 
경상남도 창원마산회원구 양덕동,153-8,153,8,한진오피스텔,26.07,201806,13,"         2,300",12,1991,합포로 274
경상남도 창원마산회원구 양덕동,59-2,59,2,현대오피스텔,36.54,201710,12,"         1,128",5,1994,양덕로 119
경상남도 창원마산회원구 합성동,324-2,324,2,	(324-2)	,44.02,201709,2,"         6,100",6,2003,합성남8길 67
경상남도 창원마산회원구 합성동,324-2,324,2,	(324-2)	,42.82,201711,2,"         6,300",6,2003,합성남8길 67
경상남도 창원마산회원구 합성동,133-3,133,3,백화 하이빌,34.77,201711,7,"         6,000",8,1998,3·15대로 828-1
경상남도 창원마산회원구 회성동,463-10,463,10,대송그린빌라트,62.64,201707,26,"         9,000",2,2003,회성남18길 9
경상남도 창원마산회원구 회성동,463-10,463,10,대송그린빌라트,62.64,201708,25,"        11,000",4,2003,회성남18길 9
경상남도 창원마산회원구 회성동,463-10,463,10,대송그린빌라트,47.69,201802,22,"         8,200",2,2003,회성남18길 9
경상남도 창원마산회원구 회원동,68-4,68,4,신안 시티텔,25.9,201707,4,"         3,780",10,2002,3·15대로 488
경상남도 창원마산회원구 회원동,68-4,68,4,신안 시티텔,32.81,201804,18,"         4,800",6,2002,3·15대로 488
경상남도 창원마산회원구 회원동,61-2,61,2,회원동신화하니엘,54.96,201708,12,"        15,200",16,2016, 
