□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20190701 ~ 20200630,,,,,,,,,,,
실거래 구분 : 오피스텔(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원진해구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원진해구 경화동,900,900,0,	(900)	,65.87,201908,16,"        15,000",8,2013,진해대로694번길 24
경상남도 창원진해구 경화동,871-3,871,3,(871-3),80.55,201907,1,"        20,000",3,2017,충장로345번길 48-9
경상남도 창원진해구 경화동,871-3,871,3,(871-3),80.55,201907,5,"        23,000",3,2017,충장로345번길 48-9
경상남도 창원진해구 경화동,908,908,0,경화 보람 아름채 city,74.9,201912,20,"        15,000",2,,병암로45번길 13-18
경상남도 창원진해구 경화동,1153-14,1153,14,하이존텔4차,31.56,202004,2,"         3,000",2,2005,충장로273번길 16
경상남도 창원진해구 광화동,26,26,0,진해미진이지비아,26.04,202001,6,"         5,400",8,2014,중원동로 33
경상남도 창원진해구 광화동,26,26,0,진해미진이지비아,28.26,202002,28,"         5,300",2,2014,중원동로 33
경상남도 창원진해구 대죽동,41-4,41,4,미성빌리지4차,83.52,201910,18,"        13,500",6,2015,태평로 150
경상남도 창원진해구 속천동,7,7,0,진해유진에코블루스카이,29.69,202001,2,"         5,800",16,2015, 
경상남도 창원진해구 속천동,7,7,0,진해유진에코블루스카이,29.69,202002,15,"         6,200",10,2015, 
경상남도 창원진해구 숭인동,3,3,0,아델펠리스,83.1,202006,23,"         9,300",2,,중원로9번길 6
경상남도 창원진해구 숭인동,3,3,0,아델펠리스,83.1,202006,23,"         9,300",2,,중원로9번길 6
경상남도 창원진해구 여좌동,760-56,760,56,동원베이힐즈,64.5,201912,27,"        19,200",9,2017, 
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,33.93,201912,5,"         3,600",7,2003,용원남로7번길 16
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,26.55,201912,20,"         3,200",5,2003,용원남로7번길 16
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,33.93,201912,20,"         3,500",10,2003,용원남로7번길 16
경상남도 창원진해구 익선동,7-1,7,1,주건축물제1동,52.34,202002,11,"         9,600",6,2018,편백로14번길 6
경상남도 창원진해구 충무동,28-26,28,26,하이존텔2,42.16,201912,24,"         3,800",4,2002,충장로176번길 17
경상남도 창원진해구 태평동,22-1,22,1,태평로얄스톤아파트,84.53,202002,25,"        16,000",2,2018,태평로 10
경상남도 창원진해구 태평동,22-1,22,1,태평로얄스톤아파트,82.68,202004,8,"        15,000",2,2018,태평로 10
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,49.5,201910,11,"         2,550",3,2003,천자로413번길 5
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,49.5,201910,11,"         2,550",3,2003,천자로413번길 5
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,36.9,202004,29,"         3,000",5,2003,천자로413번길 5
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201907,28,"         2,500",3,2005,편백로8번길 3-2
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201908,28,"         3,200",5,2005,편백로8번길 3-2
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201911,12,"         2,500",7,2005,편백로8번길 3-2
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,202002,13,"         2,500",3,2005,편백로8번길 3-2
