□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,,
실거래 구분 : 오피스텔(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원마산합포구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산합포구 산호동,316-6,316,6,상신크루지움 오피스텔,23.92,201804,25,"         8,726",11,2015,합포로 162
경상남도 창원마산합포구 산호동,316-6,316,6,상신크루지움 오피스텔,23.92,201804,25,"         8,653",7,2015,합포로 162
경상남도 창원마산합포구 산호동,316-6,316,6,상신크루지움 오피스텔,23.92,201804,25,"         8,653",7,2015,합포로 162
경상남도 창원마산합포구 상남동,105-14,105,14,선우아트빌,35.25,201711,3,"         3,250",4,2005,노산남7길 25
경상남도 창원마산합포구 상남동,105-14,105,14,선우아트빌,35.92,201711,3,"         3,250",6,2005,노산남7길 25
경상남도 창원마산합포구 상남동,105-14,105,14,선우아트빌,33.06,201805,2,"         3,800",8,2005,노산남7길 25
경상남도 창원마산합포구 서성동,83-12,83,12,	(83-12)	,29.05,201707,14,"         3,300",5,2003,동서남1길 16
경상남도 창원마산합포구 서성동,83-12,83,12,	(83-12)	,29.05,201802,3,"         4,200",6,2003,동서남1길 16
경상남도 창원마산합포구 서성동,83-12,83,12,	(83-12)	,29.05,201802,21,"         4,100",6,2003,동서남1길 16
경상남도 창원마산합포구 서성동,83-12,83,12,	(83-12)	,29.05,201804,16,"         4,400",5,2003,동서남1길 16
경상남도 창원마산합포구 신포동2가,85-6,85,6,기전씨티텔,37.08,201806,8,"         5,500",6,1998,동서동2길 41
경상남도 창원마산합포구 신포동2가,1-6,1,6,신포동  이담채,74.17,201801,19,"        16,000",2,2016,합포로 17
경상남도 창원마산합포구 오동동,17-135,17,135,가고파오피스텔,49.82,201804,13,"         4,150",6,1991,오동동10길 56
경상남도 창원마산합포구 오동동,17-150,17,150,삼광프리존,27.01,201711,13,"         4,750",11,2003,합포로 102
경상남도 창원마산합포구 오동동,17-150,17,150,삼광프리존,27.01,201805,10,"         4,200",11,2003,합포로 102
경상남도 창원마산합포구 오동동,316-1,316,1,상지솔리움,24.58,201804,23,"         3,050",12,2003,해안대로 389
경상남도 창원마산합포구 오동동,316-1,316,1,상지솔리움,24.58,201805,13,"         2,900",11,2003,해안대로 389
경상남도 창원마산합포구 오동동,322,322,0,중앙마린파이브,31.95,201710,30,"         9,620",3,2014,오동동14길 67
경상남도 창원마산합포구 오동동,322,322,0,중앙마린파이브,40.92,201806,20,"        10,900",3,2014,오동동14길 67
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,201708,7,"         9,000",4,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,201806,22,"         9,299",6,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,201806,22,"         9,299",6,,해안대로 376
경상남도 창원마산합포구 월남동2가,4-1,4,1,씨티빌오피스텔,19.8,201710,31,"         2,650",7,2002,3·15대로 77
경상남도 창원마산합포구 월남동2가,4-1,4,1,씨티빌오피스텔,19.8,201711,22,"         2,650",9,2002,3·15대로 77
경상남도 창원마산합포구 월남동2가,4-1,4,1,씨티빌오피스텔,19.8,201806,9,"         2,100",12,2002,3·15대로 77
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,24.1,201707,10,"         6,450",6,2003,3·15대로 47
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,24.1,201710,25,"         6,200",9,2003,3·15대로 47
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,24.1,201712,31,"         6,275",11,2003,3·15대로 47
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,25.18,201803,5,"         6,200",11,2003,3·15대로 47
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,25.18,201803,28,"         5,800",5,2003,3·15대로 47
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,35.44,201806,15,"         6,900",12,2003,3·15대로 47
경상남도 창원마산합포구 월남동4가,3-2,3,2,장원빌딩,30,201711,20,"         5,500",7,2004,3·15대로 34
경상남도 창원마산합포구 월남동4가,3-2,3,2,장원빌딩,30,201804,18,"         6,100",6,2004,3·15대로 34
경상남도 창원마산합포구 월남동4가,3-2,3,2,장원빌딩,30,201806,30,"         6,000",9,2004,3·15대로 34
경상남도 창원마산합포구 월영동,275-4,275,4,동방하이얏트오피스텔,21.6,201710,31,"         2,950",3,2002,문화남11길 144
경상남도 창원마산합포구 월영동,275-4,275,4,동방하이얏트오피스텔,21.6,201710,31,"         2,950",4,2002,문화남11길 144
경상남도 창원마산합포구 월영동,275-4,275,4,동방하이얏트오피스텔,21.6,201712,3,"         3,150",2,2002,문화남11길 144
경상남도 창원마산합포구 월영동,275-4,275,4,동방하이얏트오피스텔,21.6,201712,13,"         2,900",5,2002,문화남11길 144
경상남도 창원마산합포구 월영동,275-4,275,4,동방하이얏트오피스텔,21.6,201804,19,"         1,850",6,2002,문화남11길 144
경상남도 창원마산합포구 월영동,275-4,275,4,동방하이얏트오피스텔,21.6,201804,19,"         1,850",6,2002,문화남11길 144
경상남도 창원마산합포구 월영동,598-5,598,5,월영동 에드텔,29.25,201709,27,"         3,450",7,2000,밤밭고개로 395
경상남도 창원마산합포구 월영동,598-5,598,5,월영동 에드텔,29.25,201803,20,"         2,100",8,2000,밤밭고개로 395
경상남도 창원마산합포구 월영동,598-5,598,5,월영동 에드텔,29.25,201804,2,"         3,500",4,2000,밤밭고개로 395
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,23.69,201801,24,"         2,625",3,2003,문신길 78
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,28.27,201801,24,"         3,100",3,2003,문신길 78
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,44.99,201801,24,"         4,926",3,2003,문신길 78
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,23.69,201801,24,"         2,625",3,2003,문신길 78
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,22.6,201801,24,"         2,474",3,2003,문신길 78
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,23.69,201801,24,"         2,625",3,2003,문신길 78
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,23.69,201801,24,"         2,625",3,2003,문신길 78
경상남도 창원마산합포구 자산동,302-38,302,38,형제샘터마을,29.88,201712,11,"         5,000",7,2003,자산삼거리로 2-1
경상남도 창원마산합포구 자산동,302-38,302,38,형제샘터마을,29.82,201805,8,"         4,600",8,2003,자산삼거리로 2-1
경상남도 창원마산합포구 중앙동3가,4-192,4,192,리베로오피스텔,22.62,201707,29,"         4,150",4,2003,중앙북7길 7
경상남도 창원마산합포구 중앙동3가,4-192,4,192,리베로오피스텔,22.62,201710,23,"         3,900",6,2003,중앙북7길 7
경상남도 창원마산합포구 중앙동3가,4-192,4,192,리베로오피스텔,22.71,201712,8,"         4,050",3,2003,중앙북7길 7
경상남도 창원마산합포구 중앙동3가,4-192,4,192,리베로오피스텔,22.62,201712,28,"         3,800",2,2003,중앙북7길 7
경상남도 창원마산합포구 중앙동3가,4-192,4,192,리베로오피스텔,22.62,201803,19,"         3,000",5,2003,중앙북7길 7
경상남도 창원마산합포구 중앙동3가,4-192,4,192,리베로오피스텔,22.62,201803,19,"         3,000",5,2003,중앙북7길 7
