□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20190701 ~ 20200630,,,,,,,,,,,
실거래 구분 : 오피스텔(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원마산회원구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 구암동,78-5,78,5,더 마크원 오피스텔,26.04,202001,16,"         8,100",14,2018, 
경상남도 창원마산회원구 구암동,78-5,78,5,더 마크원 오피스텔,26.04,202001,16,"         8,100",14,2018, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201910,26,"         7,450",4,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,202001,29,"         7,450",2,2015, 
경상남도 창원마산회원구 내서읍 호계리,296,296,0,내서 신화하니엘 더시티,52.48,201908,5,"        14,000",7,,호원로 223
경상남도 창원마산회원구 내서읍 호계리,296,296,0,내서 신화하니엘 더시티,52.48,202001,29,"        12,900",11,,호원로 223
경상남도 창원마산회원구 석전동,222-8,222,8,	(222-8)	,39.6,202002,18,"         4,900",4,2000,석전동15길 39
경상남도 창원마산회원구 석전동,223-2,223,2,석전동 다움 아파트,84.62,201911,28,"        19,000",8,2017,석전동15길 40
경상남도 창원마산회원구 석전동,223-2,223,2,석전동 다움 아파트,84.62,202003,20,"        19,500",7,2017,석전동15길 40
경상남도 창원마산회원구 양덕동,163-17,163,17,대력베스트빌,38.52,201911,12,"         6,000",10,2003,양덕동2길 17
경상남도 창원마산회원구 양덕동,163-17,163,17,대력베스트빌,38.52,202001,17,"         6,300",4,2003,양덕동2길 17
경상남도 창원마산회원구 양덕동,163-17,163,17,대력베스트빌,26.98,202001,21,"         3,000",11,2003,양덕동2길 17
경상남도 창원마산회원구 양덕동,163-17,163,17,대력베스트빌,38.52,202004,14,"         5,700",12,2003,양덕동2길 17
경상남도 창원마산회원구 양덕동,163-17,163,17,대력베스트빌,26.98,202004,20,"         4,600",13,2003,양덕동2길 17
경상남도 창원마산회원구 양덕동,163-17,163,17,대력베스트빌,26.98,202005,18,"         5,100",9,2003,양덕동2길 17
경상남도 창원마산회원구 양덕동,163-17,163,17,대력베스트빌,26.52,202005,26,"         4,500",11,2003,양덕동2길 17
경상남도 창원마산회원구 양덕동,163-17,163,17,대력베스트빌,36.36,202005,28,"         5,700",8,2003,양덕동2길 17
경상남도 창원마산회원구 양덕동,174-48,174,48,동원에코빌,43.45,201912,27,"         8,000",8,2013,양덕로 13
경상남도 창원마산회원구 양덕동,174-48,174,48,동원에코빌,30.19,202006,22,"         7,500",7,2013,양덕로 13
경상남도 창원마산회원구 양덕동,153-14,153,14,리첸시아,31.5,201907,16,"         4,100",5,2003,봉양로 13
경상남도 창원마산회원구 양덕동,153-14,153,14,리첸시아,35.19,201912,11,"         6,000",5,2003,봉양로 13
