시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산합포구 오동동,214-7,214,7,고려타워,41.27,202004,23,"         8,000",11,2018,문화의길 15
경상남도 창원마산합포구 오동동,214-7,214,7,고려타워,41.27,202004,23,"         8,100",16,2018,문화의길 15
경상남도 창원마산합포구 오동동,214-7,214,7,고려타워,41.27,202004,23,"         8,000",11,2018,문화의길 15
경상남도 창원마산합포구 오동동,214-7,214,7,고려타워,41.27,202004,23,"         8,000",11,2018,문화의길 15
경상남도 창원마산합포구 오동동,214-7,214,7,고려타워,28.56,202005,12,"         5,400",13,2018,문화의길 15
경상남도 창원마산합포구 오동동,214-7,214,7,고려타워,28.56,202005,22,"         5,400",11,2018,문화의길 15
경상남도 창원마산합포구 오동동,214-7,214,7,고려타워,28.56,202006,2,"         5,400",9,2018,문화의길 15
경상남도 창원마산합포구 오동동,214-7,214,7,고려타워,28.56,202006,5,"         5,400",9,2018,문화의길 15
경상남도 창원마산합포구 오동동,214-7,214,7,고려타워,28.56,202006,17,"         5,700",17,2018,문화의길 15
경상남도 창원마산합포구 오동동,214-7,214,7,고려타워,28.56,202006,19,"         5,700",17,2018,문화의길 15
경상남도 창원마산합포구 오동동,17-150,17,150,삼광프리존,27.01,202002,4,"         4,100",10,2003,합포로 102
경상남도 창원마산합포구 오동동,17-150,17,150,삼광프리존,27.01,202004,13,"         3,000",7,2003,합포로 102
경상남도 창원마산합포구 오동동,316-1,316,1,상지솔리움,24.58,201908,31,"         2,700",11,2003,해안대로 389
경상남도 창원마산합포구 오동동,316-1,316,1,상지솔리움,24.58,201909,5,"         2,700",12,2003,해안대로 389
경상남도 창원마산합포구 오동동,316-1,316,1,상지솔리움,24.58,202002,12,"         2,650",13,2003,해안대로 389
경상남도 창원마산합포구 오동동,316-1,316,1,상지솔리움,24.58,202002,13,"         2,700",13,2003,해안대로 389
경상남도 창원마산합포구 오동동,316-1,316,1,상지솔리움,24.58,202003,10,"         2,800",10,2003,해안대로 389
경상남도 창원마산합포구 오동동,316-1,316,1,상지솔리움,22.27,202004,3,"         2,600",12,2003,해안대로 389
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,201909,5,"         4,374",3,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,201909,5,"         4,456",8,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,201910,25,"         4,456",7,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,25.54,201912,9,"         6,500",8,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,201912,17,"         4,199",4,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,201912,17,"         4,140",4,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,201912,17,"         4,140",3,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,201912,17,"         4,140",4,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,22.47,201912,17,"         3,800",4,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,22.47,201912,17,"         3,800",5,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,201912,17,"         4,140",4,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,22.47,201912,17,"         3,800",4,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,201912,17,"         4,140",3,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,201912,17,"         4,140",3,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,201912,17,"         4,140",3,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,201912,17,"         4,140",3,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,201912,17,"         4,140",3,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,201912,17,"         4,140",3,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,22.47,201912,17,"         4,220",5,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,25.54,201912,17,"         4,280",5,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,201912,17,"         4,209",4,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,25.54,201912,18,"         4,911",9,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,22.47,201912,24,"         3,916",9,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,25.54,201912,26,"         4,280",4,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,25.54,201912,30,"         4,051",7,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,25.54,202002,19,"         4,280",7,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,22.47,202002,19,"         3,800",3,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,42.99,202003,30,"         7,480",9,,해안대로 376
경상남도 창원마산합포구 오동동,318-1,318,1,포세이돈하우스,24.74,202004,6,"         4,140",4,,해안대로 376
경상남도 창원마산합포구 월남동2가,4-1,4,1,씨티빌오피스텔,19.8,201907,1,"         2,100",10,2002,3·15대로 77
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,25.18,201907,20,"         5,450",13,2003,3·15대로 47
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,24.1,201908,26,"         4,100",4,2003,3·15대로 47
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,25.18,201910,18,"         5,650",9,2003,3·15대로 47
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,24.1,201911,2,"         5,700",10,2003,3·15대로 47
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,24.1,201912,4,"         5,200",5,2003,3·15대로 47
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,25.18,201912,28,"         5,100",3,2003,3·15대로 47
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,25.18,202001,4,"         5,500",6,2003,3·15대로 47
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,24.1,202001,18,"         5,300",3,2003,3·15대로 47
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,25.18,202003,7,"         5,800",11,2003,3·15대로 47
경상남도 창원마산합포구 월남동4가,3-2,3,2,장원빌딩,30,201908,4,"         5,500",8,2004,3·15대로 34
경상남도 창원마산합포구 월남동4가,3-2,3,2,장원빌딩,30,201912,4,"         5,000",8,2004,3·15대로 34
경상남도 창원마산합포구 월남동4가,3-2,3,2,장원빌딩,31.39,202003,18,"         5,500",8,2004,3·15대로 34
경상남도 창원마산합포구 월남동4가,3-2,3,2,장원빌딩,30,202004,15,"         6,000",6,2004,3·15대로 34
경상남도 창원마산합포구 월영동,275-4,275,4,동방하이얏트오피스텔,21.6,201910,29,"         1,500",1,2002,문화남11길 144
경상남도 창원마산합포구 월영동,275-4,275,4,동방하이얏트오피스텔,21.6,202001,17,"         2,000",3,2002,문화남11길 144
경상남도 창원마산합포구 월영동,275-4,275,4,동방하이얏트오피스텔,21.6,202005,12,"         2,000",4,2002,문화남11길 144
경상남도 창원마산합포구 월영동,598-5,598,5,월영동 에드텔,29.25,201909,18,"         2,900",8,2000,밤밭고개로 395
경상남도 창원마산합포구 월영동,598-5,598,5,월영동 에드텔,29.25,202001,18,"         2,600",10,2000,밤밭고개로 395
경상남도 창원마산합포구 월포동,2-12,2,12,시티파크,44.55,202003,5,"         6,500",2,2011,반월동6길 12-13
경상남도 창원마산합포구 월포동,2-12,2,12,시티파크,49.56,202005,6,"         7,000",2,2011,반월동6길 12-13
경상남도 창원마산합포구 자산동,302-38,302,38,형제샘터마을,29.82,202003,13,"         3,800",9,2003,자산삼거리로 2-1
경상남도 창원마산합포구 자산동,302-38,302,38,형제샘터마을,20.52,202006,3,"         2,000",4,2003,자산삼거리로 2-1
경상남도 창원마산합포구 자산동,302-38,302,38,형제샘터마을,29.88,202006,8,"         3,000",7,2003,자산삼거리로 2-1
경상남도 창원마산합포구 중앙동3가,4-192,4,192,리베로오피스텔,22.62,201908,14,"         3,200",5,2003,중앙북7길 7
경상남도 창원마산합포구 중앙동3가,4-192,4,192,리베로오피스텔,19.74,202005,18,"         3,000",6,2003,중앙북7길 7
경상남도 창원마산합포구 창동,3-1,3,1,창동 오피스텔,34.37,201909,26,"         3,600",8,2003,북성로 5
경상남도 창원마산합포구 창동,3-1,3,1,창동 오피스텔,36.11,202005,4,"         3,600",6,2003,북성로 5
경상남도 창원마산합포구 창포동3가,4-4,4,4,창포 프리텔,28.56,201912,21,"         4,300",1,2002,문화동11길 14
경상남도 창원마산합포구 창포동3가,4-4,4,4,창포 프리텔,28.56,202001,7,"         4,600",3,2002,문화동11길 14
경상남도 창원마산합포구 해운동,58-3,58,3,경민시티텔,37.36,201908,1,"         3,950",8,1998,해안대로 97
경상남도 창원마산합포구 해운동,58-3,58,3,경민시티텔,37.36,202006,25,"         4,700",10,1998,해안대로 97
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201907,15,"         2,950",12,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,21.44,201908,12,"         2,350",12,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201908,12,"         3,000",7,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201909,26,"         4,050",9,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,21.44,201910,8,"         2,800",12,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,21.44,201910,8,"         2,900",15,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201911,9,"         2,830",15,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201912,10,"         2,650",15,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,27.39,201912,21,"         3,000",7,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201912,27,"         3,950",11,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,21.44,202001,9,"         2,450",15,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,23.45,202002,7,"         2,850",11,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,202003,23,"         3,430",7,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,42.83,202005,21,"         4,600",11,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,202006,12,"         2,600",9,1999,해안대로 15
경상남도 창원마산합포구 해운동,67-17,67,17,아카데미텔,23.04,202005,1,"         1,680",5,1997,월영동북로 12
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201908,8,"         3,980",10,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201908,26,"         4,080",7,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201910,3,"         4,050",8,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,34.39,201910,10,"         4,400",6,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,34.39,201910,10,"         4,850",7,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201912,5,"         4,000",8,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,202002,6,"         4,200",11,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,202002,9,"         3,950",6,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,26.04,202003,30,"         4,480",10,2003,월영동로 7
경상남도 창원마산합포구 해운동,65-2,65,2,한백마이존,26.4,201910,14,"         2,450",5,1999,월영동13길 9
경상남도 창원마산합포구 해운동,65-2,65,2,한백마이존,28,201912,10,"         3,800",4,1999,월영동13길 9
경상남도 창원마산합포구 해운동,65-2,65,2,한백마이존,26.4,202001,16,"         3,150",9,1999,월영동13길 9
경상남도 창원마산합포구 해운동,65-2,65,2,한백마이존,26.4,202001,16,"         2,500",9,1999,월영동13길 9
경상남도 창원마산합포구 홍문동,12-1,12,1,	(주)상신기업	,23.31,202003,3,"         6,700",4,2012,문화남11길 7
