NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 의창구 북면 무동리,124-1,0124,0001,창원무동센텀파라디아,59.9932,202112,31,"23,000",-,7,-,-,2018,무동서로 24,-,중개거래,경남 창원의창구,-,아파트
2,경상남도 창원시 의창구 동읍 용잠리,372-1,0372,0001,원창호수,65.1600,202112,31,"8,500",-,6,-,-,2001,의창대로 856,-,중개거래,경남 창원의창구,-,아파트
3,경상남도 창원시 의창구 북면 신촌리,960-1,0960,0001,신한2,84.8700,202112,31,"12,000",-,1,-,-,1998,천주로 1103,-,직거래,-,-,아파트
4,경상남도 창원시 의창구 도계동,415-5,0415,0005,영남양지맨션,84.7400,202112,31,"16,800",-,2,-,-,1992,도계로95번길 14-16,-,중개거래,경남 창원의창구,-,아파트
5,경상남도 창원시 의창구 북면 무동리,122-1,0122,0001,휴먼빌2단지,84.9900,202112,31,"23,400",-,2,-,-,2013,동곡로 35,-,중개거래,경남 창원의창구,-,아파트
6,경상남도 창원시 의창구 북면 무동리,124-1,0124,0001,창원무동센텀파라디아,59.9932,202112,31,"21,500",-,4,-,-,2018,무동서로 24,-,중개거래,경남 창원의창구,-,아파트
7,경상남도 창원시 의창구 팔용동,125,0125,0000,벽산블루밍C단지,59.9700,202112,30,"29,500",-,9,-,-,1999,남산로 20,-,중개거래,경남 창원의창구,-,아파트
8,경상남도 창원시 의창구 팔용동,125,0125,0000,벽산블루밍C단지,59.9700,202112,30,"29,500",-,9,-,-,1999,남산로 20,20220111,중개거래,경남 창원의창구,-,아파트
9,경상남도 창원시 의창구 북면 감계리,227-1,0227,0001,창원감계힐스테이트3차,84.7702,202112,30,"34,800",-,8,-,-,2014,감계로 259,-,중개거래,경남 창원성산구 경남 창원의창구,-,아파트
10,경상남도 창원시 의창구 동정동,536-2,0536,0002,남아그린타워,59.9650,202112,30,"12,300",-,15,-,-,1997,동정길 7,-,중개거래,경남 창원성산구 경남 창원의창구,-,아파트
11,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트아티움시티,84.8605,202112,30,"69,900",-,34,-,-,2020,창원대로397번길 11,-,중개거래,경남 창원성산구,-,아파트
12,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,59.8956,202112,30,"28,650",-,5,-,-,2019,감계로 342,-,중개거래,경남 창원의창구,-,아파트
13,경상남도 창원시 의창구 도계동,319-3,0319,0003,청호,59.3550,202112,30,"10,600",-,7,-,-,1995,하남천서길 67,-,중개거래,경남 창원성산구 경남 창원의창구,-,아파트
14,경상남도 창원시 의창구 동읍 용정리,19-3,0019,0003,성진까치빌라1,59.6100,202112,29,"4,800",-,2,-,-,1992,단계로 84,-,중개거래,경남 창원의창구,-,아파트
15,경상남도 창원시 의창구 동읍 송정리,23-8,0023,0008,동부산훼미리타운4차,71.6916,202112,29,"10,200",-,9,-,-,1999,자여로65번길 14,-,중개거래,경남 창원의창구,-,아파트
16,경상남도 창원시 의창구 서상동,11-5,0011,0005,무학서문마을,66.5400,202112,29,"18,000",-,10,-,-,1999,서상로12번길 83-15,-,중개거래,경남 창원의창구,-,아파트
17,경상남도 창원시 의창구 도계동,408-4,0408,0004,화목그린타워,59.9400,202112,29,"13,700",-,6,-,-,2002,태복산로15번길 36,-,중개거래,경남 창원의창구,-,아파트
18,경상남도 창원시 의창구 북면 무동리,104-1,0104,0001,창원무동STX칸1차,59.9900,202112,28,"20,800",-,6,-,-,2015,무동서로 76,-,중개거래,경남 창원의창구,-,아파트
19,경상남도 창원시 의창구 팔용동,124-1,0124,0001,극동,59.3400,202112,28,"16,300",-,6,-,-,1994,팔용로 446,-,직거래,-,-,아파트
20,경상남도 창원시 의창구 북면 감계리,230-1,0230,0001,창원감계힐스테이트1차,84.9601,202112,28,"36,000",-,10,-,-,2014,동전로 86,-,중개거래,경남 창원의창구,-,아파트
21,경상남도 창원시 의창구 북면 감계리,225-1,0225,0001,창원감계힐스테이트4차,84.9743,202112,27,"36,800",-,21,-,-,2017,감계로 233,-,중개거래,경남 창원성산구 경남 창원의창구,-,아파트
22,경상남도 창원시 의창구 북면 무동리,144-1,0144,0001,휴먼빌3단지,59.9750,202112,27,"20,500",-,9,-,-,2014,무동로226번길 19,-,중개거래,경남 창원의창구,-,아파트
23,경상남도 창원시 의창구 북면 무동리,155-1,0155,0001,창원무동STX칸2차,84.9900,202112,27,"22,900",-,14,-,-,2015,무동로267번길 10,-,중개거래,경남 창원의창구,-,아파트
24,경상남도 창원시 의창구 도계동,315-1,0315,0001,수림맨션,76.4500,202112,27,"11,000",-,4,-,-,1990,도계두리길 82,-,중개거래,경남 창원의창구,-,아파트
25,경상남도 창원시 의창구 도계동,326-1,0326,0001,강남프라자,57.2400,202112,27,"11,000",-,3,-,-,1995,하남천서길5번길 13,-,중개거래,경남 창원의창구,-,아파트
