NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 마산합포구 진동면 진동리,424,0424,0000,마산진동협성엠파이어,59.9250,202312,30,"16,000",101,2,-,-,2014,진북산업로 55,-,중개거래,경남 창원시마산합포구,24.02.19,아파트
2,경상남도 창원시 마산합포구 창포동3가,6-1,0006,0001,리치클하우스,18.2280,202312,29,"5,000",-,9,-,-,2011,문화동12길 16,-,중개거래,경남 창원마산합포구,23.12.29,아파트
3,경상남도 창원시 마산합포구 자산동,26-19,0026,0019,자산코랄하우스,164.2676,202312,29,"27,700",-,7,-,-,2010,자산서10길 56,-,중개거래,경남 창원마산합포구,24.01.31,아파트
4,경상남도 창원시 마산합포구 월영동,738,0738,0000,마린애시앙부영,149.4602,202312,28,"54,400",111동,15,-,-,2019,가포순환로 33,-,중개거래,경남 창원마산합포구,24.01.04,아파트
5,경상남도 창원시 마산합포구 완월동,218-1,0218,0001,완월경남,84.9000,202312,28,"11,500",2,3,-,-,1984,장장군로 3,-,중개거래,경남 창원마산합포구,24.01.31,아파트
6,경상남도 창원시 마산합포구 창포동2가,1-31,0001,0031,영생,59.5000,202312,27,"8,000",-,1,-,-,1979,문화동9길 8,-,직거래,-,24.01.10,아파트
7,경상남도 창원시 마산합포구 산호동,646,0646,0000,산호경동리인,68.0029,202312,27,"26,800",103,22,-,-,2018,산호동로 12,-,중개거래,경남 창원시마산합포구,24.04.01,아파트
8,경상남도 창원시 마산합포구 진동면 진동리,400,0400,0000,성원이화맨션,69.2550,202312,26,"6,500",A,5,-,-,1990,서동촌길 38,-,중개거래,경남 창원시마산합포구,24.02.26,아파트
9,경상남도 창원시 마산합포구 월영동,710-1,0710,0001,현대5,114.2400,202312,26,"27,000",504,16,-,-,1998,월영마을로 52,-,중개거래,경남 창원마산합포구,23.12.29,아파트
10,경상남도 창원시 마산합포구 중앙동3가,4-348,0004,0348,목화,105.3100,202312,26,"14,500",-,5,-,-,1992,중앙북7길 34,-,중개거래,경남 창원마산합포구,24.01.19,아파트
11,경상남도 창원시 마산합포구 완월동,421,0421,0000,청구제네스,119.0800,202312,26,"22,000",102,21,-,-,2002,완월남로 45,-,중개거래,경남 창원마산합포구,24.01.26,아파트
12,경상남도 창원시 마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,84.9918,202312,26,"29,800",202,4,-,-,2009,노산서18길 142,-,중개거래,경남 창원마산합포구,24.01.15,아파트
13,경상남도 창원시 마산합포구 창포동3가,8-2,0008,0002,롯데빌리지,32.3270,202312,26,"8,000",-,3,-,-,2004,문화동15길 25,-,중개거래,경남 창원마산합포구,24.01.29,아파트
14,경상남도 창원시 마산합포구 해운동,47,0047,0000,평화리버타운,29.4400,202312,24,"6,800",-,16,-,-,1999,월영동11길 29,-,중개거래,경남 창원마산합포구,24.01.15,아파트
15,경상남도 창원시 마산합포구 현동,700,0700,0000,중흥S클래스프라디움3차,105.3198,202312,24,"38,200",309동,24,-,-,2017,현동1길 8,-,중개거래,경남 창원마산합포구,24.01.11,아파트
16,경상남도 창원시 마산합포구 산호동,644,0644,0000,산호베스티움,83.1912,202312,23,"31,500",101동,25,-,-,2016,회원천북길 491,-,중개거래,경남 창원마산회원구,24.01.29,아파트
17,경상남도 창원시 마산합포구 월영동,708-1,0708,0001,현대3,59.9800,202312,23,"17,200",302,17,-,-,1998,월영마을로 27,-,중개거래,경남 창원마산합포구,23.12.29,아파트
18,경상남도 창원시 마산합포구 진동면 진동리,424,0424,0000,마산진동협성엠파이어,59.9250,202312,23,"15,500",102,2,-,-,2014,진북산업로 55,-,중개거래,경남 창원시마산합포구,24.02.16,아파트
19,경상남도 창원시 마산합포구 진동면 진동리,424,0424,0000,마산진동협성엠파이어,84.9789,202312,23,"20,000",105,9,-,-,2014,진북산업로 55,-,중개거래,경남 창원마산합포구,23.12.27,아파트
20,경상남도 창원시 마산합포구 자산동,325-10,0325,0010,우성,59.9100,202312,23,"10,700",1,3,-,-,1987,무학로 378,-,중개거래,경남 창원시마산합포구,24.03.05,아파트
21,경상남도 창원시 마산합포구 교원동,46,0046,0000,무학자이,84.9877,202312,23,"34,500",101,17,-,-,2011,노산서18길 19,-,중개거래,"경남 창원시마산합포구, 경남 창원시마산회원구",24.02.19,아파트
22,경상남도 창원시 마산합포구 월영동,705-2,0705,0002,현대2,84.9100,202312,23,"23,000",202,6,-,-,1998,월영마을로 7,-,중개거래,경남 창원시마산합포구,24.03.26,아파트
23,경상남도 창원시 마산합포구 완월동,330,0330,0000,대광품안애,84.6500,202312,23,"13,500",-,3,-,-,2016,완월남14길 26,-,중개거래,경남 창원시 마산합포구,24.01.22,아파트
24,경상남도 창원시 마산합포구 월영동,710-1,0710,0001,현대5,59.9800,202312,22,"13,000",503,11,-,-,1998,월영마을로 52,-,중개거래,경남 창원시마산합포구,24.02.22,아파트
25,경상남도 창원시 마산합포구 자산동,15-1,0015,0001,팔도맨션,71.0100,202312,22,"11,000",-,15,-,-,1995,자산삼거리로 97,-,중개거래,경남 창원시 마산합포구,24.02.23,아파트
26,경상남도 창원시 마산합포구 현동,210,0210,0000,중흥S클래스프라디움1차,84.9900,202312,21,"22,500",103,5,-,-,2014,현동4길 20,-,중개거래,경남 창원시마산합포구,24.02.29,아파트
27,경상남도 창원시 마산합포구 해운동,50,0050,0000,두산2,84.8400,202312,21,"20,300",207,5,-,-,1993,월영동로 19,-,직거래,-,23.12.22,아파트
28,경상남도 창원시 마산합포구 교방동,354-3,0354,0003,대양파크맨션,72.0000,202312,21,"6,850",-,4,-,-,1986,회원서10길 87,-,중개거래,경남 창원시마산합포구,24.02.14,아파트
29,경상남도 창원시 마산합포구 교원동,46,0046,0000,무학자이,128.3853,202312,21,"47,500",107,19,-,-,2011,노산서18길 19,-,중개거래,경남 창원시마산합포구,24.02.19,아파트
