NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 의창구 북면 감계리,225-1,0225,0001,창원감계힐스테이트4차,101.9291,202412,31,"35,000",-,4,개인,개인,2017,감계로 233,-,중개거래,경남 창원시 의창구,-,아파트
2,경상남도 창원시 의창구 북면 감계리,225-1,0225,0001,창원감계힐스테이트4차,68.9762,202412,31,"24,000",-,21,개인,개인,2017,감계로 233,-,중개거래,경남 창원시 의창구,-,아파트
3,경상남도 창원시 의창구 동정동,277,0277,0000,흥한웰가,84.9100,202412,30,"33,700",-,6,개인,개인,2004,천주로 33,-,중개거래,경남 창원시 의창구,-,아파트
4,경상남도 창원시 의창구 중동,788,0788,0000,창원중동유니시티4단지,84.7886,202412,28,"80,000",-,9,개인,개인,2019,중동로 78,-,중개거래,경남 창원시 의창구,-,아파트
5,경상남도 창원시 의창구 북면 신촌리,905-24,0905,0024,춘광2,57.9200,202412,28,"5,500",-,12,개인,개인,1995,신촌본포로 12-13,-,중개거래,경남 창원시 의창구,-,아파트
6,경상남도 창원시 의창구 중동,790,0790,0000,창원중동유니시티1단지,59.9816,202412,28,"59,500",-,18,개인,개인,2019,중동로 34,-,중개거래,경남 창원시 의창구,-,아파트
7,경상남도 창원시 의창구 동정동,256-2,0256,0002,팔도그린,58.6000,202412,28,"13,300",-,11,개인,개인,1995,천주로36번길 9,-,중개거래,경남 창원시 의창구,-,아파트
8,경상남도 창원시 의창구 중동,790,0790,0000,창원중동유니시티1단지,59.9816,202412,27,"60,000",-,29,개인,개인,2019,중동로 34,-,중개거래,경남 창원시 의창구,-,아파트
9,경상남도 창원시 의창구 동읍 용정리,20-13,0020,0013,성진까치빌라트5,57.2350,202412,26,"7,000",-,14,개인,개인,1997,용정길46번길 53,-,직거래,-,-,아파트
10,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,59.8956,202412,26,"26,700",-,17,개인,개인,2019,감계로 342,-,중개거래,경남 창원시 의창구,-,아파트
11,경상남도 창원시 의창구 북면 감계리,225-2,0225,0002,창원감계푸르지오,84.8853,202412,26,"30,500",-,8,개인,개인,2017,감계로 221,-,중개거래,경남 창원시 의창구,-,아파트
12,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,84.5002,202412,24,"34,562",-,10,개인,법인,2019,감계로 342,-,중개거래,경남 창원시 의창구,-,아파트
13,경상남도 창원시 의창구 팔용동,123-1,0123,0001,벽산블루밍A,59.9700,202412,23,"26,500",-,5,개인,개인,2000,반계로 104-9,-,중개거래,경남 창원시 의창구,-,아파트
14,경상남도 창원시 의창구 북면 무동리,122-1,0122,0001,휴먼빌2단지,59.9910,202412,21,"15,400",-,9,개인,개인,2013,동곡로 35,-,중개거래,경남 창원시 의창구,-,아파트
15,경상남도 창원시 의창구 북면 감계리,230-1,0230,0001,창원감계힐스테이트1차,84.9601,202412,21,"29,200",-,20,개인,개인,2014,동전로 86,-,중개거래,경남 창원시 의창구,-,아파트
16,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,70.5902,202412,21,"30,500",-,14,개인,개인,2019,감계로 342,-,중개거래,경남 창원시 의창구,-,아파트
17,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,59.8956,202412,21,"24,000",-,3,개인,개인,2019,감계로 342,-,중개거래,경남 창원시 의창구,-,아파트
18,경상남도 창원시 의창구 소답동,145-3,0145,0003,성진초원빌라,71.4300,202412,20,"8,000",-,5,개인,개인,1991,의안로56번길 46,-,중개거래,경남 창원시 의창구,-,아파트
19,경상남도 창원시 의창구 동읍 용잠리,250,0250,0000,삼진,52.1500,202412,20,"5,300",-,5,개인,개인,1989,의창대로915번길 8,-,직거래,-,-,아파트
20,경상남도 창원시 의창구 북면 신촌리,995-1,0995,0001,대호,59.8300,202412,20,"7,500",-,9,개인,개인,1998,천주로 1053,-,직거래,-,-,아파트
21,경상남도 창원시 의창구 팔용동,124-1,0124,0001,극동,84.8800,202412,20,"28,500",-,9,개인,개인,1994,팔용로 446,-,중개거래,"경남 김해시, 경남 창원시 의창구",-,아파트
22,경상남도 창원시 의창구 팔용동,122,0122,0000,벽산블루밍B,74.0100,202412,20,"31,700",-,13,개인,개인,1999,반계로 104-21,-,중개거래,경남 창원시 의창구,-,아파트
23,경상남도 창원시 의창구 북면 감계리,227-1,0227,0001,창원감계힐스테이트3차,84.7395,202412,20,"28,200",-,21,개인,개인,2014,감계로 259,-,중개거래,경남 창원시 의창구,-,아파트
24,경상남도 창원시 의창구 팔용동,122,0122,0000,벽산블루밍B,59.9700,202412,20,"27,250",-,9,개인,개인,1999,반계로 104-8,-,중개거래,경남 창원시 의창구,-,아파트
25,경상남도 창원시 의창구 북면 감계리,227-2,0227,0002,감계아내에코프리미엄1차,84.8042,202412,19,"27,500",-,6,개인,개인,2014,감계로 277,20241219,중개거래,경남 창원시 의창구,-,아파트
26,경상남도 창원시 의창구 북면 신촌리,561-1,0561,0001,신한그린파크맨션,59.7900,202412,19,"6,000",1,1,개인,개인,1994,천주로 1104,-,중개거래,경남 창원시 의창구,24.12.24,아파트
27,경상남도 창원시 의창구 북면 감계리,227-2,0227,0002,감계아내에코프리미엄1차,84.8042,202412,19,"27,500",-,6,개인,개인,2014,감계로 277,-,중개거래,경남 창원시 의창구,-,아파트
28,경상남도 창원시 의창구 봉곡동,66,0066,0000,늘푸른마을코오롱,59.3690,202412,18,"22,700",107,5,개인,개인,1999,서곡길 133,-,중개거래,경남 창원시 의창구,24.12.18,아파트
29,경상남도 창원시 의창구 도계동,319-2,0319,0002,초원빌라,69.6000,202412,18,"11,300",-,2,개인,개인,1992,도계두리길 120,-,중개거래,경남 창원시 의창구,-,아파트
30,경상남도 창원시 의창구 도계동,316-1,0316,0001,신세계맨션,84.8850,202412,17,"16,000",-,3,개인,개인,1992,도계두리길 96,-,중개거래,경남 창원시 의창구,-,아파트
31,경상남도 창원시 의창구 북면 무동리,104-1,0104,0001,창원무동STX칸1차,84.9900,202412,16,"21,000",-,13,개인,개인,2015,무동서로 76,-,중개거래,경남 창원시 의창구,-,아파트
32,경상남도 창원시 의창구 봉림동,715,0715,0000,엘에이치피닉스포레,121.9100,202412,16,"45,000",305,10,개인,개인,2011,대봉로 27,-,직거래,-,24.12.17,아파트
33,경상남도 창원시 의창구 팔용동,122,0122,0000,벽산블루밍B,84.9050,202412,16,"38,000",-,3,개인,개인,1999,반계로 104-21,-,중개거래,경남 창원시 의창구,-,아파트
34,경상남도 창원시 의창구 북면 신촌리,905-3,0905,0003,춘광1,59.9800,202412,16,"5,500",-,9,개인,개인,1992,신촌본포로 14,-,중개거래,경남 창원시 의창구,24.12.30,아파트
35,경상남도 창원시 의창구 동읍 용정리,20-13,0020,0013,성진까치빌라트5,57.2350,202412,16,"7,300",-,5,개인,개인,1997,용정길46번길 53,-,중개거래,경남 창원시 의창구,-,아파트
36,경상남도 창원시 의창구 북면 감계리,229-1,0229,0001,휴먼빌,84.9300,202412,15,"25,100",-,6,개인,개인,2014,감계로 297,-,중개거래,경남 창원시 의창구,-,아파트
37,경상남도 창원시 의창구 북면 감계리,229-1,0229,0001,휴먼빌,59.9700,202412,15,"21,500",-,6,개인,개인,2014,감계로 297,-,중개거래,경남 창원시 의창구,-,아파트
38,경상남도 창원시 의창구 중동,786,0786,0000,창원중동유니시티3단지,59.9622,202412,14,"59,000",-,22,개인,개인,2019,중동로 77,20241216,중개거래,경남 창원시 의창구,-,아파트
39,경상남도 창원시 의창구 북면 감계리,231-10,0231,0010,창원감계힐스테이트2차,70.1076,202412,14,"30,500",-,12,개인,개인,2017,감계로 341,-,중개거래,경남 창원시 의창구,-,아파트
40,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트아티움시티,84.8605,202412,14,"56,800",-,46,개인,개인,2020,창원대로397번길 11,-,중개거래,경남 창원시 의창구,-,아파트
41,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트아티움시티,84.6211,202412,14,"58,500",-,23,개인,개인,2020,창원대로397번길 11,-,중개거래,경남 창원시 의창구,-,아파트
42,경상남도 창원시 의창구 북면 감계리,229-1,0229,0001,휴먼빌,84.9500,202412,14,"26,000",-,18,개인,개인,2014,감계로 297,-,중개거래,경남 창원시 의창구,-,아파트
43,경상남도 창원시 의창구 중동,786,0786,0000,창원중동유니시티3단지,59.9622,202412,14,"59,000",-,22,개인,개인,2019,중동로 77,-,중개거래,경남 창원시 의창구,-,아파트
44,경상남도 창원시 의창구 소답동,112-1,0112,0001,영남보화맨션,57.7800,202412,14,"11,000",-,2,개인,개인,1993,의안로8번길 3,-,중개거래,경남 창원시 의창구,-,아파트
45,경상남도 창원시 의창구 팔용동,124-1,0124,0001,극동,59.3400,202412,13,"18,800",-,2,개인,개인,1994,팔용로 446,-,중개거래,경남 창원시 의창구,-,아파트
46,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트아티움시티,84.6211,202412,13,"55,500",-,36,개인,개인,2020,창원대로397번길 11,-,중개거래,경남 창원시 의창구,-,아파트
47,경상남도 창원시 의창구 북면 무동리,124-1,0124,0001,창원무동센텀파라디아,84.9972,202412,13,"31,200",-,8,개인,개인,2018,무동서로 24,-,중개거래,경남 창원시 의창구,-,아파트
48,경상남도 창원시 의창구 봉림동,715,0715,0000,엘에이치피닉스포레,121.9100,202412,13,"45,000",-,10,개인,개인,2011,대봉로 27,20241216,직거래,-,-,아파트
49,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트아티움시티,84.8605,202412,13,"52,200",-,23,개인,개인,2020,창원대로397번길 11,-,중개거래,경남 창원시 의창구,-,아파트
50,경상남도 창원시 의창구 팔용동,124-2,0124,0002,대동중앙,59.9200,202412,13,"19,700",-,9,개인,개인,1993,반계로 101,-,중개거래,"경남 창원시 마산합포구, 경남 창원시 의창구",-,아파트
51,경상남도 창원시 의창구 북면 무동리,124-1,0124,0001,창원무동센텀파라디아,84.9972,202412,13,"31,200",-,8,개인,개인,2018,무동서로 24,20241213,중개거래,경남 창원시 의창구,-,아파트
52,경상남도 창원시 의창구 소답동,110-1,0110,0001,국도그랜드맨션,60.0000,202412,12,"14,200",-,4,개인,개인,1997,의안로22번길 2,-,중개거래,경남 창원시 의창구,-,아파트
