NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1263,경상남도 창원시 마산회원구 내서읍 삼계리,21,0021,0000,현대,84.3600,202403,22,"22,400",101,4,개인,개인,1998,삼풍로 82,-,중개거래,경남 창원시마산회원구,24.07.08,아파트
1264,경상남도 창원시 마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.6200,202403,22,"10,000",102,10,개인,개인,1998,삼계10길 22,-,중개거래,경남 창원시마산회원구,24.05.03,아파트
1265,경상남도 창원시 마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,84.9977,202403,22,"20,000",-,13,개인,법인,2003,광려로 28,20240409,중개거래,경남 창원시마산회원구,-,아파트
1266,경상남도 창원시 마산회원구 석전동,238-4,0238,0004,보람아파트아름채,59.7632,202403,22,"18,800",1,6,개인,개인,2015,석전동8길 47,-,중개거래,경남 창원시마산회원구,24.04.24,아파트
1267,경상남도 창원시 마산회원구 내서읍 호계리,10,0010,0000,코오롱하늘채1차아파트,127.8620,202403,22,"34,500",116,9,개인,개인,2001,호원로 361-3,-,중개거래,"경남 창원시마산회원구, 경남 함안군",24.05.27,아파트
1268,경상남도 창원시 마산회원구 양덕동,64-1,0064,0001,한일타운2,84.9580,202403,22,"21,700",201,1,개인,개인,1996,양덕로 151,-,중개거래,경남 창원시마산회원구,24.05.10,아파트
1269,경상남도 창원시 마산회원구 양덕동,84-1,0084,0001,메트로시티,101.2630,202403,22,"54,500",110,17,개인,개인,2009,양덕서로 30,-,중개거래,경남 창원시마산회원구,24.06.17,아파트
1270,경상남도 창원시 마산회원구 양덕동,84-14,0084,0014,메트로시티2단지,101.9610,202403,21,"68,500",203,37,개인,개인,2015,삼호로 80,-,중개거래,경남 창원시마산회원구,24.06.10,아파트
1271,경상남도 창원시 마산회원구 내서읍 호계리,790-23,0790,0023,국제한마음,64.2100,202403,21,"8,400",103,3,개인,개인,1992,호계본동로 38,-,중개거래,경남 창원시마산회원구,24.05.31,아파트
1272,경상남도 창원시 마산회원구 내서읍 호계리,9,0009,0000,신우,84.0700,202403,21,"9,800",-,2,개인,개인,1996,호원로 371,-,중개거래,경남 창원시마산회원구,24.04.22,아파트
1273,경상남도 창원시 마산회원구 구암동,87,0087,0000,구암대동,84.9900,202403,21,"21,500",103,14,개인,개인,1998,구암남16길 54,-,중개거래,경남 창원시마산회원구,24.04.12,아파트
1274,경상남도 창원시 마산회원구 내서읍 삼계리,34,0034,0000,대동,59.9000,202403,21,"14,500",101,8,개인,개인,1998,삼계5길 30,-,중개거래,경남 창원시마산회원구,24.05.27,아파트
1275,경상남도 창원시 마산회원구 회원동,313,0313,0000,e-편한세상창원파크센트럴,84.9798,202403,20,"46,900",203,23,개인,개인,2020,회원남로 65,-,중개거래,경남 창원시마산회원구,24.04.29,아파트
1276,경상남도 창원시 마산회원구 구암동,87,0087,0000,구암대동,59.9250,202403,20,"17,500",109,13,개인,개인,1998,구암남14길 13,-,중개거래,"경남 창원시마산회원구, 경남 창원시의창구",24.04.22,아파트
1277,경상남도 창원시 마산회원구 내서읍 호계리,80,0080,0000,코오롱하늘채2차,84.9980,202403,20,"27,500",218,11,개인,개인,2005,호원로 359,-,중개거래,경남 창원시마산회원구,24.04.19,아파트
1278,경상남도 창원시 마산회원구 구암동,51-1,0051,0001,중앙하이츠,84.8109,202403,20,"20,000",103,5,개인,개인,2006,팔용로 215,-,직거래,-,24.04.22,아파트
1279,경상남도 창원시 마산회원구 내서읍 삼계리,304,0304,0000,삼계블루힐스,59.9858,202403,20,"20,500",103,24,개인,개인,2015,광려로 55,-,중개거래,"경남 창원시마산회원구, 경남 창원시성산구",24.04.30,아파트
1280,경상남도 창원시 마산회원구 내서읍 삼계리,508-1,0508,0001,숲속마을(6단지),75.8800,202403,20,"18,000",606,8,개인,개인,2002,숲속로 27,-,중개거래,경남 창원시마산회원구,24.05.30,아파트
1281,경상남도 창원시 마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.6200,202403,20,"11,600",116,13,개인,개인,1998,삼계10길 22,-,중개거래,경남 창원시마산회원구,24.04.12,아파트
1282,경상남도 창원시 마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.6200,202403,20,"9,400",116,15,개인,개인,1998,삼계10길 22,-,중개거래,경남 창원시마산회원구,24.03.27,아파트
1283,경상남도 창원시 마산회원구 양덕동,5-2,0005,0002,경남아파트2동3동,59.4800,202403,20,"10,400",2,11,개인,법인,1992,양덕동17길 22,-,중개거래,경남 창원시마산회원구,24.07.11,아파트
1284,경상남도 창원시 마산회원구 양덕동,64-1,0064,0001,한일타운2,59.9880,202403,19,"19,500",204,7,개인,개인,1996,양덕로 151,-,중개거래,경남 창원시마산회원구,24.03.27,아파트
1285,경상남도 창원시 마산회원구 내서읍 중리,1036,1036,0000,동신2,84.9900,202403,19,"17,800",203,2,개인,개인,1996,중리상곡로 134,-,중개거래,경남 창원시마산회원구,24.04.23,아파트
1286,경상남도 창원시 마산회원구 양덕동,64-1,0064,0001,한일타운2,59.9880,202403,19,"21,100",204,12,개인,개인,1996,양덕로 151,-,중개거래,경남 창원시마산회원구,24.06.10,아파트
1287,경상남도 창원시 마산회원구 내서읍 호계리,80,0080,0000,코오롱하늘채2차,74.1880,202403,19,"22,300",214,7,개인,개인,2005,호원로 359,-,중개거래,경남 창원시마산회원구,24.04.05,아파트
1288,경상남도 창원시 마산회원구 내서읍 삼계리,505-1,0505,0001,마산삼계주공3단지,49.7100,202403,19,"8,000",302,1,개인,개인,2001,삼계본동1길 86,-,중개거래,경남 창원시마산회원구,24.04.03,아파트
1289,경상남도 창원시 마산회원구 내서읍 삼계리,506,0506,0000,숲속마을주공그린빌4단지,84.5500,202403,19,"21,000",406,2,개인,개인,2002,숲속로 8,-,중개거래,경남 창원시마산회원구,24.05.03,아파트
1290,경상남도 창원시 마산회원구 양덕동,64-1,0064,0001,한일타운2,59.9880,202403,19,"21,100",-,12,개인,개인,1996,양덕로 151,-,중개거래,경남 창원시마산회원구,-,아파트
1291,경상남도 창원시 마산회원구 양덕동,79-9,0079,0009,마산양덕4차한일타운,83.6830,202403,18,"28,000",404,3,개인,개인,2004,양덕서로 45,-,직거래,-,24.03.18,아파트
1292,경상남도 창원시 마산회원구 회원동,30-24,0030,0024,대양,41.5900,202403,18,"7,100",-,5,개인,개인,1981,회원동16길 50,-,중개거래,경남 창원시마산회원구,24.05.03,아파트
1293,경상남도 창원시 마산회원구 양덕동,72-15,0072,0015,한효국화,69.4800,202403,18,"12,000",-,5,법인,개인,1983,양덕옛2길 120,-,직거래,-,24.03.26,아파트
1294,경상남도 창원시 마산회원구 내서읍 중리,1054,1054,0000,중리백로,59.9200,202403,17,"10,500",1103,14,개인,개인,1995,중리상곡로 20-1,-,중개거래,경남 창원시마산회원구,24.04.30,아파트
1295,경상남도 창원시 마산회원구 양덕동,153-28,0153,0028,수피아,34.0388,202403,17,"8,900",-,4,개인,개인,2012,양덕남9길 20,-,중개거래,경남 창원시 마산회원구,24.09.06,아파트
1296,경상남도 창원시 마산회원구 내서읍 삼계리,34,0034,0000,대동,59.9000,202403,16,"14,200",111,9,개인,개인,1998,삼계5길 30,-,중개거래,"경남 창원시마산회원구, 경남 함안군",24.05.31,아파트
1297,경상남도 창원시 마산회원구 내서읍 상곡리,192,0192,0000,중리근로복지,41.8500,202403,16,"6,300",207,12,개인,개인,1993,상곡로 67,-,중개거래,경남 창원시 마산회원구,24.05.08,아파트
1298,경상남도 창원시 마산회원구 석전동,300,0300,0000,창원메트로시티석전,59.6947,202403,16,"36,100",-,26,개인,개인,2019,석전남8길 40,20240416,중개거래,"경남 창원시마산합포구, 경남 창원시마산회원구",-,아파트
1299,경상남도 창원시 마산회원구 내서읍 호계리,10,0010,0000,코오롱하늘채1차아파트,84.9590,202403,16,"18,500",113,5,개인,개인,2001,호원로 361-3,-,중개거래,경남 창원시마산회원구,24.03.25,아파트
1300,경상남도 창원시 마산회원구 양덕동,535,0535,0000,양덕코오롱하늘채,84.8939,202403,16,"45,800",101동,13,개인,개인,2016,양덕서5길 15,-,중개거래,경남 창원시마산회원구,24.06.20,아파트
1301,경상남도 창원시 마산회원구 양덕동,31,0031,0000,한빛타운,82.0800,202403,16,"13,200",-,3,개인,개인,1995,양덕동18길 38,-,중개거래,경남 창원시마산회원구,24.04.26,아파트
1302,경상남도 창원시 마산회원구 양덕동,31,0031,0000,한빛타운,82.0800,202403,16,"13,200",-,3,개인,개인,1995,양덕동18길 38,20240415,중개거래,경남 창원시마산회원구,-,아파트
1303,경상남도 창원시 마산회원구 내서읍 호계리,352,0352,0000,현대성우,65.8752,202403,16,"16,100",103,14,개인,개인,2004,광려천북로 58,-,중개거래,경남 창원시마산회원구,24.06.14,아파트
1304,경상남도 창원시 마산회원구 양덕동,161-1,0161,0001,대림하이빌,84.9365,202403,15,"25,450",104,9,개인,개인,2002,양덕동2길 76,-,중개거래,경남 창원시마산회원구,24.04.19,아파트
1305,경상남도 창원시 마산회원구 내서읍 삼계리,34,0034,0000,대동,59.9000,202403,15,"12,300",112,5,개인,개인,1998,삼계5길 30,-,중개거래,경남 창원시마산회원구,24.05.21,아파트
1306,경상남도 창원시 마산회원구 내서읍 삼계리,508-1,0508,0001,숲속마을(6단지),84.9000,202403,15,"17,500",607,13,개인,개인,2002,숲속로 27,-,중개거래,경남 창원시 마산합포구,24.03.27,아파트
1307,경상남도 창원시 마산회원구 구암동,87,0087,0000,구암대동,84.9900,202403,15,"17,500",101,1,개인,개인,1998,구암남16길 54,-,중개거래,경남 창원시마산회원구,24.04.30,아파트
1308,경상남도 창원시 마산회원구 내서읍 삼계리,508-1,0508,0001,숲속마을(6단지),84.9000,202403,15,"17,500",607,13,개인,개인,2002,숲속로 27,-,중개거래,경남 창원시마산합포구,24.03.27,아파트
1309,경상남도 창원시 마산회원구 내서읍 삼계리,37,0037,0000,대동다:숲,84.9700,202403,15,"18,500",102,4,개인,개인,1999,삼계2길 31,-,중개거래,경남 창원시마산회원구,24.05.27,아파트
1310,경상남도 창원시 마산회원구 내서읍 상곡리,67,0067,0000,삼계서진,39.9000,202403,14,"5,100",102,3,개인,개인,1997,경남대로 1019,-,중개거래,경남 창원시마산회원구,24.03.20,아파트
