NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
34,경상남도 창원시 성산구 남양동,1,0001,0000,동성,135.0800,202412,20,"36,300",-,13,개인,개인,1990,대암로 64,-,중개거래,경남 창원시 성산구,-,아파트
35,경상남도 창원시 성산구 대원동,40,0040,0000,포레나대원,59.0578,202412,20,"52,800",-,18,개인,개인,2018,창원천로 34,-,중개거래,경남 창원시 성산구,-,아파트
36,경상남도 창원시 성산구 대방동,355,0355,0000,성원남산3차,47.9700,202412,20,"12,000",-,18,개인,개인,1992,대암로 126,-,중개거래,"경남 창원시 마산회원구, 경남 창원시 성산구",-,아파트
37,경상남도 창원시 성산구 대방동,376,0376,0000,대방그린빌,39.7150,202412,20,"13,400",-,18,개인,개인,1996,대암로 256,-,중개거래,경남 창원시 성산구,-,아파트
38,경상남도 창원시 성산구 가음정동,391-10,0391,0010,소라,59.9400,202412,20,"10,650",-,11,개인,개인,1990,성산패총로178번길 51,-,중개거래,경남 창원시 성산구,-,아파트
39,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,84.9100,202412,20,"33,800",-,20,개인,개인,1994,원이대로 774,-,중개거래,경남 창원시 성산구,-,아파트
40,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,84.9100,202412,19,"33,000",108,25,개인,개인,1994,원이대로 774,-,중개거래,경남 창원시 성산구,24.12.20,아파트
41,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,49.9800,202412,19,"14,300",-,18,개인,개인,1994,원이대로 774,-,중개거래,경남 창원시 성산구,-,아파트
42,경상남도 창원시 성산구 사파동,148,0148,0000,무궁화,51.5700,202412,19,"26,500",-,3,개인,개인,1988,동산로 148,-,중개거래,경남 창원시 성산구,-,아파트
43,경상남도 창원시 성산구 대방동,374,0374,0000,대방동성,84.9700,202412,19,"38,000",-,2,개인,법인,1996,대암로 282,-,직거래,-,-,아파트
44,경상남도 창원시 성산구 대방동,376,0376,0000,대방그린빌,49.8650,202412,19,"15,800",-,6,개인,개인,1996,대암로 256,-,중개거래,경남 창원시 성산구,-,아파트
45,경상남도 창원시 성산구 대방동,371,0371,0000,대동디지털황토방,84.9026,202412,19,"38,000",-,16,개인,개인,2001,창이대로881번길 8,-,중개거래,경남 창원시 성산구,-,아파트
46,경상남도 창원시 성산구 용호동,67-2,0067,0002,무학,56.4300,202412,18,"32,200",4,5,개인,개인,1987,외동반림로 200,-,중개거래,경남 창원시 성산구,24.12.23,아파트
47,경상남도 창원시 성산구 대방동,356,0356,0000,덕산타운1,49.9400,202412,18,"12,200",104,20,개인,개인,1992,대정로 131,-,중개거래,경남 창원시 성산구,24.12.18,아파트
48,경상남도 창원시 성산구 반지동,24,0024,0000,까치2차,54.0900,202412,18,"11,000",202,15,개인,개인,1991,창원천로 256,-,직거래,-,24.12.20,아파트
49,경상남도 창원시 성산구 내동,454-1,0454,0001,목련,41.2200,202412,18,"8,150",-,4,개인,개인,1979,삼동로128번길 65,-,중개거래,경남 창원시 성산구,-,아파트
50,경상남도 창원시 성산구 대방동,358,0358,0000,대동,49.9400,202412,17,"13,200",-,3,개인,개인,1992,대정로 142,-,중개거래,경남 창원시 성산구,-,아파트
51,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,59.9700,202412,17,"20,100",-,17,개인,개인,1994,원이대로 774,-,중개거래,경남 창원시 성산구,-,아파트
52,경상남도 창원시 성산구 남양동,24,0024,0000,피오르빌,49.5100,202412,17,"15,700",-,7,개인,개인,1995,대정로 84,-,중개거래,경남 창원시 성산구,-,아파트
53,경상남도 창원시 성산구 대방동,358,0358,0000,대동,49.9400,202412,17,"13,200",-,3,개인,개인,1992,대정로 142,20241218,중개거래,경남 창원시 성산구,-,아파트
54,경상남도 창원시 성산구 가음동,15,0015,0000,창원더샵센트럴파크3단지,71.8621,202412,16,"54,500",-,14,개인,개인,2017,원이대로863번길 7,20241217,중개거래,경남 창원시 성산구,-,아파트
55,경상남도 창원시 성산구 안민동,108,0108,0000,대동한솔마을,84.9800,202412,16,"23,200",-,19,개인,개인,1999,안민로 161,-,중개거래,경남 창원시 성산구,-,아파트
56,경상남도 창원시 성산구 대방동,376,0376,0000,대방그린빌,49.8650,202412,16,"14,400",7,17,개인,개인,1996,대암로 256,-,직거래,-,24.12.20,아파트
57,경상남도 창원시 성산구 상남동,65-1,0065,0001,꿈에그린,84.9248,202412,16,"62,400",-,21,개인,개인,2014,토월로27번길 18,-,중개거래,"경남 창원시 성산구, 경남 창원시 진해구",-,아파트
58,경상남도 창원시 성산구 가음동,15,0015,0000,창원더샵센트럴파크3단지,71.8621,202412,16,"54,500",-,14,개인,개인,2017,원이대로863번길 7,-,중개거래,경남 창원시 성산구,-,아파트
59,경상남도 창원시 성산구 가음동,13,0013,0000,창원가음한화꿈에그린,84.9521,202412,16,"63,000",-,12,개인,개인,2017,원이대로878번길 9,-,중개거래,경남 창원시 성산구,-,아파트
60,경상남도 창원시 성산구 성주동,168,0168,0000,프리빌리지2차,161.7775,202412,16,"58,000",-,13,개인,개인,2010,창원대로1209번길 22,-,중개거래,경남 창원시 성산구,-,아파트
61,경상남도 창원시 성산구 남양동,20,0020,0000,성원1차,84.9700,202412,15,"24,000",-,8,개인,개인,1991,대정로 73,-,중개거래,경남 창원시 성산구,-,아파트
62,경상남도 창원시 성산구 반림동,10,0010,0000,노블파크,76.0300,202412,14,"50,000",-,18,개인,개인,2007,원이대로 449,-,중개거래,경남 창원시 성산구,-,아파트
63,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,59.9700,202412,14,"23,000",-,18,개인,개인,1994,원이대로 774,20241230,중개거래,경남 창원시 성산구,-,아파트
64,경상남도 창원시 성산구 남양동,24,0024,0000,피오르빌,49.5100,202412,14,"15,100",-,8,개인,개인,1995,대정로 84,-,중개거래,경남 창원시 성산구,-,아파트
65,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,84.9100,202412,14,"30,500",-,15,개인,개인,1994,원이대로 774,-,중개거래,경남 창원시 성산구,-,아파트
66,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,59.9700,202412,14,"23,000",-,18,개인,개인,1994,원이대로 774,-,중개거래,경남 창원시 성산구,-,아파트
