NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
33,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트아티움시티,84.8615,202212,13,"56,000",-,44,-,-,2020,창원대로397번길 11,-,중개거래,경남 창원의창구,-,아파트
34,경상남도 창원시 의창구 도계동,412-3,0412,0003,청구아트빌라,81.6600,202212,12,"15,500",-,4,-,-,1994,도계로83번길 6-10,-,중개거래,경남 창원성산구 경남 창원의창구,-,아파트
35,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,59.8956,202212,12,"24,500",-,1,-,-,2019,감계로 342,-,중개거래,경남 창원의창구,-,아파트
36,경상남도 창원시 의창구 북면 무동리,104-1,0104,0001,창원무동STX칸1차,84.9900,202212,12,"22,800",-,7,-,-,2015,무동서로 76,-,중개거래,경남 창원의창구,-,아파트
37,경상남도 창원시 의창구 북면 무동리,124-1,0124,0001,창원무동센텀파라디아,59.9932,202212,11,"20,600",-,7,-,-,2018,무동서로 24,-,중개거래,경남 창원의창구,-,아파트
38,경상남도 창원시 의창구 중동,785,0785,0000,창원중동유니시티2단지,72.8848,202212,10,"60,000",-,8,-,-,2019,중동로 33,-,중개거래,경남 창원의창구,-,아파트
39,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트아티움시티,84.8605,202212,10,"43,700",-,5,-,-,2020,창원대로397번길 11,-,중개거래,경남 창원의창구,-,아파트
40,경상남도 창원시 의창구 동읍 용정리,20-1,0020,0001,동부산훼미리타운1차,67.8500,202212,10,"10,800",-,2,-,-,1997,용정길46번길 29,-,중개거래,경남 창원의창구,-,아파트
41,경상남도 창원시 의창구 북면 무동리,123-1,0123,0001,휴먼빌1단지,59.9910,202212,10,"18,000",-,18,-,-,2013,동곡로 33,-,중개거래,경남 창원의창구,-,아파트
42,경상남도 창원시 의창구 북면 감계리,230-1,0230,0001,창원감계힐스테이트1차,84.9601,202212,09,"29,800",-,20,-,-,2014,동전로 86,-,중개거래,경남 창원의창구,-,아파트
43,경상남도 창원시 의창구 북면 감계리,231-10,0231,0010,창원감계힐스테이트2차,84.1129,202212,08,"37,500",-,16,-,-,2017,감계로 341,-,중개거래,경남 창원의창구,-,아파트
44,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,84.8776,202212,07,"35,700",-,5,-,-,2019,감계로 342,-,중개거래,경남 창원의창구,-,아파트
45,경상남도 창원시 의창구 동읍 용잠리,130,0130,0000,서광,84.4200,202212,07,"11,000",-,7,-,-,1994,의창대로915번길 29,-,직거래,-,-,아파트
46,경상남도 창원시 의창구 북면 감계리,229-1,0229,0001,휴먼빌,84.9300,202212,06,"26,200",-,11,-,-,2014,감계로 297,-,중개거래,경남 창원의창구,-,아파트
47,경상남도 창원시 의창구 팔용동,124-1,0124,0001,극동,49.9050,202212,06,"17,400",-,15,-,-,1994,팔용로 446,-,중개거래,경남 창원의창구,-,아파트
