NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 의창구 북면 신촌리,887-3,0887,0003,올라뷰,76.7000,61.5100,202112,30,"8,550",5,-,-,2015,신리길 25,-,직거래,-,-,연립다세대
2,경상남도 창원시 의창구 도계동,303-1,0303,0001,금강난초빌라,40.4900,22.5600,202112,30,"6,800",4,-,-,1997,도계두리길 16-8,-,중개거래,경남 창원성산구 경남 창원의창구,-,연립
3,경상남도 창원시 의창구 소답동,150-22,0150,0022,남양빌라1차,49.6500,50.5000,202112,29,"5,300",5,-,-,1994,읍성로101번길 16,-,직거래,-,-,연립다세대
4,경상남도 창원시 의창구 도계동,322-5,0322,0005,리코프라자,75.0900,27.8798,202112,28,"12,000",4,-,-,1990,하남천서길 23,-,직거래,-,-,연립다세대
5,경상남도 창원시 의창구 소답동,107-6,0107,0006,동호빌라,84.8500,105.3100,202112,28,"17,500",4,-,-,1997,의안로32번길 11,-,중개거래,경남 창원의창구,-,연립
6,경상남도 창원시 의창구 소답동,132-8,0132,0008,금강연산홍,69.9300,37.2900,202112,28,"13,500",2,-,-,1997,의안로44번길 32,-,중개거래,경남 창원의창구,-,다세대
7,경상남도 창원시 의창구 도계동,334-1,0334,0001,서원빌라,81.4700,45.6000,202112,27,"20,900",1,-,-,2005,도계로8번길 12,-,중개거래,경남 창원의창구,-,연립
8,경상남도 창원시 의창구 동읍 단계리,292,0292,0000,동아바론하우스2,69.3431,80.3159,202112,23,"12,300",3,-,-,2011,자여로 127,-,중개거래,경남 창원의창구,-,연립
9,경상남도 창원시 의창구 동읍 단계리,292-5,0292,0005,동아바론하우스1,69.3431,76.9349,202112,21,"10,800",2,-,-,2011,자여로 133-3,-,직거래,-,-,연립다세대
10,경상남도 창원시 의창구 도계동,414-13,0414,0013,한신빌라,51.1400,19.7400,202112,21,"8,500",2,-,-,1993,도계로83번길 14-2,-,중개거래,경남 창원성산구 경남 창원의창구,-,다세대
