NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
101,경상남도 창원시 마산회원구 구암동,19-12,0019,0012,신성,45.9000,36.6950,202402,29,"6,650",2,개인,개인,1982,구암서1길 29,-,중개거래,경남 창원시마산회원구,24.05.01,연립
102,경상남도 창원시 마산회원구 구암동,12-5,0012,0005,세화,38.0200,29.7200,202402,28,"5,500",2,개인,개인,1981,구암서3길 76,-,중개거래,경남 창원시마산회원구,24.03.21,연립
103,경상남도 창원시 마산회원구 회성동,578,0578,0000,퀀텀로제,84.9822,64.2329,202402,23,"20,000",2,개인,개인,2017,회성남20길 47,-,직거래,-,24.02.23,연립
104,경상남도 창원시 마산회원구 내서읍 상곡리,156-7,0156,0007,태원빌,40.9100,34.6897,202402,21,"4,000",2,개인,개인,2012,상곡로 93-1,-,직거래,-,24.02.23,다세대
105,경상남도 창원시 마산회원구 합성동,320-13,0320,0013,동마주택,44.4600,48.7600,202402,21,"7,400",2,개인,개인,1979,합성동13길 19,-,중개거래,경남 창원시마산회원구,24.02.26,연립
106,경상남도 창원시 마산회원구 회원동,666-11,0666,0011,국희,43.6900,41.2000,202402,21,"5,500",1,개인,개인,1982,회원북24길 43,-,중개거래,"경남 창원시마산합포구, 경남 창원시마산회원구",24.02.29,연립
107,경상남도 창원시 마산회원구 합성동,134-7,0134,0007,(134-7),25.8300,13.6700,202402,20,"2,300",2,개인,개인,2003,합성옛길 319,-,직거래,-,24.02.27,다세대
108,경상남도 창원시 마산회원구 합성동,167-5,0167,0005,소라,47.4600,44.8884,202402,19,"6,700",2,개인,개인,1979,합성동12길 42,-,직거래,-,24.03.04,연립
109,경상남도 창원시 마산회원구 내서읍 삼계리,842,0842,0000,두정숲속애2차(3동),75.3850,95.1240,202402,17,"10,300",2,개인,개인,2012,삼계숲길 169-2,-,중개거래,경남 창원시마산회원구,24.03.29,다세대
110,경상남도 창원시 마산회원구 석전동,278-12,0278,0012,성진나,42.9000,45.9400,202402,15,"4,000",1,개인,개인,1982,석전서9길 13-1,-,직거래,-,24.02.19,연립
111,경상남도 창원시 마산회원구 회성동,229-8,0229,0008,배성,45.5400,25.2500,202402,06,"5,900",2,개인,개인,1992,회성북6길 47,-,중개거래,경남 창원시마산회원구,24.03.12,다세대
112,경상남도 창원시 마산회원구 합성동,145-3,0145,0003,(145-3),56.1700,45.8167,202402,03,"7,900",1,개인,개인,1979,합성동11길 22-1,20240229,중개거래,경남 창원시 마산회원구,-,다세대
113,경상남도 창원시 마산회원구 합성동,145-3,0145,0003,(145-3),56.1700,274.9000,202402,03,"7,900",1,개인,개인,1979,합성동11길 22-1,-,중개거래,경남 창원시 마산회원구,24.03.27,다세대
114,경상남도 창원시 마산회원구 회원동,645-21,0645,0021,78화란주택38동,61.1300,54.3500,202402,03,"5,850",1,개인,개인,1978,회원서3길 15-2,-,중개거래,경남 창원시마산합포구,24.02.22,연립
115,경상남도 창원시 마산회원구 내서읍 중리,342-43,0342,0043,대경빌라,64.8000,37.6960,202402,03,"4,350",5,개인,개인,2004,옥정2길 18-17,20240219,중개거래,경남 창원시마산회원구,-,다세대
116,경상남도 창원시 마산회원구 구암동,280-27,0280,0027,청암,42.6400,40.3709,202401,29,"5,600",2,개인,개인,1979,구암북7길 13,-,중개거래,경남 창원마산회원구,24.01.30,다세대
117,경상남도 창원시 마산회원구 합성동,129-13,0129,0013,세종,44.0300,26.0600,202401,27,"7,700",2,개인,개인,1981,합성서1길 153,-,중개거래,경남 창원시마산회원구,24.03.08,연립다세대
118,경상남도 창원시 마산회원구 내서읍 중리,1451-48,1451,0048,의창국민주택,55.9800,52.6833,202401,25,"6,300",1,개인,개인,1985,광려천서로 149,-,중개거래,경남 창원마산회원구,24.01.25,연립
